idx,target,year,is_future,prefix
25,inclination,1619,0,"As to the Comet of 1680/1 I was only desirous to trie the method I used in that of 1683, in this also, taking your limitation for an Hypothesis and I found I could not stirr the Nodes or"
26,intuition,1796,0,Those ideas which immediately arise in consequence of our external sense being affected are external perceptions or external
27,lane,1420,0,"[An automatic weather information station] was moored in the middle of the Gulf Stream, off the Florida Coast, in a hurricane"
28,lesbian,1550,0,"Lesches..was a native of Pyrrha, in the island of Lesbos, and in the neighbourhood of Mytilene. Hence he is called a Mytilenean or"
29,lesbian,1597,0,"I will reckon to you the names of Greek Wines much esteemed by the Ancients. One sort they call'd Pramnian,..another Thasian and"
30,lesbian,1559,0,"Mr. Gray..has addressed himself to the Æolian lyre, in the same manner that the author just quoted talks of the"
31,mapping,1727,0,"Surveying consists of three parts or members;..the second we call plotting, or protracting, or"
32,masculine,1586,0,"The former close, because it terminates in a thesis, and is on that account, less forcible, is called feminine, the latter,"
33,masculine,1425,0,"The one [ sc. the triangle] imperfect, mortall, fœminine, Th'other [ sc. the circle] immortall, perfect,"
34,monster,1375,0,Want to know where Hollywood gets the inspiration for its outer space and sci-fi
35,monster,1715,0,"And pray, Master, what am I? I think my Person is not so despisable that you need run after other Folks. I'm no"
36,mould,1550,0,"He should select 1 or 2 of the best mares in his possession to breed from, and if he has none possessing youth and beauty of"
37,mould,1797,0,"She is a greasy subject, and would have burned like a short"
38,nationality,1830,0,The sum total of these heritable portions..I beg leave to name the Propriety; and to call the reserve above mentioned the
39,noon,1605,0,"For the moon Was shining in, and night was at the"
40,noon,1606,0,"Now the goodly moon Was in the full, and at her nighted"
41,noon,1606,0,"To behold the wandring Moon, Riding neer her highest"
42,obedience,1390,0,The worthy catholike king..gaff thaim lesence for ever to..cum to presens of thair spirituale fader & ordyner & hedekirk of Santandrois to resavve collacionn & do
43,outsider,1800,0,"Though many names on these syndicates did well in the early 1980s, they now talk of foul play and of insiders being favoured over"
44,outsider,1800,0,"Is everyone who has come from outside Italy, just because they have come from outside it, regarded as equally an"
45,penetration,1646,0,"Suppose two bodies containing no void within their circumference, to approach each other, and to unite in such a manner that the body, which results from their union, is no more extended than either of them; 'tis this we must mean when we talk of"
46,penetration,1903,0,"Russia seems undoubtedly..to be carrying on a process of absorption in Persia,..by what, I think, a French writer has called peaceful"
47,photon,1926,0,"In 1906, Einstein showed that the photo-electric effect and many photochemical reactions could be explained in terms of the Quantum Theory if light itself consisted of discrete particles of energy or quanta, now usually called"
48,plausible,1565,0,"If Hippocrates actually wrote the first textbook of geometry, which is not only possible but"
49,pointer,1534,0,"In all cases while the death bone is being ‘pointed’, the blood of the victim passes invisibly across the intervening space to the ‘"
50,pointer,1567,0,"These two Stars of the 7, that are nearest to the Pole Star,..do always point up pretty nearly to the Pole Star; and are therefore sometimes called the"
51,pointer,1875,0,"A name of particular pointed tools used in various trades, for boring, cutting, graving, etc. e.g. a pointed chisel used by stonemasons, a silversmith's"
52,porch,1300,0,The Ethiopian and Moscovites doe baptize in the Church
53,porch,1300,0,"The church was old and gray, with ivy clinging to the walls, and round the"
54,preacher,1225,0,"That Minister whose Life is not the Model of his Doctrin, is a Babler rather than a"
55,precedent,1427,0,"Thereafter..came urgent letters, saying that a ‘Doctorat’ had never before been conferred on a woman by any big University in America, that Yale had created a"
56,printed,1609,0,There was absolutely no demand for a collected edition at the time it was published; it was out of all relation to Bierce's fame or importance... Who was this magnificently
57,progression,1460,0,"The fusion of this [ sc. a syn-sacrum ] with the entire length of the iliac portion of the pelvic girdle, must be interpreted in adaptation to bipedal"
58,progression,1926,0,In other words we suppose that the absorption bands whose stimulation is associated with these series all belong to a single n ′
59,progression,1926,0,"If all excited molecules of a vapor are in one definite vibrational level v ′ of an electronic state T ′, they can return from there to all existing levels v ″ of the ground state and thus produce an emission spectrum in which the lines corresponding to v ″ = 0, 1, 2..form a regular ‘"
60,proliferation,1759,0,"Proliferatio , applied by Link to the appearance of a bud or of a flower upon a part of the plant which has not been accustomed to bear such:"
61,purple,1519,0,"Purpura Anglicana, being a Discovery of a Shell-fish Found on the Shores of the Severn, in which there is a Vein containing a Juice, giving the delicate and durable Tincture of the Antient, Rich, Tyrian"
62,register,1325,0,"Taffanel noted four rehearsals before the second concert, and after that he stopped keeping a"
63,register,1703,0,"‘Politics is Muzak to a lot of people,’ said..the chief political reporter for the Des Moines"
64,register,1534,0,"Immediately after the Celebration of every Marriage, an entry thereof shall be made in such"
65,repair,1484,0,And in yair tymeralis tryid trewly yai bere The plesand povne in a part provde to
66,reproductive,1753,0,"Many authors consider preservation as a continual reproduction of a thing, which subsisting no longer of itself, would every moment return into nothing.—This some call the"
67,rescue,1540,0,There is no rule prescribed by the law of England in the case of foreign property
68,resort,1425,0,She was predestinat..To be the worlds..chief comfort By hym that shuld out of hyr wombe
69,reversal,1489,0,"The Queen's Bench Division reversed his decision, and the present case is an appeal from that"
70,reversal,1648,0,He appears to have compensated by means of his passionate nurturance of his lovers (a not uncommon
71,revive,1442,0,"The erosive energy of the rivers is renewed, and they are said therefore to be"
72,rose,1825,0,The..troublesome Bauera shrub; whose gnarled branches have earned for it the..expressive name of ‘tangle-foot’ or ‘leg ropes’. [It] has been named by Spicer the ‘ Native
73,rose,1460,0,"Grace shal him [ sc. Prince Henry] well enclose, Whiche by true right sprange of the reed"
74,rose,1460,0,"A ridiculous generation newly come ashore into the world, are not ashamed to affirme, that these stinking weeds, are those sweete lillies named by our Sauiour Christ: that they will digge vp the garden a new: that they will reforme the supperstitious braunches, of the sweete auncient welblowne"
75,rose,1460,0,"Who did this Knot compose, Again hath brought the Lillie to the"
76,rose,1460,0,Let us now walk down rugby's Memory Lane and pay tribute to those who have worn the white jersey with the red
77,rose,1599,0,"Roose, ofte de Kole , S. Anthonies Sore, called the"
78,segregation,1902,0,"If the hybrids of the first generations [of two races of peas] ..be allowed to fertilise themselves, all possible combinations of the ancestral race-characters will appear in the second generation with equal frequency... Characters intermediate between those of the ancestral races will not occur... This may be called the Law of"
79,segregation,1902,0,"This phenomenon, the dissociation of characters from each other in the course of the formation of the germs, we speak of as"
80,soup,1889,0,"You find you may want to move a group of pictures..to a different part of the building, and if the rooms over there are designed for quite a different kind of picture, you're rather in the"
81,spectator,1586,0,"[He] thought no eyes of sufficient credite in such a matter, but his owne; and therefore came him selfe to be actor, and"
82,startle,1300,0,The former of these insects is generally very annoying to the cattle..but this year they have hardly as yet been observed to make them
83,substantive,1787,0,"I felt you happening before you happened. Something like anticipation of anticipation, and not imaginary, but"
84,swing,1552,0,Throw the all Tratoures blythlie sing... Throw the murther wald beir the
85,swing,1570,0,"It was still early in the herring season, but the fishing was in full"
86,swing,1584,0,Trust me that things will adjust themselves all the better for letting them have their
87,swing,1856,0,He [ sc. a horse] would insist on walking through the brook instead of taking it in his
88,swing,1976,1,Families may soon be enjoying a tipple at the bar to make their parties held in the community centre go with a
89,swing,1635,0,"Swaying his two-handed sword about him, Two deaths at every"
90,swing,1945,1,"In Room 1, North-South bid six Spades and made five. In Room 2, North-South stopped in 4 spades and declarer, playing for safety, made three. No"
91,swing,1945,1,"On the very next hand the Scots repaid the compliment; at this stage they were going great guns, and on Board 54 came the biggest"
92,swing,1739,0,"Don Quixote, who was not used to alight without having his stirrop held,..threw his body off with a"
93,swing,1899,0,Jazz is based on the savage musician's wonderful gift for progressive retarding and acceleration guided by his sense of
94,tomato,1837,0,"They had to eke out their scanty fare with wild roots and vegetables, such as the Indian potato, the wild onion, and the prairie"
95,unemployed,1782,0,Our sea~coasts would swarm with adventurous fishing boats; new means of employment would be afforded to the..
96,want,1175,0,"Troie Newe is Trinouant, tuo wordes in one & nouht is"
97,want,1450,0,Land should revert to testator's daughter..in case the life tenant failed to make suitable provision for her if she came to
98,wanting,1475,0,"The yardstick against which the anti-establishment Mr Murdoch's paper is commonly compared, contrasted and generally thought"
99,wanting,1839,0,Had something given in my brain last night..so that now I was what people call ‘
100,wanting,1592,0,"Bees though..they have sufficiently stored and replenished their hives..; yet will they not give over working; nay some, not leave robbing and that from the weaker and"
101,winner,1485,0,"When cruelty and lenitie play for a Kingdome, The gentlest gamester is the sooner"
102,working,1350,0,"Widespread realignments of jobs, changes of thinking and attitudes, and alteration of ways of"
103,working,1548,0,"Conclude the fermentation in from 40 to 50 hours, and when it is cleansed do not fill up too frequently, for it will work off with great rapidity: rather, by moderate fillings, encourage its"
104,worth,1340,0,Of Selver that was overforth Schal ben a world of lasse
105,worth,1340,0,Nor do the bold'st attempts bring forth Events still equal to their
106,worth,1340,0,"Let them not come forth, 'Till the ninth ripening Year mature their"
107,adjective,1400,0,"Positive Degree of Comparison in Grammar, is that which signifies the Thing simply and absolutely, without comparing it with others; it belongs only to"
108,bankruptcy,1634,0,"As the name of a Bankrupt, so was the offence it self..a stranger to an Englishman, who of all other Nations was freest of"
109,bead,1377,0,"I no where read, That thy Apostles ever us'd a"
110,blockbuster,1942,1,"A company called Carter synthesized that chemical and sold it as Miltown, an anxiolytic that became the first pharmaceutical"
111,brass,1870,0,"At every big plantation or negro shanty yard Just to save his property the generals plase a gard The sentrys instruction to let no private pass, The rich mans house and table are fixed to suit the"
112,calorie,1863,0,"The unit chosen for comparison, and called the thermal unit, is not everywhere the same. In France it is the quantity of heat necessary to raise the temperature of one kilogramme of water through one degree centigrade: this is called a caloric [ corrected to"
113,clearance,1944,1,The policy-makers must be consulted on everything that is not part of the established routine. Getting their okay is known as ‘clearing on policy’ or ‘
114,cognition,1651,0,"The several elements which, according to Kant, make up the organic unity of Perception or real"
115,conformity,1607,0,"Seeing in his body so great deformitie, hee..would haue auerred that in his soule there was no great"
116,construe,1399,0,"Though the Law in modern days Three barbarous Tongues no more displays, Like Pluto's triple headed monster, And Pleaders can their Pleadings"
117,contamination,1888,0,"Momentary hesitation between two possible linguistic responses is extremely common, and not infrequently it leads to a mingling of the two. Instances are.. ruvershoes ( rubbers × overshoes )... We call this process"
118,defective,1653,0,"Why not do the same with the imperfect fourth, fifth, sixth and seventh? Any one of these intervals has as good a claim to adjustment as the"
119,designation,1646,0,"The Chinese zodiac..is..divided into twelve signs, distinguished by as many figures, all bestial, and some of them very singular and eccentric"
120,discomfort,1350,0,"I arrived the 26th; but not so fortunate as to find the Ship I expected, Captain Sovaire, bound for Alexandretta, he being departed 4 Days before, to my great"
121,drawer,1400,0,The cartridge-shell is struck at its lower edge opposite the cartridge extractor or
122,dressing,1504,0,"Thus it is left till they judge it to be sufficiently roasted, when throwing a quantity of salt over it, they eat it without any further"
123,dressing,1530,0,Hundreds of thousands of older people who struggle with tasks such as washing or
124,dysfunction,1916,0,A social judgment is still implied in the decision to rank the thieving tendency together with its bodily concomitants as symptoms of disease or
125,eating,1763,0,"A..fish, weighing from half-a-pound to two pounds, and excellent"
126,elevated,1553,0,"The remaining eighty per cent [of the population] cling to the greasy straps of the antiquated, unsanitary, dilapidated, and dangerous"
127,factual,1846,0,I can..promise to all ‘Aladdinists’ a rich harvest of facts which wholly displace those hitherto assumed to be
128,factual,1846,0,Hatsue's father..asked Dr Oshiro if in fact there were submariners and if the rumors of an invasion of Oregon and California were
129,formidable,1508,0,"Of whiche name..foreyne prynces trymbled and quaked, so muche was that name to all nacions terrible &"
130,hate,1175,0,"Tis from that Moment I must date, My Provocation of God's"
131,imperialism,1684,0,The 1932 thesis..made its two major points the overthrow of the Emperor system and the struggle against Japanese
132,imperialism,1878,0,"‘The Expansion of England’—with its firm grasp on the great possibilities of the New Englands beyond the sea, and its vivid realisation of the British Empire as ‘a world-wide Venice with the sea for streets’—gave..a decisive impulse to what may be called, in the slang of the day, ‘the new"
133,imperialism,1883,0,There was an increased national rivalry to obtain control of the raw material and food producing areas since the resources of the world could be easily developed or exploited from any one centre. The result was the emergence of a new national economic
134,indispensable,1653,0,"Those few that were about the pope, thought the prohibition of such marriages was only positive, and might be dispensed with by the pope: whereas all other learned men thought the law was moral and"
135,inmate,1589,0,"Bias was of Priene,..some affirm he was rich, others, that he had no estate, but lived as an"
136,interpreter,1950,1,"Although the art of interpreting air photographs had been developed quite a long way in the First World War, in the summer of 1939 there was precisely one experienced"
137,litre,1797,0,"Annexe iv..recapitulates the decisions of the Troisième Conférence Générale held at Paris last October, as to the definitions of the metric units, metre, kilogramme and"
138,livestock,1755,0,"Lupus Oh, little, my lord. The Goths have stripped us yearly, and the Alans Before them: we can only give all that we have. Attila All, hm? That's to say, all. Including your virgins, Young wives, all other"
139,loading,1903,0,"The increase in voltage resulting from the increased impedance..increases the leakage losses, and these set a limit to the possible improvement in transmission efficiency by"
140,loading,1903,0,With a centre loaded coil on 3·5 Mc/s it may be possible to vary the transmitter frequency over about 25 kc/s before it becomes essential to re-adjust the
141,march,1639,0,A Boer searchlight..which roved like an angry eye from end to end of our line of
142,metaphysical,1744,0,"[Dryden] might..so use ‘metaphysics’ as equivalent to ‘second thoughts’, things that come after the natural first; and, once more, this definition would, I think, fit all the poetry commonly called ‘"
143,miner,1830,0,"Whitish legless and headless maggots, up to 1 / 5 inch long, [which] mine beneath the epidermis of the stems... Asparagus"
144,navigation,1984,1,A graphical interface that uses pull-down menus and point-and-click functionality for easy Internet
145,neutron,1899,0,"If the electrons are distributed through the æther, we must suppose that in æther showing no electric charge each negative electron is united with a positive electron to form the analogue of a material molecule, which might conveniently be called a"
146,passing,1496,0,"An Act against unlawfull Hunting and Killing of Conneys,..was now..put to the Question of"
147,persecution,1647,0,"As the Massachuset's assembly at first entered into the expedition upon the coolest deliberation, so did they on the other hand exert themselves with uncommon vigour in the"
148,photography,1839,0,"Paper smeared with the solution [of lunar caustic] is darkened... Hence the process of photogenic drawing [ as published in May, in Edinb. New Philos. Jrnl. 27 145, altered to Hence the art of"
149,polar,1556,0,The appearance of the solar corona over the poles at time of low solar activity is dominated by the presence of
150,polar,1920,0,For comparison with observation the rectangular coordinates must be converted into
151,polarization,1845,0,I shall explain..what is meant by the deviation or rotation of the rays of polarized light when transmitted through fluids said to possess circular
152,polarization,1839,0,"When an electric current is passed through an electrolyte bounded by metal electrodes, the accumulation of the ions at the electrodes produces the phenomenon called"
153,polarization,1894,0,"Likewise, there are animals every piece of which produces, at either end, that organ toward which it was directed in the normal condition. We may speak in such cases of"
154,poll,1400,0,"Cursed Noll, Whose most inglorious, and as empty"
155,pricing,1500,0,The kinked demand curve is derived from the..curves we have already been using in our analysis of trade association
156,procession,1398,0,"The doctrine of the Trinity..confessedly underwent development,..by the adoption..of such terms as substance,..circuminsession, double"
157,propagation,1926,0,"While water is essential for the process of starting a chain, it is still an open question whether water is necessary for chain"
158,prophecy,1225,0,"The critical doctrine that Muhammad was the ‘seal’ of prophets, in the sense of having categorically closed the door of"
159,proximal,1934,1,Such changing lobes and interlobes are of course apt to affect the normal thickness of the varve-succession at a single locality and are an important cause to the local thickness deviations of certain
160,radial,1887,0,"The second of the principal divisions of radius is typically four-branched, and on account of the frequency of the necessity of making reference to it a special name has been applied to it, the"
161,rage,1325,0,"Yfrounced foule was hir visage, And grennyng for dispitous"
162,rage,1325,0,"The Seer, who could not yet his Wrath asswage, Rowl'd his green Eyes, that sparkl'd with his"
163,rage,1330,0,Þer nas in court grom ne page þat of þe Kyng ne made
164,rage,1400,0,"Museful Mopings, which presage The loss of Reason, and conclude in"
165,rage,1425,0,A purer breeze t'assuage The fiery dog's enfevering
166,rage,1400,0,Syn for till asswage..And of this warld to cess the stormy
167,rage,1548,0,"All for one we gage: As life for honour, in fell battailes"
168,rage,1563,0,"Assert the Stage, Be justly warm'd with your own Native"
169,rainfall,1817,0,We deemed it desirable to cause the consumption of water..to be gauged from..the run through house-drains and sewers on days when there was no
170,rationality,1637,0,Any act..is immediately justified by distorting the mental processes concerned and providing a false explanation that has a plausible ring of
171,recruitment,1923,0,"The several forms assumed by the course of the ascent indicate the various time relations exhibited by the progressive involvement of additional motoneurones during the development of the reflex. That process may, for convenience of statement, be designated ‘"
172,recruitment,1937,1,"The deafness of the affected ear present at threshold disappears at higher intensities, and this in its simplest terms constitutes the phenomenon of Loudness"
173,recruitment,1937,1,The results..suggest a correspondence between BM [ sc. basilar membrane] displacement and loudness perception in cases of
174,remain,1677,0,"You are..on no account..to supply any of his Majesty's Ships..with Naval Stores without being furnished with the Boatswain's and Carpenter's Supplies, Expenses, and"
175,repeat,1450,0,"All repetitions are not vain repetitions, in sacred song there should be graceful"
176,repeat,1636,0,"This Mark signifies a Repetition from that place only where it is set, and is called a"
177,repeat,1832,0,"This time the ‘Hardy Norseman’ is sung, and..the listeners..look down on us from a great height, cheer, and make strong calls for a"
178,responsive,1531,0,"The words yes and no were originally adverbs, but they have, at present, little or no adverbial force. They are used in responding to a question, and are called"
179,shield,1884,0,You have just ruined that new dress under the arms because you did not have a Canfield Dress
180,silly,1636,0,"Cold water struck the women's belly, It made them prove both faint and"
181,sleeve,1585,0,"Proud meacocke, make the world no more believe Gentility is pind vpon thy"
182,speed,1330,0,The little adoe..puts mee into the mood to tell you a tale ere I proceed further; and Menenius Agrippa
183,stationary,1834,0,"A point at which the direction of bending changes from positive to negative, or vice versa ..is called a point of inflexion, and the tangent at such a point is called a"
184,stationary,1938,1,"Observational series which describe phenomena changing with time may be roughly classified in two broad categories, viz. evolutive and"
185,straw,1672,0,"It growing then towards eleven a clock, the City Ladies Eyes began to draw"
186,straw,1672,0,‘That period—probably two o'clock a.m.—when the eyes of chaperons begin to draw
187,suite,1778,0,Let him display..casket after casket of lustrous gems. Then invite her to select her
188,sweat,1387,0,"The fragrant Trees..Owe all their Spices to the Summer's Heat, Their gummy Tears, and odoriferous"
189,tablet,1688,0,"A Table is a broad peece of Glass neere a yard, some more, square, it is also called a"
190,technician,1833,0,"Equally at home producing a novel in sonnets or a cornucopian family saga, Seth has few equals as a literary"
191,timing,1851,0,He..showed us all the power and velocity resulting from hitting the balls at the right time. He called this the art of
192,timing,1851,0,As kids we had one play an off-tackle smash that was a pet with us—a play simple it seemed but demanding perfect
193,timing,1670,0,"Even before 1300, though, navigators were using various ancillary means of navigation which all involved"
194,transcription,1932,1,"The relaying of the Empire station by overseas transmitters cannot for various reasons be assumed to be possible as a regular practice and therefore the recording of programmes on gramophone discs becomes an important subsidiary method of programme circulation... American programmes are already circulated by this method, which is termed ‘electrical"
195,transcription,1961,1,"Mutations in the promoter region lead to a reduction in the rate of messenger synthesis from the whole operon. The promoter is thought to be the region for the attachment of the DNA-dependent RNA polymerase, the enzyme responsible for"
196,twist,1374,0,Ther was no wight saue god and he þat wiste In many wise how soore I hym
197,unclear,1390,0,"Death..is near, and I am most unready for it. Judgment is approaching, my Compts are"
198,upright,1398,0,"It cost me a Month to shape it..to something like the Bottom of a Boat, that it might swim"
199,upright,1856,0,"A male deer of one year old has..one straight horn each side only, which we term his"
200,valuation,1529,0,"The secret wealth of commerce, and the precarious profits of art or labour, are susceptible only of a discretionary"
201,ventilation,1826,0,"This [ sc. raised tension of carbon dioxide in the venous blood] is due..to (1) delayed blood stream, and (2) deficient lung"
202,ventilation,1658,0,This arrangement has..the advantage of subjecting the surfaces of all parts of the corn in succession to the action of
203,ventilation,1615,0,Opinions are not to be accepted as Gospel truth because they may have been uttered at a meeting of the British Association; as I am sure you will have found out if you have watched some of their
204,worship,1450,0,Also ȝee [ read þe] devoute worschepers & disciples of euer-lastynge wisdame mowen..euery daye saye or rede þe schorte seruyse of þat wisdam þat is writen in latyne to clerkes. [at
205,worship,1350,0,"Þe fend..haþ drawe many to his lordship, and specialliche bi heretikis..; and þis shal never ceess bifor Cristis lawe be"
206,additive,1987,1,"The connectives & and ⊕, together with the neutral elements T (w.r.t. &) and 0 (w.r.t. ⊕) are called"
207,affective,1876,0,"Here the author's first care is to mark the equivoques which even yet disturb psychological language , and keep up the confusion of two orders of phenomena so profoundly different as representative and"
208,affective,1876,0,"A deficit in empathy has consistently been cited as a central characteristic of Asperger syndrome.., but previous research on adults has predominantly focused on cognitive empathy, effectively ignoring the role of"
209,affective,1633,0,"Where effective clemency cannot be admitted, there may be room for the introduction of the"
210,affective,1639,0,"But of which and such like places Alexander Hales made it a third, neither speculative nor Practicall; but"
211,affiliation,1836,0,"The Orange Society is dissolved... In Ireland a few natural murmurs have been heard, but they will die away as soon as any evidence is given of the sincerity of the Government in the professed intention of suppressing all other political"
212,affirmative,1449,0,I thoroughly enjoy..the yes-men who hang about the executives and hold their jobs by simply being constantly
213,alienation,1425,0,He explained that I had developed a social veneer—an illusion of friendship—that was meant to conceal my basic hostility and
214,anthropology,1593,0,"The History of Brute and Brutans setteth forth... Genealogy or issue which they had, Artes which they studied, Actes which they did. This part of History is named"
215,antiquity,1375,0,"This Custom..is as ancient as Christianity, as appears from the most certain Monuments of"
216,balloon,1904,0,"For the most part the ball was kicked anywhere—for choice high in the air. ‘There's no one up there,’ shouted an ironical spectator after one of many"
217,band,1400,0,"Þe prisun dors [he] left als he fand, Noiþer he brak ne barr ne"
218,battalion,1842,0,"Moreau expressed a fact of general application, explained according to the irreligious ideas of the French Revolution, when he said, that ‘Providence was always on the side of dense"
219,beard,1450,0,Sommers greene all girded vp in sheaues Borne on the beare with white and bristly
220,boot,1608,0,"He received his Son into the Coach, and found a slight Errand to leave Buckingham behind; as he was putting his Foot in the"
221,cheer,1560,0,"With her best Complexions, Shee mends her Face's wrinkle-full defections, Her Cheek shee cherries, and her ey shee"
222,citation,1538,0,These examples..may serve to give the reader a notion of the sort of merit which we meant to illustrate by their
223,combustion,1556,0,"A Planet..not above eight Degrees and Thirty Minutes distant from the Sun..is said then to be combust, or in"
224,communism,1850,0,From 1902 until 1926 German Marxism..was gradually transformed into what is nowadays called
225,cook,1873,0,"Look at the two-move problem again, for 1 R to K 2 ch seems to be a ‘"
226,cooling,1350,0,"The office of Respiration (say you) is to refresh the Blood by way of Refrigerating, or"
227,critically,1622,0,"Like most idiomatic, as distinguished from correct writers, he [ sc. Dryden] knew very little about the language historically or"
228,crust,1598,0,"A pasty; it shall, and it must, And my wife, little Kitty, is famous for"
229,defender,1788,0,"Irritated by this usage, the catholics also associated for their defence, whence they were called"
230,deficient,1581,0,As for moral evil he [God] is not the author or cause thereof as it is evil: because moral evils as such have no efficient cause but only
231,delight,1340,0,"And if our pen in this seeme ouer slight, We striue not to instruct, but to"
232,documentary,1935,1,"Actuality , presentation of real persons and things to give a picture of contemporary life in a particular aspect;"
233,editing,1699,0,"The spelling check isn't interactive with the document, so I couldn't switch back and forth for"
234,ending,1400,0,"The Dialogue fails in unity, and has not a proper beginning, middle, and"
235,ending,1600,0,There is difficulty in using this form of construction owing to the want of case
236,exempt,1450,0,"My teching eftir my dissese Sall' noȝt be had in contempt, Na all' oute of doyng all"
237,extinction,1513,0,"Red hot needles or wires extinguished in quicksilver, do yet acquire a verticity according to the Laws of position in"
238,extinction,1873,0,"This brings us at once to the part played by the analyzer, the sole function of which is to recompound the two vibrations emergent from the gypsum. It reduces them to a single plane, where, if one of them be retarded by the proper amount,"
239,fishery,1534,0,The Quebec fishermen are satisfied when they have taken enough for their own consumption and for the wants of the cod
240,fishery,1614,0,"The shark-charmer..is paid by the government, besides being allowed a perquisite of ten oysters from every boat daily, during the"
241,footnote,1711,0,The paginal reference notes at the end of the volume in some measure provide a substitute for formal
242,footnote,1858,0,"Sir Colin Coote's breezy, affectionate life of his friend Walter Elliot provides a useful"
243,gravel,1400,0,For he wes awld and micht no t wele travell And als he had ane littill spyce of
244,implicitly,1650,0,"There may be more Obedience required in him that hath the Fundamental Points explicated unto him, than in him that hath received the same but"
245,increment,1721,0,The indefinitely small Portions of the Fluent which are generated in any indefinitely small Portions of Time are called Moments or
246,indifferent,1855,0,Indifferens ..term applied to compound bodies which do not exercise electro-chemical reactions and which do not combine with other bodies:
247,infusion,1532,0,"We all know, that we may infuse, what we will into an empty Vessel, but a full one has no room for a farther"
248,inland,1557,0,"Let us call the group of peninsulas and islands..the out~skirts of the land [ sc. Greenland] , and the compact continent to the E. the"
249,innocence,1400,0,"The Mother Nightingale..Whose Nest some prying Churl had found, and thence, By Stealth, convey'd th' unfeather'd"
250,inverse,1843,0,"These are the formulae of inversion in the plane ω , in which ( ξ , η , ζ ) are the coordinates of a point, and ( ξ' , η' , ζ' ) those of the"
251,inverse,1884,0,"Given a proposition with A for subject and B for predicate, we obtain by inversion a new proposition with not-A for subject. The original proposition is called the invertend and the inferred proposition the"
252,lift,1470,0,"And thiefes must hang, and knaves must shift, And silly fooles must have the"
253,lineage,1366,0,Each village has a number of smiths of varying degrees of training and competence each assisted by novices who together form a
254,macro,1974,1,"The forms and methods of economic management, both micro and"
255,mainland,1673,0,"Thirst of secret lore, joy, love..power, celestial happiness.., The restoration of angels lost, And one salvation universal given To all create,—all these, related, form..the body of the work;—The islands, seas, and"
256,mainland,1503,0,"The Fair Isle Field Mouse... Distribution: Fair Isle and Shetland Islands, where it occurs on Yell, and possibly on"
