id,target_word,prefix_tail,sets_up_form,construction,donor_near_slot,notes
P9f59c30d,junk,"Oh, great, you sent this out so that we get it about 3 weeks after being flooded by a massive wave of bizarre stuff that all went into",,,,
P21d2bd7c,tablet,"For under £300, you can buy an AR Parrot that will fly further and higher, and stream video footage by Wi-Fi to a smartphone or",,,,
P3699c9c5,shit,Some preppy..jock from Deerfield started giving me,,,,
P545d312b,singlet,"For an element of the mass [ formula follows ] certain states in which the neutrons are in the doublet, the protons in the triplet state, exactly coincides [ sic ] in approximation (1) with a state in which the neutrons are in the quartet, the protons in the",,,,
P4c69a28f,trainer,"Auditory training in the Kindergarten is performed only by a single person. We do not use as a rule individual hearing aids, but use an apparatus, called a ‘",,,,
P60e75ce9,initialization,The programmer sitting at his desk with no more information than the trace may wish to know what happened in an early section of the program which set up the,,,,
P4e52bcf6,quantization,"Representing the signal by certain discrete allowed levels only is called quantizing. It inherently introduces an initial error in the magnitude of the samples, giving rise to",,,,
Paec70ecc,ambient,"Over the past three years I have become interested in music as ambience... To create a distinction between my own experiments in this area and the products of various purveyors of canned music, I have begun using the term",,,,
P980e4cc7,word,"Mainframe computers typically used in High Street banks, etc., work with 64-bit",,,,
P2c5deee2,ancillary,"The units under his control would suddenly stop purchases from some privately-owned ancillaries ... Krishnamurthy would then..ask his sons to negotiate to buy up these units. And before you knew it, the dried-up orders would start coming again to the",,,,
Pc6af7a74,pretrial,"They've already netted us some better, more efficient therapies, many of which are undergoing FDA trials or",,,,
Pb6afd368,projected,"This forecast those in charge of finance must balance against the expected cost of sales..other expenses, and capital outlays thought necessary to effect the",,,,
P47691910,moist,"I felt my nostrils flare like a stud's at the nubby tight sex of them, flustered and pink-scrubbed, giggling and",,,,
Pb5e2820c,cartridge,"In the case of crystal pickups.. it is inadvisable to make any attempt to repair the crystal, it being preferable to replace the defective crystal with a new",,,,
P06022bc9,relation,"If the database is extended to include new kinds of data, all that is needed is the creation of new",,,,
P9f0f1df2,saturation,"A more efficient strategy is to scan more frequently, but to use less than a 90 pulse to reduce the effect of",,,,
P948dc0e4,transcription,"...tion by overseas transmitters cannot for various reasons be assumed to be possible as a regular practice and therefore the recording of programmes on gramophone discs becomes an important subsidiary method of programme circulation... American programmes are already circulated by this method, which is termed ‘electrical",,,,
P55c72532,neutralization,"The fostering of an institutional mind-set by superiors (John and Robert Kennedy) that includes assassination... As a result of pressure from both Kennedys, the CIA set up a compartmented unit devoted to Castro's",,,,
P2b5bbf6a,cytokine,"These results all suggest that lymphokine production..represents a general biologic phenomenon... Thus, such mediator substances should be more properly called ‘",,,,
P350750c5,right,"I'll..get a cabin in the woods too, where..I just admire the same old eve star..which droopeth on Iowa tonight just as ever,",,,,
Pead4515f,keep,"The reviews..talk about his delicate perception and keen wit, but for me they can",,,,
P26d167d7,download,Each compartment of the tanker is filled to capacity. If this arrangement causes one or more axles to be overloaded some product must be,,,,
P706ac53c,nanotube,Interest in carbon fibres has been stimulated greatly by the recent discovery of hollow graphitic tubules of nanometre dimensions. There has been much speculation about the properties and potential application of these,,,,
Pa534ebcc,sociable,"In passing through such a cycle, one of the sums may turn out to equal the original number and then we have an ‘amicable number of a higher order’ or..a ‘",,,,
Pb87aeea9,emulate,The emulator divides the system's memory into two sections. One section holds the operating system and whatever applications program is running. The second section of memory is used to,,,,
P0a584747,robust,There was little acceptance of Clarke's claim that his Stw 252..represents a new species tending towards the,,,,
Pa62a3041,exciton,"Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized)",,,,
P5e40e9c0,formulation,The preparation of the liquid mix from which plastic tools are moulded is said to be simplified by a new series of pre-measured,,,,
P30cf5c54,synthase,This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine,,,,
Pf9006664,internet,Each of the networks supports the DARPA transmission protocol as they are a part of the DARPA,,,,
P9981dd2f,one-to-one,He's more likely to say ‘thanks a lot’ and take your love lessons—together with the tie you bought him—straight into another,,,,
P4ef952a3,lash,I am a natural sportsman. Only last week I donkey licked the local kindy kids at drop the hankie. So I went out to Surfers Paradise course to have a,,,,
P5d9db572,miner,"Nvidia said last month it would tweak its cards to limit their capacity for crypto mining, and introduce separate hardware for",,,,
P96e27297,positron,"The unit of heavy hydrogen, the deuteron, or deuton, as it has been called, bids fair to rival in interest its recently found cousins, the neutron and",,,,
P628763a9,predation,"The courts do not use this cost-based test to establish predatory pricing. Rather, below-cost prices create a presumption of",,,,
Pabefcd50,discordant,"Generally speaking, the partners are concordant when their genotype is the same, as in identical twins, but when their genotype may be different, as in fraternal twins, the partners are more often",,,,
P9274320a,penetrate,"Deep penetration must not be aimed at for a number of sessions, and when the woman is ready for it she will move her body in such a way that the penis will",,,,
P6fc52f79,extension,An ‘extended’ position can look beautiful with dancers of the jarreté type who are loose enough to sustain such a position without straining too noticeably and are therefore said to have a good ‘,,,,
Pb0b19fe3,recruitment,The results..suggest a correspondence between BM [ sc. basilar membrane] displacement and loudness perception in cases of,,,,
P82835c83,yellow,"One popular model has red, white and blue quark triplets. This obviously American model can be expected to be followed by models with other patriotic colors or with equal representation of white, black and",,,,
Pd5b2d245,mainland,"Since the start of the Industrial Revolution, about 200 years ago, the way most people in Northern Ireland make their living has depended on the links that business managers and factory owners have made with the",,,,
P7607d5de,micelle,"In cellulose these units are linked together to give straight chains of different lengths, several of which are aligned parallel to each other,..forming a micellar bundle or",,,,
P0ed378ad,signifier,"He is now testifying, a form of signifying in which a respondent praises and reinforces the verbal skill of the",,,,
P3d0eb700,hypertext,"Such a congeries of interconnected text may incorporate and have available many chunks of literature on a given subject, or many subjects, purposely assembled and woven together by authors and editors. The name for this new medium is",,,,
P32691ed7,induction,"In 1950, Lwoff, Siminovitch and Kjeldgaard showed that..irradiation of cultures of lysogenic Bacillus megatherium with ultraviolet light greatly increased the proportion of bacteria producing phage... This phenomenon is called",,,,
P3a3ed591,back,Doheny drank Crown Royal straight with water,,,,
Pa0106f7b,sit,Make certain that you can do an individual movement with perfect technique before you include it in the exercise. Then try it out in minor competitions until it ‘,,,,
Pd01879ff,frontman,"In the era of Jay Leno and David Letterman, [Arsenio] Hall would be the hipster's choice of late-night",,,,
P425c5451,marginalization,"McGrath reminds his Cambridge undergraduate audience of his position, as a product of the northern English working class; and of the relevance of such reminders when considering questions of assimilation and",,,,
Pb06f6542,positive,A distinctive large family of single-stranded RNA viruses is called Retroviridae: the RNA of these viruses is,,,,
Pe92dba00,catcher,"I ain't one of them muthafuckin' faggots. Sure, I have sex with men, but I'm the pitcher not the",,,,
P50c41d84,thematic,In interrogative clauses..the initial constituent must be regarded as rhematic rather than,,,,
P1d8c5abf,overcome,That the Freedom Riders left their imprint on the prison was evident from the songs and slogans they scribbled on the walls. A favorite was the crusaders' theme We Shall,,,,
Pb6180a4c,termination,We suggest that these codons [ sc. UAG and UAA] are the normal recognition signals in messenger RNA for chain,,,,
P037bde1c,annotation,"Our study includes a near-complete representation and localization of genes, repeat elements, and sRNA, as well as functional and metabolic",,,,
P2c9cf5f5,synthase,An alternate view is that cystspecific RNA synthesis during encystment is not necessary for the formation of cellulose,,,,
Pc4638ede,target,"Each missile launches a ‘bus’, which has on board a large number of reentry missiles, each of which can be accurately and independently",,,,
Pc26f3f2f,colonization,These results point a way toward further possible experimentation along the same line with this group of flies and with other insects that have resisted,,,,
P644d4e09,open-ended,"This at least was suggested by their answers to questions in standard intelligence tests, which tended to an alarming degree to be of the closed rather than",,,,
P433b2cfa,nonsense,"We shall assume that there are certain sequences of three nucleotides with which an amino acid can be associated and certain others for which this is not possible. Using the metaphors of coding, we say that some of the 64 triplets make sense and some make",,,,
Pbd4216e5,compliance,"If voltage be taken to represent force, and current to represent velocity, inductance corresponds to inertia and capacitance to",,,,
Pf4e7d2ca,breakthrough,"Continuous low-dose maintenance therapy with H 2 -receptor antagonists reduces the relapse rate [of duodenal ulcer] , but it is expensive and there are problems with patient compliance and",,,,
P698271a2,munition,"Originally, the US attempted to prevent the use of strong encryption by foreign governments. The export of the technology was prevented under US laws that classed it as a",,,,
P56c4ca64,cope,Angela rang the bell wildly for someone to come and,,,,
P3f8b160f,subroutine,"We call the coded sequence of a problem a routine, and one which is formed for the purpose of possible substitution into other routines a",,,,
P4e274757,stressor,"The term ‘systemic stress’ is sometimes loosely employed also to denote the stimuli which cause systemic stress. In this sense, it is preferable however, to speak of alarming stimuli or ‘",,,,
P02b957a7,preference,"This bidding invariably shows a two-suiter... If he prefers the spades, he can bid two spades to indicate his",,,,
P3e7050bf,biotechnology,"Hours of work, on-the-job feeding, rest periods, etc. are also phases of the physiology of work which form an important part of a comprehensive",,,,
P8b456c33,statutory,Mr. A. P. Herbert..moved an amendment to delete the provision that at least one independent member of the Advisory [Films] Council should be a woman. He said that he hoped they would abolish from the clause and the Bill..what was called the ‘,,,,
P98440077,training,"If the machine's trainer accidentally makes occasional mistakes and forces the wrong answer from the machine, the machine can overcome this bad",,,,
P86851d99,thing,"I'll hear about an award-winning show..and think, ‘Oooh, brilliant, I'll watch that, what side is it on?’ Amazon, that's what side. How can that be a",,,,
Pa1b8cec7,prospective,"Further retrospective studies of that same kind would seem to us unlikely to advance our knowledge materially... If, too, there were any undetected flaw in the evidence that such studies have produced, it would be exposed only by some entirely new approach. That approach we considered should be ‘",,,,
P88228aa8,seasonally,"Both parameters depend on the mesospheric circulation, whose main features at a particular latitude vary",,,,
Pde1d3ef5,mailbox,A typical electronic mail system now provides..an alerting mechanism to tell the user that he has new mail in his,,,,
P6520d4c2,necrosis,"Catharsis is a condition which O'Neill seldom achieved, preferring, as he did, narcosis and",,,,
P3edc491c,narration,The presentation..combined silent film footage and hand-colored slides..with a melodramatic,,,,
P3b549831,breakout,"In through-hole drilling of Nylon, Teflon and Acetal, feed should be lightened toward the bottom to prevent",,,,
P10bed60a,rest,What seems to emerge from the encounter of historical materialism with the two anthropological structuralisms is a distinction between the West and the,,,,
Pbc4608e4,knob,What percentage of the blokes on Naked Attraction just want their friends and family to know they've got a massive,,,,
Pcefcd7ce,smoke,"But Matthew makes it more plain than Luke that we are not merely dealing with what Schweitzer called an interimsethik , a scale of values only appropriate to a world which is shortly to go up in",,,,
P2781e775,electronics,"Nuclear blasts produce a strong burst of electromagnetic waves that can induce strong current pulses in metal wires, and those pulses can fry delicate",,,,
P79427529,main,"Today's specials are..crab fishcakes with a spicy sauce (again, available as a starter or as a",,,,
P5310e83a,networking,"‘Network’ is a noun referring to entire social or family network as the unit of intervention... The techniques..described by Speck and Attneave..are those of assembling the social network, which they prefer to call a process of retribalization rather than ‘",,,,
Pb98f5524,lawfully,"The principle of universal lawfulness does not assert that facts are determined by laws, but in accordance with laws, or simply",,,,
Pd4f14769,polymerase,"Attempts were made to increase the yield of desoxyribonucleic acid by adding citrate or phosphate ions to the glycine solution in order to bind magnesium ions, which presumably activate nucleases or",,,,
Pde3ccff7,hysteresis,Another likely hypothesis is to consider the demand as depending not only on the present price but on all previous prices as well... This is the usual restriction in treating the phenomena of,,,,
Pc75f8c87,block,Some exhausted and anxious people can..easily lose the thread of their conversations and may appear to,,,,
Paa96e90e,touchdown,"The term landing , when used in a discussion of space flight, actually can be considered as four phases: i.e., the exit from orbit, the reentry, the letdown, and the",,,,
P11741f7c,peripheral,This technique can also be extended to include several main programs as well as the smaller subroutines used for controlling,,,,
Pf384f174,reception,I cannot see the Congregation's advisers and consultants being ready to accept what the hierarchy has said about ‘,,,,
P4b7c1edd,include,"An ordinary man, on deciding to quit the Hays organization, might have turned to his fellow producers and said, ‘Gentlemen, I prefer to stand aloof,’ or, ‘Gentlemen, I have decided to go my own way.’ Sam [Goldwyn] said, ‘Gentlemen,",,,,
Pe2b6375b,moderne,"This is a headstock shape that works, I think; it's functional and not overly indebted to its forbears—modern, without being",,,,
Pdd049335,seating,"Never wear a slick, straight skirt without a tight-fitting slip beneath... That way there'll be no ‘",,,,
P4bcfa1cf,aerospace,The use of acoustic energy to perform all those functions in hydrospace for which electromagnetic energy is employed in,,,,
Pa3dc1461,trip,The drums are bright shiny cab yellow by the way. It's a,,,,
P56a96d04,southern,"I listened to the Governor's lady talking for some minutes to some of her South Delaware friends, and they were talking",,,,
P059bd329,positron,"Working at the CERN atom smasher in Geneva, the team managed to construct antihydrogen from the anti-matter equivalent of a proton and an electron—an antiproton and a",,,,
Paea7f2b8,draw,It is now likely the player with the king up started with two kings since it does not appear possible that he could have a,,,,
P503bfc31,franchisee,Opposer adopted the word slim for vitamin-fortified skim milk in 1949 and by use of franchises extended the sale of its products to 40 dairies in 21 states. Mark is normally used in conjunction with the primary mark of the,,,,
Pf244e622,salience,The difference between the centrality of an object to an individual and the closely related matter of its,,,,
P0807b3d6,rally,"Suppressed desire dept.: To play tennis with Katherine Hepburn and hear her say: ‘Really, let's",,,,
Pb5d4fc96,button,‘Hey!!!’ I wrote back to his text... My thumb hovered over the ‘send’,,,,
P535e252d,basic,The facts upon which all facts which are the immediate reference of a true proposition are based..may..be called,,,,
P04d9ef48,trip,You were under the influence. He tried to talk to you... I said you were on a,,,,
Pfe6bd4af,innovation,It seems impossible to establish scientifically any final conclusion concerning the relation between monopoly and,,,,
P56a77065,documentary,"Actuality , presentation of real persons and things to give a picture of contemporary life in a particular aspect;",,,,
Pf26a3e06,functionality,"The most common linkers..provide molecules with a specific functional group, for example carboxylic acid or carboxamide. This does not cause a problem if the target molecule requires this",,,,
P2e26e2f7,testosterone,Many mammary cancers would regress when the influence of the female sex hormone was lessened by removal of the ovaries or by injections of,,,,
Pdb9ee47b,stuff,"Satura ..can also be applied, since it was originally adjectival, to a pregnant woman and to a sausage, both of which, in vulgar parlance, can clearly claim to have been",,,,
P1d22e10a,interpreter,"Although the art of interpreting air photographs had been developed quite a long way in the First World War, in the summer of 1939 there was precisely one experienced",,,,
P0385c4e7,rectification,"A fall in the membrane conductance when the membrane current flows from the inside to the outside of the fibre, and rise in conductance when the current is in the opposite direction has been called anomalous",,,,
P6b4c262e,cholinergic,"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘",,,,
P10e344d7,parametric,"... assumed to be of known functional form, and the theories of estimation and of testing hypotheses are theories of estimation of and of testing hypotheses about, one or more parameters..the knowledge of which would completely determine the various distribution functions involved. We shall refer to this situation..as the",,,,
Pb4a17a20,insecure,The term ‘insecurity’ and its correlative ‘desire for security’ appear extensively in child development literature... We need methods by which we can discriminate between the relatively secure and the relatively,,,,
P4e9f721b,globally,"Inversion has the advantage of preserving circles and angles, and hence proportion locally if not",,,,
P3165feff,rotor,"The motor torque was found to be nearly constant over a wide range of speeds, which is predicted for a mechanism in which energy from the ion gradient is used to apply force to the",,,,
