text,target_word,year,entry_start_year,rank,top_10_words
"After the completion of the test sequence, the probe assembly is automatically lifted up and the probes are indexed over to the next chip to be tested on the wafer",wafer,1956,1377.0,1,wafer|same|next|test|carrier|probe|fixture|cassette|other|chip
The SIM Lock can be deactivated to allow a customer to switch to another network or service provider..but operators often charge a significant fee before they provide the information necessary to unlock,unlock,1996,1400.0,1,unlock|do|deactivate|remove|perform|disable|allow|switch|make|activate
Special Branch would not want to be involved in a killing so far from their own turf,turf,1962,,1,turf|territory|area|patch|jurisdiction|country|headquarters|home|backyard|base
This week the Government launched a..campaign to assure parents there is no link between the MMR jab and autism,autism,1944,1912.0,1,autism|the|bowel|a|autistic|crohn|developmental|childhood|children|conditions
The importance of emotional factors in the development of intelligence is brought out dramatically in a disease of children called ‘ infantile autism,autism,1944,1912.0,1,autism|amnesia|psychosis|schizophrenia|idiocy|paralysis|cerebral|spasms|psychomotor|amaurosis
"Dave wandered into my office, mumbling about a hiccup in the Unix accounting system",system,1956,1580.0,1,system|software|program|package|database|systems|server|code|application|machine
"Access to specific pieces of information is far faster on a compact, rapidly spinning disk than on a long ribbon of tape",tape,1932,,1,tape|magnetic|film|plastic|slow|data|slowly|paper|flexible|slower
"Hill..was representing a Germany united for Olympic purposes, which won three gold and a silver",silver,1960,,1,silver|bronze|total|pair|single|record|couple|number|host|dozen
It is a good idea to open the bottle about an hour before pouring. This is known as letting the wine ‘ breathe,breathe,1950,1300.0,1,breathe|breather|breath|breathing|oxidise|oxidize|breaths|come|breadth|open
It would be self-deception to think that unemployment could be dealt with by emergency measures and pushed under the carpet,carpet,1963,1345.0,1,carpet|rug|table|bed|floor|mat|covers|cover|surface|economic
Any procedure can be represented as a game by assuming that each voter makes a plan in advance regarding the course of action he will take in every division which can arise. Any such plan may be called a ‘ strategy,strategy,1944,1616.0,1,strategy|voting|game|programme|stratagem|strategical|tactic|vote|manoeuvre|coalition
"There may well be children who need special education in its general, descriptive sense but who do not go through the recording process culminating in a statement",statement,1981,1750.0,1,statement|special|formal|diagnosis|written|specific|referral|child|classification|determination
The flight ran into difficulty when telemetric communications failed just a second and a half before separation of the rocket's third stage,stage,1935,1300.0,1,stage|and|booster|phase|engine|rocket|main|of|state|liquid
If you're havin' girl problems I feel bad for you son,son,1987,,1,son|boy|kid|honey|homie|suh|bro|cuz|bruh|cause
"She was shaking the sardines into a saucer. ‘There, kitty! Try those for size",size,1956,1300.0,1,size|a|starters|supper|your|dinner|breakfast|me|yourself|lunch
In 1977 Britain..threatened to bring down the whole European edifice built up painstakingly by the original Six,six,1957,,1,six|architects|founders|members|treaty|european|signatories|eec|framers|common
"One type of [adrenotropic] receptor is associated with most of the excitatory functions and with at least one of the inhibitory functions (intestine). The other type is associated with most of the inhibitory functions and with one..excitatory function (myocardium)... Because of the opposite effects..the customary signs, E (excitatory) and I (inhibitory) cannot be applied. Therefore, for convenience they have been designated as the alpha adrenotropic receptors and the beta",beta,1948,1400.0,1,beta|alpha|non|delta|b|omega|gamma|so|other|nonalpha
"Less prominent, because lower in voltage, is a faster rhythm, with a frequency of about 25 waves a second, called by Berger the ‘ beta",beta,1936,1400.0,1,beta|alpha|fast|berger|rapid|restorations|slow|β|delta|eeg
"You sound just too busy—and so am I. It is a curse and an addiction, this being busy overmuch and one shd do something about it—a course of Antabuse-iness [ read anti-busyness] and membership in Busy-bodies Anonymous",anonymous,1950,1551.0,1,anonymous|of|club|and|anon|inc|for|group|international|support
"Among those under 25, the survey found almost two-thirds had argued, 23 per cent had been stalked, 20 had dumped a boyfriend or girlfriend, and four per cent had quit a job by text",text,1995,1387.0,1,text|sending|email|e|throwing|leaving|texting|phone|posting|quitting
"As Opie says about her S-and-M practice today: ‘I've worn out any desire for being a bottom. If I play now, I'm the top",top,1979,,1,top|dominant|one|dominatrix|domme|sadist|dom|boss|master|mistress
He is scheduled to perform several songs from his new acoustic album,album,1945,1612.0,1,album|ep|cd|record|project|release|solo|collection|live|lp
The domestic implications of this functional ideology were not lost upon the peers who shared its universe of discourse,discourse,1931,1400.0,1,discourse|meaning|reference|values|ideas|meanings|thought|experience|assumptions|references
"It is not necessary to postulate a mysterious realm of abstract entities, called ‘numbers’, as the subject-matter of mathematical discourse",discourse,1931,1400.0,1,discourse|reasoning|statements|thought|practice|propositions|sentences|knowledge|investigation|objects
It's a popular misconception that the original version of a song must be better than a cover,cover,1952,1300.0,1,cover|later|newer|new|remake|remix|re|more|live|remixed
"Sigma 5's central processor is so powerful and sophisticated that it works even more efficiently with $500,000 worth of memory, peripherals and options than it does in its basic $90,000 configuration",configuration,1962,1559.0,1,configuration|form|version|package|system|format|mode|state|to|computer
"A recent demonstration..showed a toy train in accurate three-dimensional representation, using a hologram illuminated from behind by a gas laser",laser,1960,1960.0,1,laser|discharge|flame|jet|plasma|lamp|of|arc|light|burner
Anabolic steroids..do create psychological effects. You hear references to 'Roid Rage,rage,1987,1325.0,1,rage|rages|madness|heads|mania|ragers|anger|raiders|raids|rag
"When entering the experimental stage of the design process..one should first deal with the mock-up, then the model, and finally the prototype",prototype,1932,1552.0,1,prototype|full|actual|product|finished|design|real|final|working|production
The Delta Clipper-Experimental (DC-X) rocket ship..lowered itself onto a modest concrete pad,pad,1949,1554.0,1,pad|launch|landing|platform|ramp|stand|slab|pedestal|runway|block
He was thinking about what he should get in the duty-free shop once he was through security,security,1942,1425.0,1,security|the|immigration|customs|passport|with|airport|border|to|and
It is vital that people avoid buying factory farmed chicken and go for free-range or organic,organic,1960,1400.0,1,organic|even|organically|better|wild|higher|outdoor|free|certified|at
They had arranged an emergency meeting place and a postal ‘ drop,drop,1959,,1,drop|pigeon|collect|pickup|address|letter|safe|forwarding|collecting|meetup
"With the engine started, the lever is moved to place the pointer at ‘D’ ( Drive",drive,1950,1662.0,1,drive|neutral|driving|derek|direct|dry|diesel|dead|idle|driven
The Church could not condemn [artificial insemination] if the husband were the donor,donor,1947,1513.0,1,donor|father|biological|only|one|sole|source|sperm|recipient|natural
"The great radio-telescope at Jodrell Bank in Cheshire, with its 250-ft. reflecting ‘ dish",dish,1948,,1,dish|bowl|lovell|telescope|dishes|love|parabola|disk|plate|dss
The program has a number of methods for solving simple and higher order differential equations; the widely-used Runge-Kutta method is loaded as the default,default,1965,1250.0,1,default|standard|first|main|initial|built|base|solver|primary|basic
"The clothing-optional club Med of cybersex is a great place to try out a new genitalia in private rooms (or in public, if that's how you roll",roll,1991,1325.0,1,roll|swing|like|prefer|feel|get|do|are|choose|want
"As our daily schedules become even more inconsistent, restaurants are finally learning to adapt",adapt,1942,1531.0,1,adapt|accommodate|adjust|cater|be|embrace|open|keep|offer|meet
A narrow beam antenna suitable for accurate tracking has a very limited field of view and requires additional facilities for target acquisition,acquisition,1947,1400.0,1,acquisition|tracking|detection|identification|location|selection|recognition|locking|illumination|discrimination
"Hybridomas were screened..and the molecular specificities of the mcAbs were determined using electrophoretic transfer procedures, ‘ Westerns",western,1985,,1,western|sandwich|southern|and|in|as|dot|northern|the|which
We shall discuss..evidence that holes are actually introduced into n- type germanium by the forward current of an emitter point... We shall refer to this important process as ‘hole injection,injection,1945,1541.0,1,injection|generation|trapping|diffusion|extraction|creation|pumping|formation|drift|production
"It offers conference calls, an office intercom system, and even that maddening canned music for callers put on hold",hold,1965,,1,hold|indefinite|permanent|the|a|temporary|eternal|endless|long|pause
The jazz-loving ‘hep-cat’ who claims that the music ‘sends’ him until he is ‘ gone,gone,1946,1450.0,1,gone|floating|dizzy|higher|tingling|sending|transported|exalted|stoned|taken
We were standing around like passengers who've had their flight called but haven't been told which gate,gate,1956,,1,gate|plane|terminal|flight|aircraft|boarding|row|jetway|seat|door
Netflix reported more subscribers than analysts had expected even though it missed earnings projections. Go figure,figure,1960,1382.0,1,figure|to|deeper|here|daddy|ahead|back|pro|for|further
"For under £300, you can buy an AR Parrot that will fly further and higher, and stream video footage by Wi-Fi to a smartphone or tablet",tablet,2002,1300.0,1,tablet|other|computer|ipad|laptop|a|pc|to|vr|similar
The beer drinker opens the can by pulling off the tab,tab,1963,1607.0,1,tab|top|ring|lid|pull|cap|crown|metal|plastic|end
I've never met any of his—interests. Certainly not this girl. I dunno her from a bar of soap,soap,1938,,1,soap|chocolate|gold|lye|paraffin|iron|ivory|irish|chalk|wet
‘Why doesn't she marry the child's father?’.. ‘It's my belief she doesn't know him from a bar of soap.’,soap,1938,,1,soap|chocolate|paraffin|gold|chalk|white|iron|black|lye|wax
‘Do you mind if I get on top?’ she asked. ‘It's hard to breathe since I had my illness.’ ‘ Be my guest,guest,1955,,1,guest|guess|pleasure|fucking|guests|lady|honoured|love|gu|special
"‘Did you say something, man?’ the face asked. I took a deep breath..and then I address the face. ‘Not a thing, brother,’ I reply, ‘not a thing. Be my guest",guest,1955,,1,guest|friend|brother|guess|best|guests|eyes|guide|witness|first
Somewhere in the app we'll need to show the user's shopping cart and let him edit,edit,1958,1699.0,1,edit|add|remove|change|or|checkout|check|modify|make|know
"I recently bought a computer running Windows 7, only to find that my Canon scanner no longer works because of the lack of a suitable driver",driver,1968,1390.0,1,driver|wia|scanner|twain|windows|vista|version|canon|drivers|win
Referees are expected to provide objective evaluations of the works they review,review,1975,1573.0,1,review|are|judge|read|have|assess|receive|evaluate|consider|see
One advantage..is that MS-DOS function 27H can be used to allow a program to terminate but stay resident,resident,1966,1384.0,1,resident|in|running|on|loaded|within|active|open|around|at
"For the New Critics, a writer never speaks for himself but only through an assumed persona, a mask",mask,1948,1533.0,1,mask|character|voice|persona|literary|fictional|kind|speaker|mouthpiece|narrator
"Irregular patches are sometimes seen on the face and neck, the so-called chloasma uterinum (uterine mask)",mask,1940,1533.0,1,mask|freckles|spots|chloasma|freckling|pigmentation|pregnancy|stain|freckle|melasma
"At any moment a change in voltage can wipe out what one has written before ‘saving to disk’ and, even when one has saved, a disk can ‘ crash",crash,1973,1400.0,1,crash|corrupt|die|become|fail|dropout|lock|corruption|malfunction|keel
We might regard liquid helium as if it consisted of a ‘mixture’ of two liquids—one is ‘superfluid’ without viscosity..and the other is ‘ normal,normal,1941,1598.0,1,normal|ordinary|regular|liquidity|viscosity|liquefied|usual|liquid|refrigerating|fluid
In the visual arts the Walker Art Centre houses a world-famous collection of moderns,modern,1959,1485.0,1,modern|contemporary|american|art|abstract|international|works|paintings|post|scandinavian
"The wheelchair variety is played much the same way leg basketball is played. The only rules applying especially to that mode of travel are..you are allowed five seconds, not three, in the key",key,1946,,1,key|wheelchair|chair|backcourt|air|lane|paint|front|back|corner
He made two foul shots and a jumper from the top of the key,key,1946,,1,key|arc|circle|lane|paint|arch|foul|three|free|box
If your database doesn't have an ID field..it's up to you to create one and set the primary key,key,1963,,1,key|keys|index|field|and|for|id|to|or|on
For the past 10 years or so smokestack industries have been unpopular because they have been seen as pollutors of the environment,environment,1948,1603.0,1,environment|air|atmosphere|planet|natural|earth|land|world|global|local
The bank..acquired the Forest Fair mall..when the mall lost three of its big six anchors,anchor,1960,,1,anchor|anchors|tenants|stores|department|retailers|retail|original|store|national
‘Hey!!!’ I wrote back to his text... My thumb hovered over the ‘send’ button,button,1981,1330.0,1,button|key|icon|option|message|text|arrow|tab|for|but
Such a plan will not answer the big questions of whose finger will be on the button,button,1949,1330.0,1,button|trigger|nuclear|switch|launch|big|buttons|proverbial|red|ultimate
"Mating two dual-core processors inside a CPU package, with the two entities communicating over the front-side bus",bus,1946,1832.0,1,bus|buss|buses|interface|system|or|and|busses|cache|package
"The hundreds of..‘nuclear mutants’—the most recent victims of the Soviet Union's costly, often tragic relationship with the atom",atom,1945,,1,atom|atomic|bomb|nuclear|hydrogen|world|a|peaceful|technology|most
"In case of a serious hydraulic misfunction, a kill switch on the collective can instantly revert the controls to manual",manual,1964,1406.0,1,manual|the|mechanical|a|their|neutral|normal|flight|conventional|full
"Long after the rest of us switched to electric typewriters, and later computers, he continued pounding out copy on his beloved Royal manual",manual,1972,1406.0,1,manual|typewriter|portable|quiet|standard|that|with|and|electric|model
A girl who would be attracted to Bud's mean streak and bad temper must be a little out to lunch,lunch,1955,1591.0,1,lunch|begin|start|sea|get|herself|dinner|the|breakfast|dry
"The chemical behaviour of such systems has to be investigated in a reactor by passing a pipe containing a portion of the system under investigation through or close to the reactor core. Such a pipe, with the necessary measuring equipment, is called a test loop",loop,1957,1475.0,1,loop|section|pipe|assembly|line|rod|rig|cell|facility|bed
"Across the street under the low-rise apartment buildings, the young whiteys were drinking beer and macking while they listened to WABC radio",radio,1935,1907.0,1,radio|on|and|am|or|in|out|with|playing|from
The other semi-final was disappointing. Roscoe Tanner..had upset Bjorn Borg in the quarters,quarter,1950,1300.0,1,quarter|first|quarters|previous|quarterfinals|semi|final|second|quarterfinal|fourth
"This bidding invariably shows a two-suiter... If he prefers the spades, he can bid two spades to indicate his preference",preference,1945,1456.0,1,preference|hand|suit|strength|interest|holding|willingness|two|desire|partner
"The forms and methods of economic management, both micro and macro",macro,1974,1933.0,1,macro|macroeconomic|meso|macroeconomics|macrolevel|macroscopic|mezzo|mac|mega|maco
Doctors starting their careers..had few patients on their lists,list,1949,1604.0,1,list|own|hands|panel|first|lists|books|roster|rolls|ward
I went..to meet some people who had a development problem they wanted to drop in our laps,lap,1962,,1,lap|laps|hands|office|inbox|bucket|box|basket|path|team
"We might, if you're lucky, put your photo on it, and all that jazz",jazz,1956,1912.0,1,jazz|stuff|sort|kind|other|good|will|for|you|would
I ski in Switzerland—blue shadows on white snow and all that jazz,jazz,1956,1912.0,1,jazz|stuff|good|sort|kind|crap|shit|is|nonsense|but
"The highly fancied Pharly, who beat Crystal Palace three weeks ago in the Prix Lupin at Longchamp over a slightly shorter trip",trip,1959,1412.0,1,trip|distance|course|journey|six|mile|sprint|two|seven|straight
Dan Cupid is a stocky..colt with..little on public form to prove he can get the trip,trip,1959,1412.0,1,trip|distance|job|mile|extra|miles|required|two|distances|necessary
How good is the lens on your camera? Is it a bit soft,soft,1945,,1,soft|of|blurry|fuzzy|out|lacking|better|on|too|old
"It was a Saturday morning, when many go into the city centre to do their weekly ‘big shop",shop,1960,,1,shop|food|shops|grocery|shopping|supermarket|top|spend|shoppin|weekly
"As they say about boxers who are getting on in years, she is over the hill",hill,1950,,1,hill|top|hills|hump|cliff|line|weight|proverbial|mountain|limit
"The flawless skin goes, the lovely eyes fade, and she knows she is over the hill",hill,1950,,1,hill|age|top|edge|line|hills|limit|moon|peak|cliff
"Another scheme is to use an electroluminescent surface... Wires buried in the surface can be controlled by the computer to generate voltages, and hence light, as desired for picture displays",display,1945,1583.0,1,display|elements|and|or|generation|information|content|reproduction|presentation|displays
"He had flitted between the track and roads for many years, occasionally showing flashes of promise but never making a commitment to any one discipline",discipline,1970,1225.0,1,discipline|form|event|code|sport|surface|area|thing|of|career
The Google API allows anyone to write programs and create web pages that search Google's database,database,1962,1953.0,1,database|index|vast|public|massive|databases|web|entire|publicly|data
"They quickly turned the screw, with three goals—by Pointer, side-footing in Douglas's cross",cross,1961,1225.0,1,cross|pass|centre|corner|shot|low|long|free|cut|center
She got bigger and bigger every time she came in and now she's about ready to pop,pop,1939,1390.0,1,pop|give|have|deliver|burst|go|explode|drop|be|come
"We shall assume that there are certain sequences of three nucleotides with which an amino acid can be associated and certain others for which this is not possible. Using the metaphors of coding, we say that some of the 64 triplets make sense and some make nonsense",nonsense,1961,1612.0,1,nonsense|no|noise|sense|none|little|not|non|nonsensical|senseless
The entire aggregation of elements is termed an electric network... Each junction point of two or more branches is termed a node,node,1943,1391.0,1,node|network|junction|switch|terminal|bus|branch|cross|connection|circuit
Most golf clubs have a share of ‘ear-bashers’ as the Aussies call the type who verbally replay their strokes ad nauseum at the ‘ nineteenth,nineteenth,1948,,1,nineteenth|eighteenth|seventeenth|practice|practise|eighteen|tees|honours|watering|ebitda
I will use the term modern to designate any science that legitimates itself with reference to a metadiscourse of this kind making an explicit appeal to some grand narrative,narrative,1977,1539.0,1,narrative|theory|vision|story|unifying|unified|tradition|overarching|historical|scheme
"Overworked, terminally exhausted and burnt out by city living, many thirty-somethings and their families are ‘greenshifting’—foresaking urban routine in pursuit of a slower pace",pace,1933,1300.0,1,pace|life|and|lifestyle|paced|way|rural|country|more|existence
"You can use it to figure out what to buy, make purchases, and even pay your bills online",online,1966,1918.0,1,online|and|with|on|in|without|using|or|if|from
"In the present climate, what manager would dare to do more than order a new supply of paper clips without first clearing it with..the man from the ministry",ministry,1963,1225.0,1,ministry|bank|office|finance|paper|accounts|bean|purchasing|department|board
"Unlike dollars or euros that are backed by a central bank, bitcoin users can create the units in a process called ‘ mining",mining,2011,1330.0,1,mining|bitcoin|minting|bitcoins|miners|cryptocurrency|minning|miner|crypto|mine
Direct governmental support of medical students and medical schools were vigorously opposed at one time or another by organized medicine,medicine,1966,1225.0,1,medicine|medical|groups|physicians|professional|american|opposition|dentistry|labor|and
"Deep penetration must not be aimed at for a number of sessions, and when the woman is ready for it she will move her body in such a way that the penis will penetrate",penetrate,1953,1530.0,1,penetrate|enter|be|go|easily|reach|slide|have|move|get
"A galaxy might have a jet of gas sticking out, for example, or be wrapped with extra dust. These galaxies are labelled ( pec ), for peculiar",peculiar,1936,1449.0,1,peculiar|perturbed|the|photometrically|pre|peculiarly|partially|physically|obscured|preferentially
"Norm Wheeldon, moving up from Junior with his Rowatt/Chevy-motored T, opened a few eyes with a nine-second pass",pass,1970,1555.0,1,pass|run|blast|time|e|qualifying|elapsed|performance|quarter|lap
The transgender community believes that 40 per cent of people attempt suicide in the years before or during transition,transition,1941,1450.0,1,transition|their|the|gender|transitioning|a|puberty|hormone|medical|sex
"It was a lot for a picture frame, but your grandmother had some hats..which were seventy-five cents too. So she asked the gypsy woman if she'd like to trade",trade,1949,1539.0,1,trade|barter|make|see|come|take|sell|try|buy|have
He was later charged with possession of the drug and intent to supply,supply,1968,1384.0,1,supply|distribute|sell|deliver|manufacture|deal|produce|use|traffic|possess
"Passing..between the worlds of the insane and the sane, the deaf and the hearing, the blind and the seeing, the gay and the straight",straight,1957,1225.0,1,straight|heterosexual|hetero|not|normal|non|straights|lesbian|strait|gay
"The engine coughed and died, barren of petrol... They were about to stop on the hard shoulder",shoulder,1933,,1,shoulder|road|ground|surface|sand|shoulders|gravel|and|earth|dirt
"A web server..managed to cope with 0.2 hits per second, taking roughly five seconds to process a single server request",request,1962,1395.0,1,request|page|call|side|response|hit|access|query|connection|command
"If a Twitch user is determined to have committed ‘egregious real-world harm’, according to the company, the user can be barred from the platform",platform,1996,1531.0,1,platform|site|service|website|streaming|entire|live|twitch|app|video
The decision..to transform the company from a service-oriented utility to a market-oriented communications business is..a major organizational—and cultural,cultural,1980,1856.0,1,cultural|financial|philosophical|psychological|even|perhaps|personal|potentially|therefore|political
Duty of parents to maintain contact with local authorities having their children in care,care,1932,,1,care|their|charge|custody|placement|out|the|residence|foster|temporary
"Amphetamines , crystal, dexies, doublecross, hearts, meth, minibennies, pep pills, roses, speed, thrusters, truck drivers, uppers, wake-ups, whites",white,1967,,1,white|and|whippets|whites|wash|whizz|yaba|vitamin|wind|whizzies
A connection between a particular input terminal and a particular output terminal can be attained by closing the switch contacts at the appropriate cross-point in the matrix,matrix,1948,1425.0,1,matrix|switch|cross|switching|crosspoint|memory|connection|network|array|circuit
There is a remarkable similarity between many of the problems faced by the astronaut in ‘outer space’ and those of the aquanaut in ‘ inner,inner,1958,,1,inner|underwater|deep|under|outer|deeper|deepest|inward|inland|aquatic
"When a rabbi gets to be around fifty, his chances of getting another job are not so good. He's like over the hill",hill,1950,,1,hill|hump|cliff|age|half|top|legal|hills|proverbial|line
"I have, gingerly, suggested to my wife that we might consider turning the volume down on the [baby] monitor so that we hear only the really loud wails... This suggestion was..dismissed with extreme prejudice",prejudice,1969,1300.0,1,prejudice|rapidity|vehemence|speed|haste|contempt|and|rudeness|force|derision
Had he been taken out by his own people?.. He had seen some of those files with the brutal red block letters stamped diagonally across the page: Terminate with extreme prejudice,prejudice,1969,1300.0,1,prejudice|force|violence|caution|brutality|and|pre|measures|prejudiceâ|speed
"His status as a double agent was reportedly confirmed by the Central Intelligence Agency, which..suggested that he either be isolated or ‘terminated with extreme prejudice",prejudice,1969,1300.0,1,prejudice|dispatch|caution|violence|speed|care|force|haste|discretion|urgency
"The Arthur Ford Academy defines the word [ sc. medium] in this way: ‘A highly ethical person who causes himself to become a conscious, spiritual and psychic channel",channel,1976,1387.0,1,channel|bridge|being|medium|instrument|link|vehicle|conduit|entity|communicator
"You'll get the full functionality of Lasergraphics' MacRascol software, including Chooser Level Driver support",support,1984,1391.0,1,support|and|for|technology|compatibility|software|control|with|interface|to
I concentrate somewhat more on the arts and sciences than on the professional field and much more on the doctorate than the Master,master,1960,,1,master|baccalaureate|bachelor|undergraduate|masters|bachelors|first|other|professional|ba
Even therapists with the best credentials can be all over the map,map,1956,1527.0,1,map|place|board|spectrum|lot|emotional|road|range|chart|price
"From the first, the film acted as a Rorschach blot, and the critical reception was all over the map",map,1956,1527.0,1,map|place|board|lot|spectrum|shop|screen|emotional|road|chart
Listeners have..complained of the fact that recorded material was too liberally used..but..transmitting hours to the Canadian and Australasian Zones are inconvenient for broadcasting ‘ live,live,1933,1531.0,1,live|direct|programmes|news|real|alive|stay|current|straight|programme
The DO statement automatically causes execution of all the statements following it up to and including the statement labelled n for values of i from m 1 in steps of m 3 ... The counter i is sometimes referred to as the index,index,1957,1398.0,1,index|loop|do|iteration|step|counter|statement|n|increment|i
Tripping through the clips of past Bob Hope specials looking for pure comedy gold,gold,1943,,1,gold|is|moments|and|was|i|bits|can|or|gems
She certainly showed signs of inheriting the loudmouth gene,gene,1935,1909.0,1,gene|trait|side|genes|and|qualities|from|tendencies|personality|traits
"Questioned on a press report that ‘a close adviser to President Truman’ was predicting Johnson's resignation, White House Press Secretary Charles Ross issued a perfunctory ‘ no comment",comment,1950,1400.0,1,comment|such|statement|one|truth|knowledge|official|comments|response|resignation
There should be an open broadcasting authority to take responsibility for the fourth television channel,channel,1952,1387.0,1,channel|licence|network|license|and|station|service|channels|multiplex|broadcasting
"In 1924, both Spongberg and Brandsten were coaches on the American Olympic swimming team, and saw their divers excel in springboard and platform",platform,1938,1531.0,1,platform|tower|high|springboard|platforms|individual|diving|highboard|free|the
"As I looked at the gas furnace, knowing I would soon be vacuuming out its dusty insides and lighting its pilot",pilot,1951,1481.0,1,pilot|burners|flame|burner|first|dusty|fire|gas|blue|flames
Manitoba has several women law students. Probably out from their ranks will come a future ‘Madam Justice’,justice,1957,1160.0,1,justice|chief|premier|chancellor|speaker|prime|attorney|queen|president|deputy
"The information is broken into discrete packets, each with an identifying ‘ header",header,1956,1440.0,1,header|tag|address|fingerprint|hop|label|trailer|addressing|checksum|headers
"I often practised my judo. I..was, by this time, a 4th Dan",dan,1941,1941.0,1,dan|degree|kyu|or|grade|dans|class|kup|level|kyū
I'm in trouble. I'm going to have a baby... I've had it. Good and proper. I'm up the creek,creek,1941,1300.0,1,creek|duff|spout|river|proverbial|creak|wall|pole|fucking|gum
"Lord, it's my mortar lance corporal. If he breaks we'll be right up the creek",creek,1941,1300.0,1,creek|river|spout|shit|poop|shitter|arse|rear|ass|road
He admirably resists the temptation to put Hawthorne on the analyst's couch,couch,1952,1340.0,1,couch|sofa|chair|or|couchand|chaise|stool|couchor|table|couchbut
It seems reasonable to accept in general the psychoanalytic approach..but to predict that its most useful application may well prove to be preventive rather than therapeutic; in the home and school rather than on the couch,couch,1952,1340.0,1,couch|consulting|psychiatrist|analyst|hospital|sick|ward|psychiatric|battlefield|therapist
"My husband is a lethargic, indecisive guy who drifts along from day to day. If a bill doesn't get paid he could care",care,1966,,1,care|be|easily|give|go|lose|blame|just|have|forget
If I suggest that it should be good because the book was by a top-line author she simply couldn't care,care,1946,,1,care|understand|believe|accept|see|get|be|agree|give|have
"Do They Know It's Christmas , [a record] on which Boy George, Sting, George Michael, members of Duran Duran, Status Quo, and U2 appear under the joint name of Band Aid",aid,1984,1419.0,1,aid|a|aide|aiding|aidand|of|aides|aids|aidto|aider
"Now a kidney specialist living in St. John's, Newfoundland, he is the driving force behind the extraordinary success of rugby on ‘The Rock",rock,1978,,1,rock|island|edge|iceberg|great|east|burin|rocks|big|ice
The first British fishermen were forbidden by law to settle on what many current residents affectionately call The Rock,rock,1978,,1,rock|island|cape|land|last|rocks|banks|isle|big|hill
His shorts were a bit creased and she wanted to get out her trusty travel iron..and give them a quick press,press,1932,,1,press|iron|touch|blast|steam|pressing|going|once|fix|ironing
Muslin and lawn dresses usually require a final all-over press,press,1932,,1,press|pressing|steam|ironing|iron|steaming|spray|finishing|stitch|touch
The modem..has set the standard for mobile modem communications using its own widely-accepted protocols,protocol,1966,1450.0,1,protocol|interface|and|standard|architecture|technology|protocols|standards|wireless|open
The early events in the pathway leading from the first exposure to carcinogenic or mutagenic agents to a frank tumor are thought to involve a two-step process of tumor initiation and tumor promotion,promotion,1944,1425.0,1,promotion|progression|development|promoting|formation|growth|propagation|promoter|proliferation|selection
A more selective system of Customs questioning of passengers..is provided for in the finance bill published yesterday... Those who have anything to declare will go through a ‘red’ channel... Those who have nothing to declare will pass through a ‘ green,green,1968,,1,green|yellow|amber|blue|speedy|fawn|clear|orange|violet|greens
The Cowboys answered quickly with a try to Mercy down the left edge,edge,1998,,1,edge|flank|hand|wing|side|and|touchline|corner|to|but
"To describe the strong force we need three ‘colours’—three different types of charges, usually designated ‘red’, ‘green’ and ‘ blue",blue,1966,1300.0,1,blue|violet|blues|turquoise|indigo|yellow|purple|magenta|amber|blu
