id,model,grade,route,is_future,domain,target_word,year,rank,hit,stem_donors,affix_donors,locality,ending_rarity
S500880dd,talkie-base,NONE,none,0,everyday,dead,1864,4,1,,,none,n/a
S26fdaa15,talkie-base,STEM,paradigmatic,1,everyday,smell,1939,7,1,smelt,,<=5,n/a
S80375088,talkie-web,AFFIX,syntagmatic,0,everyday,violence,1393,-1,0,,pacience,<=5,very-common
S39d0c918,typewriter,NONE,none,0,everyday,sinner,1682,1,1,,,none,n/a
S1a73c845,typewriter,STEM+AFFIX,paradigmatic,1,everyday,ordination,1954,-1,0,ordinary,classification|vegetation,6-15,n/a
Sfb432fee,talkie-web,STEM+AFFIX,paradigmatic,1,technical,necrosis,1953,-1,0,narcosis,narcosis,<=5,n/a
S7b821c18,typewriter,NONE,none,1,everyday,robust,1971,-1,0,,,none,n/a
S0f53bf9f,typewriter,STEM+AFFIX,paradigmatic,1,everyday,insecure,1935,1,1,insecurity|secure|security,secure,<=5,n/a
S1ce6118b,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,hypertext,1965,1,1,text,text,>15,n/a
S726ae8b2,typewriter,STEM+AFFIX,paradigmatic,0,everyday,weather,1825,5,1,rather,rather,>15,n/a
S153ca4e4,talkie-base,NONE,none,0,everyday,money,1887,1,1,,,none,n/a
Se8f1b1c4,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,weather,1825,-1,0,rather,rather,>15,n/a
Se3ce8754,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,unlock,1400,1,1,lock,lock,<=5,n/a
S97c7d04b,talkie-web,STEM,paradigmatic,0,everyday,known,1737,1,1,knowing,,<=5,n/a
S28d27bfd,typewriter,STEM,paradigmatic,1,technical,polymerase,1948,-1,0,increase|nucleases,,<=5,n/a
Se86fa377,talkie-web,STEM,paradigmatic,1,everyday,reference,1971,-1,0,refer,,>15,n/a
S34266f87,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,round,1300,8,1,found,found,<=5,n/a
Sf3f3c72c,talkie-base,NONE,none,0,technical,empathy,1909,52,1,,,none,n/a
Sca983c0a,typewriter,STEM+AFFIX,paradigmatic,0,technical,typology,1886,-1,0,psychology,psychology,6-15,n/a
S89b805ee,talkie-base,AFFIX,syntagmatic,1,everyday,seating,1960,-1,0,,fitting,6-15,very-common
Sc01f7867,talkie-base,NONE,none,1,everyday,dead,1982,-1,0,,,none,n/a
S5923fcbf,typewriter,NONE,none,0,everyday,money,1887,2,1,,,none,n/a
Sf7a67c02,talkie-web,STEM,paradigmatic,0,technical,gymnasium,1598,1,1,gymnastics,,6-15,n/a
S087e54be,talkie-base,STEM+AFFIX,paradigmatic,0,technical,illumine,1499,65,1,braine|mine,mine,<=5,n/a
S0962131f,typewriter,NONE,none,0,technical,vaccine,1880,-1,0,,,none,n/a
Sb2437850,talkie-web,NONE,none,0,everyday,dead,1864,1,1,,,none,n/a
Se6481267,typewriter,NONE,none,0,technical,etymology,1450,2,1,,,none,n/a
S86945678,typewriter,AFFIX,syntagmatic,0,everyday,resolution,1545,1,1,,consideration,>15,very-common
S661db5a2,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,measure,1384,1,1,sure,sure,<=5,n/a
S3d71991d,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,round,1300,14,1,found,found,<=5,n/a
S3826add8,typewriter,STEM,paradigmatic,0,technical,lymphoma,1873,34,1,lymphadenoma|lymphosarcoma,,6-15,n/a
Sddc10507,talkie-base,AFFIX,syntagmatic,0,everyday,reading,1624,-1,0,,understanding,6-15,very-common
S903d0ab7,talkie-base,NONE,none,1,technical,ecology,1976,-1,0,,,none,n/a
S5eb92c94,talkie-web,NONE,none,0,everyday,advance,1578,43,1,,,none,n/a
Sf7906e87,talkie-web,STEM,paradigmatic,0,technical,lymphoma,1873,28,1,lymphadenoma|lymphosarcoma,,6-15,n/a
S5e23d3e3,talkie-web,NONE,none,0,everyday,proof,1350,3,1,,,none,n/a
Sabd0d6ef,typewriter,NONE,none,1,everyday,quit,1964,-1,0,,,none,n/a
Sf095da94,talkie-base,STEM,paradigmatic,1,everyday,frontman,1956,-1,0,letterman,,6-15,n/a
Sfe3d7a1b,typewriter,NONE,none,1,technical,appease,1939,-1,0,,,none,n/a
Se8e1d567,typewriter,STEM+AFFIX,paradigmatic,1,technical,endocrine,1914,1,1,exocrine,exocrine,6-15,n/a
S03265afe,typewriter,STEM,paradigmatic,0,technical,topology,1850,-1,0,topography,,6-15,n/a
S7273d8d5,talkie-web,NONE,none,1,everyday,drive,1950,1,1,,,none,n/a
S5c69c4e4,talkie-web,AFFIX,syntagmatic,0,everyday,adoption,1384,1,1,,resurrection,>15,very-common
S4cfda979,typewriter,AFFIX,syntagmatic,1,technical,positron,1933,-1,0,,neutron,<=5,rare
Sf0ff7d47,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,anthropology,1593,-1,0,genealogy,genealogy,>15,n/a
S0294886d,typewriter,NONE,none,1,technical,vaccine,1986,28,1,,,none,n/a
S1306475b,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,furrow,1330,-1,0,narrow,narrow,6-15,n/a
S8ccd9919,typewriter,STEM+AFFIX,paradigmatic,0,technical,psychopathology,1847,14,1,psychology,psychology,>15,n/a
Sb657c91f,talkie-web,NONE,none,1,technical,vaccine,1986,-1,0,,,none,n/a
Sfe80b4ae,talkie-base,STEM,paradigmatic,0,everyday,hypha,1866,69,1,hyph,,6-15,n/a
Sb3400836,talkie-base,STEM+AFFIX,paradigmatic,0,technical,psychosis,1871,1,1,neurosis,neurosis,<=5,n/a
Sb6820e93,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,unjust,1561,1,1,just,just,<=5,n/a
S5a832cd7,talkie-base,AFFIX,syntagmatic,0,technical,neutron,1899,20,1,,electron,6-15,rare
S1284615f,typewriter,STEM+AFFIX,paradigmatic,0,everyday,ground,1386,3,1,found,found,6-15,n/a
S585edee5,typewriter,STEM+AFFIX,paradigmatic,1,technical,cholinergic,1934,-1,0,adrenergic,adrenergic,<=5,n/a
S23d9f517,talkie-base,NONE,none,0,everyday,live,1930,-1,0,,,none,n/a
S3c3953dc,typewriter,STEM+AFFIX,paradigmatic,0,everyday,furrow,1330,6,1,narrow,narrow,6-15,n/a
S49b858c5,talkie-web,NONE,none,1,everyday,letter,1964,-1,0,,,none,n/a
S0fac8dd4,talkie-web,NONE,none,0,everyday,sinner,1682,-1,0,,,none,n/a
S7597499a,talkie-base,NONE,none,0,technical,recline,1774,-1,0,,,none,n/a
S38b3b54f,talkie-base,STEM,paradigmatic,1,everyday,wave,1984,-1,0,have,,6-15,n/a
Sadb3487d,typewriter,NONE,none,0,everyday,advance,1578,75,1,,,none,n/a
Sfcf2dfb1,typewriter,STEM+AFFIX,paradigmatic,1,everyday,transcription,1932,53,1,transmitters,circulation|station,6-15,n/a
Sb6d0fc4a,talkie-web,STEM+AFFIX,paradigmatic,0,technical,haploid,1906,1,1,diploid,diploid,>15,n/a
S7cc576b7,talkie-web,STEM+AFFIX,paradigmatic,0,technical,diploid,1908,1,1,haploid,haploid,6-15,n/a
S23e54f1d,typewriter,STEM,paradigmatic,0,technical,hydroxyl,1869,1,1,hydrogen|hydroxides,,>15,n/a
S665a8e6b,typewriter,STEM+AFFIX,paradigmatic,0,technical,haploid,1906,1,1,diploid,diploid,>15,n/a
Sdad9949d,typewriter,STEM,paradigmatic,1,everyday,statutory,1937,-1,0,advisory,,>15,n/a
Sbf5b224f,talkie-web,STEM,paradigmatic,1,everyday,statutory,1937,-1,0,advisory,,>15,n/a
S9af5b1fa,talkie-web,NONE,none,0,technical,alanine,1850,12,1,,,none,n/a
Sf1cc6612,talkie-web,NONE,none,1,technical,apoptosis,1972,19,1,,,none,n/a
S9ab5236e,talkie-web,NONE,none,0,technical,recline,1774,-1,0,,,none,n/a
Sb45e2269,talkie-base,NONE,none,1,everyday,drive,1950,31,1,,,none,n/a
S27404220,talkie-web,NONE,none,0,technical,homology,1835,96,1,,,none,n/a
Sb49dc7ce,talkie-base,NONE,none,1,everyday,debugging,1931,-1,0,,,none,n/a
S5f20b670,talkie-web,STEM+AFFIX,paradigmatic,0,technical,illumine,1499,-1,0,braine|mine,mine,<=5,n/a
Sea601124,talkie-web,NONE,none,1,technical,appease,1939,18,1,,,none,n/a
S777bb61d,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,hypertext,1965,-1,0,text,text,>15,n/a
Se6d55fe3,typewriter,STEM,paradigmatic,1,everyday,secure,1954,-1,0,security,,>15,n/a
Scbb5eda4,talkie-base,NONE,none,1,technical,norepinephrine,1937,-1,0,,,none,n/a
S121d7cdc,talkie-web,STEM+AFFIX,paradigmatic,1,technical,biotechnology,1933,-1,0,physiology,physiology,6-15,n/a
Sb717261d,talkie-base,STEM,paradigmatic,1,technical,synthase,1954,-1,0,synthesis,,6-15,n/a
Sc8027911,talkie-base,NONE,none,1,everyday,flip,1960,-1,0,,,none,n/a
S1177ed0b,talkie-base,STEM,paradigmatic,0,technical,melanoma,1826,5,1,melanic|melanotic,,<=5,n/a
S767a3be0,talkie-base,STEM+AFFIX,paradigmatic,1,technical,cytokine,1974,-1,0,lymphokine,lymphokine,>15,n/a
Sd5fc7fe8,typewriter,STEM,paradigmatic,1,everyday,frontman,1956,-1,0,letterman,,6-15,n/a
S9d742b64,talkie-base,AFFIX,syntagmatic,1,everyday,projected,1932,-1,0,,expected,6-15,rare
S676885cc,talkie-web,AFFIX,syntagmatic,1,everyday,rectification,1941,2,1,,direction,<=5,very-common
S9d241613,typewriter,AFFIX,syntagmatic,0,everyday,motion,1884,10,1,,transformation,<=5,very-common
S13fd9ef1,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,thematic,1957,2,1,rhematic,rhematic,<=5,n/a
Sa9072b23,talkie-web,STEM,paradigmatic,0,everyday,commonwealth,1551,47,1,common,,6-15,n/a
S7b8dad5f,talkie-web,NONE,none,0,technical,informer,1503,8,1,,,none,n/a
S80db2123,talkie-web,STEM,paradigmatic,1,everyday,secure,1954,-1,0,security,,>15,n/a
S104dd1d2,talkie-web,STEM,paradigmatic,0,technical,topology,1850,62,1,topography,,6-15,n/a
S0a5a6535,talkie-base,NONE,none,1,technical,positron,1933,-1,0,,,none,n/a
S32fdc3f9,typewriter,NONE,none,1,everyday,drive,1950,-1,0,,,none,n/a
S0b9c8b92,talkie-web,NONE,none,1,technical,cytokine,1974,17,1,,,none,n/a
S4e6a1d7b,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,transcription,1932,2,1,transmitters,circulation|station,6-15,n/a
S75c8e2de,talkie-base,STEM,paradigmatic,0,technical,triglyceride,1860,-1,0,trihydric,,>15,n/a
S5c241ea4,typewriter,STEM+AFFIX,paradigmatic,0,everyday,measure,1384,1,1,sure,sure,<=5,n/a
S99fd26ba,talkie-web,STEM,paradigmatic,0,everyday,subvert,1382,-1,0,subuertyng,,<=5,n/a
Sd0a2e01d,typewriter,STEM,paradigmatic,0,technical,acidosis,1900,1,1,acid,,6-15,n/a
S740f906b,typewriter,STEM,paradigmatic,0,technical,triglyceride,1860,-1,0,trihydric,,>15,n/a
Sddb8af0e,typewriter,AFFIX,syntagmatic,0,technical,neutron,1899,6,1,,electron,6-15,rare
S04d6bb53,typewriter,STEM+AFFIX,paradigmatic,0,everyday,indistinct,1589,32,1,distinct,distinct,6-15,n/a
Se6efb209,talkie-base,STEM+AFFIX,paradigmatic,1,technical,subroutine,1946,-1,0,routine|routines|substitution,routine,<=5,n/a
S859fc1cd,talkie-base,NONE,none,1,technical,recline,1938,-1,0,,,none,n/a
Sea60cf08,talkie-web,NONE,none,0,technical,empathy,1909,2,1,,,none,n/a
Se8348662,talkie-web,STEM+AFFIX,paradigmatic,0,everyday,ground,1386,1,1,found,found,6-15,n/a
S20e437b2,talkie-base,STEM+AFFIX,paradigmatic,1,technical,positron,1933,47,1,electron,electron,<=5,n/a
S9d07eb93,typewriter,AFFIX,syntagmatic,0,everyday,upright,1856,31,1,,straight,6-15,very-common
S7d02fe68,talkie-web,AFFIX,syntagmatic,1,everyday,plating,1968,-1,0,,testing,<=5,very-common
Scdf6fbb1,typewriter,AFFIX,syntagmatic,1,everyday,seating,1960,-1,0,,fitting,6-15,very-common
Sc1108356,talkie-base,STEM+AFFIX,paradigmatic,0,technical,homology,1835,1,1,analogy|morphological|physiological,analogy,<=5,n/a
Sa29ae73c,talkie-base,NONE,none,0,technical,alanine,1850,65,1,,,none,n/a
Sa211d03e,typewriter,STEM,paradigmatic,1,everyday,constancy,1924,-1,0,constitutive,,6-15,n/a
S388aeaae,talkie-web,AFFIX,syntagmatic,1,everyday,munition,1962,1,1,,encryption,>15,very-common
S8936c592,typewriter,STEM,paradigmatic,0,everyday,subvert,1382,-1,0,subuertyng,,<=5,n/a
S17af83d0,typewriter,STEM+AFFIX,paradigmatic,1,technical,cytokine,1974,-1,0,lymphokine,lymphokine,>15,n/a
Scfe08cdf,talkie-web,STEM+AFFIX,paradigmatic,0,technical,psychopathology,1847,1,1,psychology,psychology,>15,n/a
S8330c3b6,talkie-web,AFFIX,syntagmatic,1,everyday,operation,1938,40,1,,application|locution,<=5,very-common
S3f108750,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,superstructure,1937,1,1,infrastructure,infrastructure,6-15,n/a
S5bfdc47b,talkie-web,STEM+AFFIX,paradigmatic,0,technical,homology,1835,1,1,analogy|morphological|physiological,analogy,<=5,n/a
S2607ec28,typewriter,AFFIX,syntagmatic,0,everyday,actively,1425,3,1,,contemplatively,<=5,rare
Sd54d3bb6,talkie-base,STEM,paradigmatic,1,everyday,interpreter,1950,1,1,interpreting,,>15,n/a
Seea088ad,typewriter,STEM+AFFIX,paradigmatic,1,technical,subroutine,1946,-1,0,routine|routines|substitution,routine,<=5,n/a
S45540e9a,talkie-web,NONE,none,1,everyday,ou,1949,-1,0,,,none,n/a
S07443450,typewriter,STEM+AFFIX,paradigmatic,0,everyday,anthropology,1593,-1,0,genealogy,genealogy,>15,n/a
S95ac0ba3,typewriter,STEM+AFFIX,paradigmatic,0,technical,psychosis,1871,1,1,neurosis,neurosis,<=5,n/a
Sf6b6118a,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,proactive,1951,-1,0,reactive,initiative|reactive,6-15,n/a
Sf2e097de,talkie-web,STEM,paradigmatic,1,everyday,penetrate,1953,1,1,penetration,,>15,n/a
S4295044e,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,unlock,1400,1,1,lock,lock,<=5,n/a
Se13937c9,talkie-base,NONE,none,0,everyday,daze,1400,-1,0,,,none,n/a
S54c21e00,talkie-base,STEM,paradigmatic,0,everyday,known,1737,1,1,knowing,,<=5,n/a
S2211fe53,talkie-web,NONE,none,1,technical,positron,1933,-1,0,,,none,n/a
S1f9e51b5,talkie-base,STEM,paradigmatic,0,technical,gymnasium,1598,15,1,gymnastics,,6-15,n/a
S4392b772,talkie-web,STEM+AFFIX,paradigmatic,0,technical,psychosis,1871,1,1,neurosis,neurosis,<=5,n/a
S80099fde,typewriter,STEM,paradigmatic,0,technical,triglyceride,1860,-1,0,glycerides,,>15,n/a
S34ce178d,talkie-base,AFFIX,syntagmatic,0,everyday,adoption,1384,2,1,,resurrection,>15,very-common
Sf619f196,talkie-base,STEM+AFFIX,paradigmatic,0,technical,psychopathology,1847,4,1,psychology,psychology,>15,n/a
S9b563196,typewriter,NONE,none,0,technical,alanine,1850,-1,0,,,none,n/a
S6a0a28a9,talkie-base,STEM+AFFIX,paradigmatic,0,technical,endocrine,1914,1,1,exocrine,exocrine,6-15,n/a
S66f917db,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,ordination,1954,3,1,ordinary,classification|vegetation,6-15,n/a
S03c778d7,talkie-web,NONE,none,0,everyday,live,1930,-1,0,,,none,n/a
Sffaa2d84,talkie-web,STEM,paradigmatic,0,everyday,constancy,1924,-1,0,constitutive,,6-15,n/a
S7fd33ea7,typewriter,STEM+AFFIX,paradigmatic,0,everyday,unjust,1561,1,1,just,just,<=5,n/a
S51c10cae,typewriter,STEM,paradigmatic,1,everyday,interpreter,1950,5,1,interpreting,,>15,n/a
Sbaa2a430,typewriter,AFFIX,syntagmatic,1,everyday,plating,1968,-1,0,,testing,<=5,very-common
Sae64feaa,talkie-base,NONE,none,0,everyday,sinner,1682,30,1,,,none,n/a
S733ebcb1,talkie-base,AFFIX,syntagmatic,0,everyday,actively,1425,14,1,,contemplatively,<=5,rare
S7ec75b06,talkie-base,AFFIX,syntagmatic,0,everyday,upright,1856,-1,0,,straight,6-15,very-common
Sac16cc4a,talkie-web,STEM,paradigmatic,1,technical,hydroxide,1955,4,1,hydroxyl,,6-15,n/a
Sbdc516f2,typewriter,NONE,none,1,everyday,dead,1982,-1,0,,,none,n/a
S7ad50e0b,talkie-web,STEM+AFFIX,paradigmatic,1,everyday,superstructure,1937,21,1,infrastructure,infrastructure,6-15,n/a
Sa701274d,talkie-base,STEM,paradigmatic,0,technical,lymphoma,1873,-1,0,lymphadenoma|lymphosarcoma,,6-15,n/a
Sf2c67218,talkie-web,NONE,none,0,technical,herbicide,1899,26,1,,,none,n/a
Sb1ca0c9b,talkie-web,NONE,none,0,everyday,besides,1564,27,1,,,none,n/a
S385be82b,typewriter,AFFIX,syntagmatic,0,everyday,adoption,1384,38,1,,resurrection,>15,very-common
S0ff58966,typewriter,AFFIX,syntagmatic,1,everyday,induction,1951,-1,0,,irradiation|proportion,6-15,very-common
S82849ecc,talkie-web,AFFIX,syntagmatic,1,everyday,seating,1960,-1,0,,fitting,6-15,very-common
Sc577a7e3,typewriter,STEM,paradigmatic,0,everyday,known,1737,1,1,knowing,,<=5,n/a
Scd7786cf,talkie-base,AFFIX,syntagmatic,0,everyday,resolution,1545,1,1,,consideration,>15,very-common
S355b1566,talkie-web,AFFIX,syntagmatic,1,everyday,induction,1951,13,1,,irradiation|proportion,6-15,very-common
S1ee54acd,typewriter,NONE,none,1,technical,positron,1933,-1,0,,,none,n/a
S2bdc8bd9,typewriter,NONE,none,0,technical,informer,1503,39,1,,,none,n/a
Sb4fe2dad,typewriter,AFFIX,syntagmatic,0,everyday,reading,1624,-1,0,,understanding,6-15,very-common
S181ff336,talkie-web,STEM,paradigmatic,0,everyday,hypha,1866,51,1,hyph,,6-15,n/a
S806ee1fd,typewriter,AFFIX,syntagmatic,1,everyday,proposal,1932,-1,0,,supposal,<=5,rare
S6a949887,talkie-base,NONE,none,1,everyday,quit,1964,-1,0,,,none,n/a
S092cdd2a,talkie-base,STEM,paradigmatic,1,technical,polymerase,1948,-1,0,increase|nucleases,,<=5,n/a
Sf9d9895e,talkie-web,NONE,none,1,technical,ecology,1976,13,1,,,none,n/a
S419efce8,typewriter,STEM,paradigmatic,1,everyday,wave,1984,-1,0,have,,6-15,n/a
Sa3a4ccfd,typewriter,STEM+AFFIX,paradigmatic,1,everyday,superstructure,1937,-1,0,infrastructure,infrastructure,6-15,n/a
S43d3c8e4,talkie-base,STEM,paradigmatic,0,technical,thrombosis,1857,2,1,thrombus,,>15,n/a
S500a6052,typewriter,NONE,none,0,everyday,machine,1749,-1,0,,,none,n/a
S752bded6,talkie-base,AFFIX,syntagmatic,1,everyday,proposal,1932,-1,0,,supposal,<=5,rare
S5192b8b3,typewriter,AFFIX,syntagmatic,1,everyday,projected,1932,83,1,,expected,6-15,rare
Scec4f1af,typewriter,NONE,none,1,everyday,debugging,1931,-1,0,,,none,n/a
S11ffe0a1,talkie-web,NONE,none,1,technical,norepinephrine,1937,-1,0,,,none,n/a
S4bbb8e29,typewriter,STEM,paradigmatic,0,technical,gymnasium,1598,1,1,gymnastics,,6-15,n/a
Sb8c1d3d6,talkie-base,STEM,paradigmatic,0,technical,triglyceride,1860,-1,0,glycerides,,>15,n/a
S02aad331,talkie-web,STEM,paradigmatic,1,everyday,wave,1984,1,1,have,,6-15,n/a
S8ceb0115,typewriter,NONE,none,0,technical,empathy,1909,-1,0,,,none,n/a
S9472d3db,typewriter,NONE,none,1,everyday,flip,1960,-1,0,,,none,n/a
Sbf6b8c64,talkie-base,STEM,paradigmatic,1,everyday,secure,1954,-1,0,security,,>15,n/a
S11cc5c1d,talkie-web,STEM,paradigmatic,1,everyday,interpreter,1950,1,1,interpreting,,>15,n/a
S45c79949,typewriter,STEM,paradigmatic,1,technical,synthase,1954,-1,0,synthesizing,,6-15,n/a
Sf87791d1,talkie-web,AFFIX,syntagmatic,0,technical,neutron,1899,-1,0,,electron,6-15,rare
Sb01426f6,talkie-web,STEM,paradigmatic,1,everyday,smell,1939,6,1,smelt,,<=5,n/a
S558f5d4d,talkie-base,AFFIX,syntagmatic,1,technical,positron,1933,36,1,,neutron,<=5,rare
Sdf7bb7e3,talkie-base,STEM+AFFIX,paradigmatic,0,everyday,weather,1825,73,1,rather,rather,>15,n/a
Sb2e1046a,talkie-base,NONE,none,1,everyday,lobe,1957,-1,0,,,none,n/a
Sf025c3d7,talkie-web,NONE,none,1,everyday,flip,1960,-1,0,,,none,n/a
S63c57a52,talkie-base,STEM,paradigmatic,0,everyday,constancy,1924,-1,0,constitutive,,6-15,n/a
S78d3dac7,typewriter,STEM+AFFIX,paradigmatic,1,everyday,hypertext,1965,-1,0,text,text,>15,n/a
Saff7f9e6,talkie-web,STEM,paradigmatic,1,everyday,networking,1976,1,1,network,,6-15,n/a
S43d77235,talkie-base,STEM+AFFIX,paradigmatic,1,everyday,thematic,1957,35,1,rhematic,rhematic,<=5,n/a
S280cf6a7,talkie-web,AFFIX,syntagmatic,1,technical,positron,1933,3,1,,neutron,<=5,rare
Sec8c4e5a,typewriter,STEM+AFFIX,paradigmatic,0,everyday,unlock,1400,1,1,lock,lock,<=5,n/a
Se0f47df5,typewriter,STEM+AFFIX,paradigmatic,1,technical,biotechnology,1933,-1,0,physiology,physiology,6-15,n/a
Sfdef9d28,talkie-web,NONE,none,0,everyday,daze,1400,-1,0,,,none,n/a
S94ef45bf,typewriter,NONE,none,1,everyday,lobe,1957,-1,0,,,none,n/a
S60ad360f,typewriter,NONE,none,1,technical,recline,1938,-1,0,,,none,n/a
S3095ef01,talkie-web,STEM+AFFIX,paradigmatic,1,technical,cholinergic,1934,1,1,adrenergic,adrenergic,<=5,n/a
Sa10beae6,talkie-base,NONE,none,0,everyday,proof,1350,3,1,,,none,n/a
Safe4fb47,talkie-web,AFFIX,syntagmatic,1,everyday,proposal,1932,-1,0,,supposal,<=5,rare
Sa09634c3,talkie-base,AFFIX,syntagmatic,1,everyday,plating,1968,-1,0,,testing,<=5,very-common
S7a9c6c5b,talkie-web,STEM,paradigmatic,0,technical,triglyceride,1860,-1,0,glycerides,,>15,n/a
S16e2c500,talkie-web,STEM,paradigmatic,0,everyday,kind,1225,1,1,mind,,6-15,n/a
S89141bda,talkie-web,AFFIX,syntagmatic,1,everyday,attrition,1935,-1,0,,colonization,6-15,very-common
S61cf2f76,talkie-web,STEM,paradigmatic,0,technical,triglyceride,1860,21,1,trihydric,,>15,n/a
S49347452,talkie-web,STEM,paradigmatic,1,technical,polymerase,1948,30,1,increase|nucleases,,<=5,n/a
Sd6fe0921,talkie-base,STEM+AFFIX,paradigmatic,1,technical,cholinergic,1934,4,1,adrenergic,adrenergic,<=5,n/a
S27591109,talkie-web,STEM,paradigmatic,1,technical,synthase,1954,2,1,synthesizing,,6-15,n/a
S071d7506,typewriter,NONE,none,1,technical,norepinephrine,1937,-1,0,,,none,n/a
S11c39db6,typewriter,AFFIX,syntagmatic,1,everyday,rectification,1941,44,1,,direction,<=5,very-common
S8a756c71,talkie-web,NONE,none,1,everyday,quit,1964,-1,0,,,none,n/a
S335aaa92,talkie-base,STEM,paradigmatic,0,everyday,tide,1390,1,1,side,,6-15,n/a
Sa61455ac,talkie-base,STEM+AFFIX,paradigmatic,0,technical,diploid,1908,1,1,haploid,haploid,6-15,n/a
Se50fa1e7,talkie-web,NONE,none,0,technical,vaccine,1880,4,1,,,none,n/a
S67b89a69,talkie-base,NONE,none,0,technical,etymology,1450,5,1,,,none,n/a
Sfe7dfdaa,talkie-base,AFFIX,syntagmatic,0,everyday,violence,1393,1,1,,pacience,<=5,very-common
