target_word,category,year,context_level,text,prefix,suffix,rank,target_nll,correct@10,correct@20,correct@50,correct@100,top_10_words,top_10_nlls,wl,tier,strategy,seed_word,family,hit
luxiton,synthetic_seeded,,high,"Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized) [MASK]","Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized)",,-1,inf,0,0,0,0,positive|electron|positron|negative|negatron|particle|excited|excitron|proton|unit,1.6711|1.8231|2.0457|2.6709|3.1118|4.0450|4.1737|4.9193|4.9744|5.0531,luxiton,core,slot_reuse,exciton,quasiparticle_on,False
luxiton,synthetic_seeded,,medium,"When the crystal absorbs a quantum of light, the bound electron-hole pair migrates through the lattice as a unit we term the [MASK]","When the crystal absorbs a quantum of light, the bound electron-hole pair migrates through the lattice as a unit we term the",,-1,inf,0,0,0,0,quantum|lattice|crystal|electron|absorption|unit|light|energy|electronic|elementary,1.8549|2.6108|2.7301|2.8691|3.3069|4.0387|4.0451|4.2935|4.3347|4.3424,luxiton,core,slot_reuse,exciton,quasiparticle_on,False
luxiton,synthetic_seeded,,low,Energy travels through the crystal carried by the [MASK],Energy travels through the crystal carried by the,,-1,inf,0,0,0,0,electrons|ether|electric|atoms|electron|molecules|ions|aether|crystal|atomic,1.0179|1.7870|3.3992|3.4553|3.8835|4.0804|4.2053|4.3698|4.4090|4.5199,luxiton,core,slot_reuse,exciton,quasiparticle_on,False
vibraton,synthetic_seeded,,high,"As the bound electron-hole pair travels through the lattice as an exciton, the quantum of lattice oscillation, regarded as a mobile entity in its own right, we here designate the [MASK]","As the bound electron-hole pair travels through the lattice as an exciton, the quantum of lattice oscillation, regarded as a mobile entity in its own right, we here designate the",,-1,inf,0,0,0,0,lattice|quantum|electron|bound|excitation|energy|excitor|electronic|exciton|oscillation,1.8466|2.7800|2.8510|3.4710|4.1293|4.7463|4.7957|4.8178|4.8245|4.9416,vibraton,core,affix_swap,exciton,quasiparticle_on,False
vibraton,synthetic_seeded,,medium,"The thermal agitation of the atoms could be treated as a gas of discrete excitations, each of which the authors term a [MASK]","The thermal agitation of the atoms could be treated as a gas of discrete excitations, each of which the authors term a",,-1,inf,0,0,0,0,quantum|pulse|vibration|molecule|wave|degree|free|heat|molecular|vibratory,2.4853|3.4233|3.9194|4.2014|4.4539|4.6701|4.6770|4.7111|4.7662|4.7812,vibraton,core,affix_swap,exciton,quasiparticle_on,False
vibraton,synthetic_seeded,,low,The heat capacity was computed by summing over every [MASK],The heat capacity was computed by summing over every,,-1,inf,0,0,0,0,two|degree|ten|interval|temperature|pair|square|five|layer|half,2.6830|2.7433|2.9312|3.1168|3.1190|3.2419|3.3676|3.4308|3.8047|3.8780,vibraton,core,affix_swap,exciton,quasiparticle_on,False
spiniton,synthetic_seeded,,high,"Just as the collectivized excitation of the crystal behaves as a particle, the wave of overturned magnetic moments propagating through the ordered lattice may be quantised and called the [MASK]","Just as the collectivized excitation of the crystal behaves as a particle, the wave of overturned magnetic moments propagating through the ordered lattice may be quantised and called the",,-1,inf,0,0,0,0,particle|crystal|wave|magnetic|quantum|unit|electron|elementary|electric|molecule,2.3119|2.5081|2.7831|2.9347|3.2610|3.5038|3.5506|3.5600|4.1241|4.4051,spiniton,core,affix_swap,exciton,quasiparticle_on,False
spiniton,synthetic_seeded,,medium,"The reversal travelled through the magnetic crystal as a single migrating quantum, which we name the [MASK]","The reversal travelled through the magnetic crystal as a single migrating quantum, which we name the",,-1,inf,0,0,0,0,magnetic|quantum|reversal|electron|travelling|primary|carrier|reverse|crystal|light,3.1512|3.4095|3.7892|3.9667|4.0558|4.0875|4.1586|4.3244|4.3603|4.4818,spiniton,core,affix_swap,exciton,quasiparticle_on,False
spiniton,synthetic_seeded,,low,The disordering was carried through the lattice by the [MASK],The disordering was carried through the lattice by the,,-1,inf,0,0,0,0,wind|same|air|force|current|vibration|action|sound|two|hand,3.4690|4.2157|4.6917|4.7160|4.9032|4.9644|5.0581|5.0660|5.1240|5.1407,spiniton,core,affix_swap,exciton,quasiparticle_on,False
luminiton,synthetic_seeded,,high,"When the bound electron-hole pair recombines and couples to the radiation field within the crystal, the resulting mixed light-and-matter quantum we propose to call the [MASK]","When the bound electron-hole pair recombines and couples to the radiation field within the crystal, the resulting mixed light-and-matter quantum we propose to call the",,-1,inf,0,0,0,0,bound|electron|quantum|light|crystal|photon|primary|radiation|secondary|energy,3.0748|3.3709|3.4050|3.6465|3.7907|3.9837|4.4962|4.5791|4.6832|4.7931,luminiton,core,analogical_blend,exciton,quasiparticle_on,False
luminiton,synthetic_seeded,,medium,"Inside the resonant slab the photon and the excitation merged into a single travelling entity, which the authors designate the [MASK]","Inside the resonant slab the photon and the excitation merged into a single travelling entity, which the authors designate the",,-1,inf,0,0,0,0,photon|resonant|photo|photone|light|photoelectric|resonance|wave|photonic|radiation,1.7713|3.0583|3.3695|3.6223|4.2580|4.2655|4.3158|4.6754|4.6889|4.7150,luminiton,core,analogical_blend,exciton,quasiparticle_on,False
luminiton,synthetic_seeded,,low,The mixed quantum propagating in the slab is the [MASK],The mixed quantum propagating in the slab is the,,-1,inf,0,0,0,0,same|sum|resultant|one|difference|only|total|following|product|integral,1.3982|2.7112|3.4607|3.6488|4.0230|4.1485|4.1820|4.3674|4.3988|4.5559,luminiton,core,analogical_blend,exciton,quasiparticle_on,False
dielecton,synthetic_seeded,,high,"As the excited state of the insulator travels as an exciton, the joint quantum formed when this excitation is dressed by the polarisation of the surrounding medium is here named the [MASK]","As the excited state of the insulator travels as an exciton, the joint quantum formed when this excitation is dressed by the polarisation of the surrounding medium is here named the",,-1,inf,0,0,0,0,polarisation|joint|excitation|quantum|polarised|total|primary|energy|secondary|resultant,2.0216|2.2508|3.5766|3.8784|4.1395|4.2502|4.6556|4.7541|4.7800|4.7807,dielecton,core,analogical_blend,exciton,quasiparticle_on,False
dielecton,synthetic_seeded,,medium,The coupling of the lattice excitation to the electric field gave rise to a single composite entity we call the [MASK],The coupling of the lattice excitation to the electric field gave rise to a single composite entity we call the,,-1,inf,0,0,0,0,electric|magnetic|field|spectrum|electromagnetic|x|electron|light|crystal|current,2.3445|2.9028|3.6729|3.8393|3.8629|3.9253|4.0217|4.2165|4.3732|4.4078,dielecton,core,analogical_blend,exciton,quasiparticle_on,False
dielecton,synthetic_seeded,,low,The dispersion curve bends sharply where the [MASK] forms,The dispersion curve bends sharply where the, forms,-1,inf,0,0,0,0,dispersion|refractive|absorption|two|wave|curve|concentration|rays|light|line,3.3652|3.7791|3.8020|4.1480|4.2956|4.3626|4.3944|4.4251|4.4276|4.4587,dielecton,core,analogical_blend,exciton,quasiparticle_on,False
memoton,synthetic_seeded,,high,"By analogy with the collectivized excitation of a crystal, the persistent disturbance once imagined to carry the trace of memory through the network of brain cells was, half in jest, called the [MASK]","By analogy with the collectivized excitation of a crystal, the persistent disturbance once imagined to carry the trace of memory through the network of brain cells was, half in jest, called the",,-1,inf,0,0,0,0,brain|nervous|trace|subconscious|memory|neurone|neuron|neural|mneme|neurogram,3.3560|3.4125|3.7581|3.8749|3.9398|4.0257|4.0457|4.0519|4.0525|4.1427,memoton,floor,cross_family,exciton,quasiparticle_on,False
memoton,synthetic_seeded,,medium,"Older speculation pictured a recollection as a self-sustaining excitation circulating in the tissue, a kind of [MASK]","Older speculation pictured a recollection as a self-sustaining excitation circulating in the tissue, a kind of",,-1,inf,0,0,0,0,memory|self|internal|nervous|inner|mental|ghost|residual|vital|psychic,2.4690|4.0380|4.1963|4.2571|4.3212|4.3900|4.5216|4.5711|4.5877|4.6350,memoton,floor,cross_family,exciton,quasiparticle_on,False
memoton,synthetic_seeded,,low,No instrument has detected a [MASK],No instrument has detected a,,-1,inf,0,0,0,0,change|variation|difference|trace|magnetic|diminution|single|current|temperature|movement,2.3783|2.7531|2.7531|3.6905|4.0666|4.1279|4.2553|4.3166|4.3177|4.3782,memoton,floor,cross_family,exciton,quasiparticle_on,False
flowiton,synthetic_seeded,,high,"Just as the excited state of the solid is treated as a mobile particle, the elementary unit of frictionless streaming in the cooled liquid was, somewhat fancifully, quantised and termed the [MASK]","Just as the excited state of the solid is treated as a mobile particle, the elementary unit of frictionless streaming in the cooled liquid was, somewhat fancifully, quantised and termed the",,-1,inf,0,0,0,0,molecule|molecular|fluid|electron|elementary|stream|liquid|vortex|viscosity|fluidal,3.3268|3.3313|3.5742|3.6888|3.7033|3.9028|3.9509|4.2947|4.3945|4.4234,flowiton,floor,transparent_stem,exciton,quasiparticle_on,False
flowiton,synthetic_seeded,,medium,"The collective motion of the liquid was described as a procession of discrete units, each called a [MASK]","The collective motion of the liquid was described as a procession of discrete units, each called a",,-1,inf,0,0,0,0,molecule|particle|corpuscle|wave|globule|drop|droplet|vortex|wavelet|micelle,1.6329|2.0080|2.2884|3.7835|4.2635|4.2953|4.3658|4.6608|4.7324|4.7607,flowiton,floor,transparent_stem,exciton,quasiparticle_on,False
flowiton,synthetic_seeded,,low,The current was pictured as a stream of every [MASK],The current was pictured as a stream of every,,-1,inf,0,0,0,0,kind|conceivable|sort|imaginable|possible|variety|form|description|particle|day,2.1097|2.6105|2.9222|3.0481|3.1105|3.2345|3.3620|3.6722|3.7973|3.7994,flowiton,floor,transparent_stem,exciton,quasiparticle_on,False
homoserase,synthetic_seeded,,high,This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine [MASK],This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine,,-1,inf,0,0,0,0,enzyme|because|synthesis|from|system|in|and|for|synthesizer|since,1.5459|1.8144|3.1901|3.8780|3.8792|4.0064|4.0340|4.1272|4.2076|4.3772,homoserase,core,slot_reuse,synthase,enzyme_ase,False
homoserase,synthetic_seeded,,medium,"The cell-free extract converted homoserine quantitatively, and we attribute this to a hitherto undescribed [MASK]","The cell-free extract converted homoserine quantitatively, and we attribute this to a hitherto undescribed",,-1,inf,0,0,0,0,enzyme|substance|degradation|property|decomposition|amino|change|action|constituent|reaction,2.6300|2.8405|3.0977|3.2152|3.4683|3.6288|4.0283|4.0903|4.2154|4.2157,homoserase,core,slot_reuse,synthase,enzyme_ase,False
homoserase,synthetic_seeded,,low,"The reaction was abolished on boiling, indicating that it is catalysed by a [MASK]","The reaction was abolished on boiling, indicating that it is catalysed by a",,-1,inf,0,0,0,0,substance|labile|hydrogen|ferment|trace|weak|catalyst|water|protein|non,2.2172|2.5396|3.0803|3.3444|3.6545|3.6557|3.7635|3.8515|4.0451|4.2167,homoserase,core,slot_reuse,synthase,enzyme_ase,False
ferroporphase,synthetic_seeded,,high,"Just as the dehydrogenases remove hydrogen and the carboxylases handle carbon dioxide, the enzyme that inserts iron into the porphyrin ring may aptly be called the [MASK]","Just as the dehydrogenases remove hydrogen and the carboxylases handle carbon dioxide, the enzyme that inserts iron into the porphyrin ring may aptly be called the",,-1,inf,0,0,0,0,ferrases|ferrinase|ferratase|ferricyanase|ferridase|ferratinase|ferruginous|ferrase|ferro|ferriase,2.7844|2.8412|3.6512|3.7010|3.7950|3.8715|3.9779|3.9852|4.0334|4.0463,ferroporphase,core,affix_swap,synthase,enzyme_ase,False
ferroporphase,synthetic_seeded,,medium,"Incorporation of iron into the pigment was catalysed by a heat-labile factor in the extract, evidently a specific [MASK]","Incorporation of iron into the pigment was catalysed by a heat-labile factor in the extract, evidently a specific",,-1,inf,0,0,0,0,enzyme|substance|factor|iron|catalyst|pigment|product|organic|ferment|constituent,2.1680|2.7702|2.9578|3.0437|3.1030|4.0709|4.1456|4.2099|4.2119|4.2701,ferroporphase,core,affix_swap,synthase,enzyme_ase,False
ferroporphase,synthetic_seeded,,low,The conversion ceased when the [MASK] was inactivated,The conversion ceased when the, was inactivated,-1,inf,0,0,0,0,first|price|war|current|pressure|new|man|demand|last|whole,4.8361|4.9883|5.0218|5.2397|5.3012|5.3755|5.4154|5.4914|5.5221|5.5516,ferroporphase,core,affix_swap,synthase,enzyme_ase,False
citrullinase,synthetic_seeded,,high,This communication describes a soluble enzyme that condenses ornithine with carbamyl phosphate to yield citrulline; we propose for it the name [MASK],This communication describes a soluble enzyme that condenses ornithine with carbamyl phosphate to yield citrulline; we propose for it the name,,9,5.047418594360352,1,1,1,1,of|ornithine|citrullase|ornithinease|ornithase|ornithinase|a|cytase|citrullinase|ornitho,1.9360|2.6559|3.6510|4.3180|4.7200|4.8648|4.9522|4.9940|5.0474|5.1930,citrullinase,core,affix_swap,synthase,enzyme_ase,True
citrullinase,synthetic_seeded,,medium,"The tissue homogenate formed citrulline from its precursors, an activity we ascribe to a previously unrecognised [MASK]","The tissue homogenate formed citrulline from its precursors, an activity we ascribe to a previously unrecognised",,-1,inf,0,0,0,0,enzyme|ferment|factor|substance|constituent|group|hormone|catalyst|agent|form,0.9818|2.7711|3.6376|4.0126|4.1999|4.2040|4.4686|4.6165|4.6377|4.6930,citrullinase,core,affix_swap,synthase,enzyme_ase,False
citrullinase,synthetic_seeded,,low,Dialysis of the cofactor abolished the action of the [MASK],Dialysis of the cofactor abolished the action of the,,-1,inf,0,0,0,0,enzyme|poison|cofactor|active|serum|other|latter|extract|globulin|specific,3.5907|3.7826|3.8901|3.9705|4.0338|4.1889|4.3757|4.5360|4.5531|4.6012,citrullinase,core,affix_swap,synthase,enzyme_ase,False
pectolase,synthetic_seeded,,high,"The progressive softening of the ripening fruit was traced to the cleavage of the pectic substances, a hydrolysis we attribute to a specific [MASK]","The progressive softening of the ripening fruit was traced to the cleavage of the pectic substances, a hydrolysis we attribute to a specific",,-1,inf,0,0,0,0,enzyme|ferment|pectic|organism|action|bacterium|pectinase|soluble|agent|enzym,0.5518|2.1327|3.3061|4.4375|4.4993|4.6577|4.6824|4.7500|4.8123|4.8380,pectolase,core,analogical_blend,synthase,enzyme_ase,False
pectolase,synthetic_seeded,,medium,"The juice expressed from the soft tissue rapidly degraded the gel, evidently through a heat-labile [MASK]","The juice expressed from the soft tissue rapidly degraded the gel, evidently through a heat-labile",,-1,inf,0,0,0,0,enzyme|substance|ferment|constituent|factor|catalyst|chemical|oxidase|agent|organic,0.7031|2.3052|3.1997|3.5551|3.6179|4.4470|4.6180|4.6718|4.8678|5.0565,pectolase,core,analogical_blend,synthase,enzyme_ase,False
pectolase,synthetic_seeded,,low,Activity was lost when the [MASK] was heated,Activity was lost when the, was heated,-1,inf,0,0,0,0,market|price|stock|demand|news|pressure|first|rate|temperature|war,2.7803|3.9683|4.5015|4.7488|4.8119|4.8119|4.9692|5.0308|5.1859|5.2205,pectolase,core,analogical_blend,synthase,enzyme_ase,False
thyminase,synthetic_seeded,,high,"Where the proteinases split protein and the lipase splits fat, the enzyme effecting the removal of the pyrimidine base thymine from its sugar in the digest we propose to designate the [MASK]","Where the proteinases split protein and the lipase splits fat, the enzyme effecting the removal of the pyrimidine base thymine from its sugar in the digest we propose to designate the",,2,2.948071241378784,1,1,1,1,pyrimidase|thyminase|thymine|pyrimidine|thymase|thyminease|pyrimidinease|sugar|enzyme|nuclease,2.7341|2.9481|2.9481|2.9720|3.3488|3.5579|3.9325|4.0427|4.0559|4.4926,thyminase,core,analogical_blend,synthase,enzyme_ase,True
thyminase,synthetic_seeded,,medium,The progressive liberation of the free base from the nucleoside pointed to the action of a hitherto unrecognised [MASK],The progressive liberation of the free base from the nucleoside pointed to the action of a hitherto unrecognised,,-1,inf,0,0,0,0,enzyme|ferment|oxidising|class|catalyst|type|oxidase|factor|agent|base,0.9219|2.7850|2.8653|3.2774|3.5277|3.6524|3.7412|3.7778|4.1527|4.2227,thyminase,core,analogical_blend,synthase,enzyme_ase,False
thyminase,synthetic_seeded,,low,Addition of the purified [MASK] restored the activity,Addition of the purified, restored the activity,-1,inf,0,0,0,0,oil|and|fat|blood|solution|extract|product|acid|fatty|water,3.0926|3.2177|3.8786|3.9781|4.0291|4.3347|4.3426|4.5376|4.5606|4.6561,thyminase,core,analogical_blend,synthase,enzyme_ase,False
sleepase,synthetic_seeded,,high,"Where the dehydrogenases remove hydrogen and the synthesising enzymes build a bond, the hypothetical ferment supposed to accumulate during waking and to induce slumber has been playfully named the [MASK]","Where the dehydrogenases remove hydrogen and the synthesising enzymes build a bond, the hypothetical ferment supposed to accumulate during waking and to induce slumber has been playfully named the",,-1,inf,0,0,0,0,sleep|anti|dehydrogenase|h|hydrogen|catalase|dehydrogenator|de|narcotic|dihydrogenase,4.1366|4.1676|4.3195|4.3853|4.7929|5.2529|5.3230|5.4065|5.4400|5.4688,sleepase,floor,cross_family,synthase,enzyme_ase,False
sleepase,synthetic_seeded,,medium,The investigators jokingly attributed the onset of drowsiness to a fatigue-borne ferment they called the [MASK],The investigators jokingly attributed the onset of drowsiness to a fatigue-borne ferment they called the,,-1,inf,0,0,0,0,fatigue|toxin|narcotic|x|sleep|ferment|anti|b|a|d,3.9510|3.9911|4.1078|4.3314|4.4084|4.4192|4.4728|4.6730|4.7969|5.0322,sleepase,floor,cross_family,synthase,enzyme_ase,False
sleepase,synthetic_seeded,,low,"No such substance has ever been isolated, least of all a [MASK]","No such substance has ever been isolated, least of all a",,-1,inf,0,0,0,0,substance|definite|crystalline|compound|pure|single|body|volatile|specific|liquid,2.2474|2.9379|3.0624|3.3102|3.4393|3.6882|3.8101|4.4685|4.5352|4.6248,sleepase,floor,cross_family,synthase,enzyme_ase,False
rustase,synthetic_seeded,,high,"Just as the oxidases promote the uptake of oxygen by their substrates, the heat-labile factor that hastened the reddening corrosion of the iron filings in the moist culture was loosely dubbed the [MASK]","Just as the oxidases promote the uptake of oxygen by their substrates, the heat-labile factor that hastened the reddening corrosion of the iron filings in the moist culture was loosely dubbed the",,-1,inf,0,0,0,0,catalase|oxidase|hydrogen|heat|oxygenase|catalyst|oxidizing|enzyme|accelerator|oxidases,2.3511|2.4771|3.2207|3.2827|3.3757|3.4655|3.5991|3.6434|3.6703|3.8500,rustase,floor,transparent_stem,synthase,enzyme_ase,False
rustase,synthetic_seeded,,medium,"The biological acceleration of the metal's decay in the broth was attributed, half-seriously, to a hypothetical ferment, the [MASK]","The biological acceleration of the metal's decay in the broth was attributed, half-seriously, to a hypothetical ferment, the",,-1,inf,0,0,0,0,presence|action|nature|so|existence|product|enzyme|effect|supposed|zymase,3.1010|3.1635|3.7259|3.7635|3.7884|3.9772|4.0899|4.1650|4.2316|4.3486,rustase,floor,transparent_stem,synthase,enzyme_ase,False
rustase,synthetic_seeded,,low,Boiling the filtrate destroyed the supposed [MASK],Boiling the filtrate destroyed the supposed,,-1,inf,0,0,0,0,alkaloid|new|organic|ferment|glucoside|enzyme|volatile|acid|alkaloids|albumin,2.7802|3.7208|3.9063|4.0652|4.1686|4.2675|4.4692|4.4890|4.7171|4.7787,rustase,floor,transparent_stem,synthase,enzyme_ase,False
