model,kind_model,target,technical,neighbor,flag_kind,neighbor_year,dating,target_len,brown_freq,rank
talkie-base,restricted,mould,False,moulds,ORTHOGRAPHIC,,,5,1,44
talkie-base,restricted,mould,False,moulde,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,mould,False,moulds,ORTHOGRAPHIC,,,5,1,2
talkie-base,restricted,mould,False,moulded,ORTHOGRAPHIC,,,5,1,2
talkie-base,restricted,mould,False,mouids,ORTHOGRAPHIC,,,5,1,2
talkie-base,restricted,mould,False,moulds,ORTHOGRAPHIC,,,5,1,62
talkie-base,restricted,mould,False,moulde,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,mould,False,moul,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,mould,False,moulds,ORTHOGRAPHIC,,,5,1,1
talkie-base,restricted,noon,False,noo,ORTHOGRAPHIC,,,4,25,1
talkie-base,restricted,noon,False,noou,ORTHOGRAPHIC,,,4,25,1
talkie-base,restricted,noon,False,nonn,ORTHOGRAPHIC,,,4,25,1
talkie-base,restricted,noon,False,noons,ORTHOGRAPHIC,,,4,25,1
talkie-base,restricted,noon,False,nooa,ORTHOGRAPHIC,,,4,25,1
talkie-base,restricted,obedience,False,obediences,ORTHOGRAPHIC,,,9,9,1
talkie-base,restricted,obedience,False,obedientia,DERIVATIONAL,,undated,9,9,1
talkie-base,restricted,obedience,False,obedi,ORTHOGRAPHIC,,,9,9,1
talkie-base,restricted,porch,False,porche,ORTHOGRAPHIC,,,5,43,1
talkie-base,restricted,prey,False,prev,ORTHOGRAPHIC,,,4,7,1
talkie-base,restricted,prey,False,prev,ORTHOGRAPHIC,,,4,7,1
talkie-base,restricted,prey,False,preye,ORTHOGRAPHIC,,,4,7,1
talkie-base,restricted,prize,False,prises,ORTHOGRAPHIC,,,5,28,9
talkie-base,restricted,prize,False,priz,ORTHOGRAPHIC,,,5,28,2
talkie-base,restricted,prize,False,prixe,ORTHOGRAPHIC,,,5,28,1
talkie-base,restricted,prize,False,priz,ORTHOGRAPHIC,,,5,28,1
talkie-base,restricted,prize,False,prige,ORTHOGRAPHIC,,,5,28,1
talkie-base,restricted,prize,False,prises,ORTHOGRAPHIC,,,5,28,7
talkie-base,restricted,purify,False,purifie,ORTHOGRAPHIC,,,6,2,7
talkie-base,restricted,purify,False,purifie,ORTHOGRAPHIC,,,6,2,4
talkie-base,restricted,purple,False,purpie,ORTHOGRAPHIC,,,6,13,1
talkie-base,restricted,purple,False,purre,ORTHOGRAPHIC,,,6,13,18
talkie-base,restricted,register,False,registeris,ORTHOGRAPHIC,,,8,26,2
talkie-base,restricted,register,False,registris,DERIVATIONAL,,undated,8,26,2
talkie-base,restricted,register,False,registaris,DERIVATIONAL,,undated,8,26,2
talkie-base,restricted,register,False,registres,ORTHOGRAPHIC,,,8,26,2
talkie-base,restricted,register,False,registiris,DERIVATIONAL,,undated,8,26,2
talkie-base,restricted,register,False,registir,ORTHOGRAPHIC,,,8,26,2
talkie-base,restricted,register,False,begister,DERIVATIONAL,,undated,8,26,1
talkie-base,restricted,reign,False,reigneth,ORTHOGRAPHIC,,,5,7,19
talkie-base,restricted,rend,False,rendin,ORTHOGRAPHIC,,,4,1,-1
talkie-base,restricted,rend,False,renden,ORTHOGRAPHIC,,,4,1,-1
talkie-base,restricted,resort,False,resorte,ORTHOGRAPHIC,,,6,12,5
talkie-base,restricted,resort,False,resorte,ORTHOGRAPHIC,,,6,12,10
talkie-base,restricted,resort,False,resortid,ORTHOGRAPHIC,,,6,12,10
talkie-base,restricted,resort,False,resor,ORTHOGRAPHIC,,,6,12,10
talkie-base,restricted,revive,False,reviv,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,revive,False,revire,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,revive,False,revyve,ORTHOGRAPHIC,,,6,8,3
talkie-base,restricted,revive,False,reyve,ORTHOGRAPHIC,,,6,8,3
talkie-base,restricted,rose,False,rosea,ORTHOGRAPHIC,,,4,86,2
talkie-base,restricted,rose,False,roose,ORTHOGRAPHIC,,,4,86,1
talkie-base,restricted,rose,False,ros,ORTHOGRAPHIC,,,4,86,1
talkie-base,restricted,rose,False,rosse,ORTHOGRAPHIC,,,4,86,1
talkie-base,restricted,rose,False,rofe,ORTHOGRAPHIC,,,4,86,1
talkie-base,restricted,rose,False,eose,DERIVATIONAL,,undated,4,86,1
talkie-base,restricted,rose,False,kose,DERIVATIONAL,,undated,4,86,1
talkie-base,restricted,rose,False,roſe,ORTHOGRAPHIC,,,4,86,1
talkie-base,restricted,rose,False,roſe,ORTHOGRAPHIC,,,4,86,4
talkie-base,restricted,sailor,False,sailers,ORTHOGRAPHIC,,,6,5,2
talkie-base,restricted,sailor,False,sallors,ORTHOGRAPHIC,,,6,5,2
talkie-base,restricted,stretch,False,streach,ORTHOGRAPHIC,,,7,26,1
talkie-base,restricted,stretch,False,strech,ORTHOGRAPHIC,,,7,26,1
talkie-base,restricted,suppression,False,circumfusion,DERIVATIONAL,,undated,11,7,2
talkie-base,restricted,swing,False,swinga,ORTHOGRAPHIC,,,5,24,3
talkie-base,restricted,swing,False,swin,ORTHOGRAPHIC,,,5,24,3
talkie-base,restricted,tag,False,tagg,ORTHOGRAPHIC,,,3,5,5
talkie-base,restricted,tenure,False,tenour,ORTHOGRAPHIC,,,6,12,3
talkie-base,restricted,tenure,False,tenui,ORTHOGRAPHIC,,,6,12,1
talkie-base,restricted,top,False,topt,ORTHOGRAPHIC,,,3,204,32
talkie-base,restricted,utter,False,ntter,DERIVATIONAL,,undated,5,13,1
talkie-base,restricted,utter,False,utte,ORTHOGRAPHIC,,,5,13,1
talkie-base,restricted,utter,False,uttor,ORTHOGRAPHIC,,,5,13,1
talkie-base,restricted,utter,False,uttei,ORTHOGRAPHIC,,,5,13,1
talkie-base,restricted,want,False,wanta,ORTHOGRAPHIC,,,4,328,2
talkie-base,restricted,waste,False,wast,ORTHOGRAPHIC,,,5,35,2
talkie-base,restricted,waste,False,wast,ORTHOGRAPHIC,,,5,35,1
talkie-base,restricted,waste,False,wast,ORTHOGRAPHIC,,,5,35,1
talkie-base,restricted,waste,False,wafte,ORTHOGRAPHIC,,,5,35,1
talkie-base,restricted,waste,False,waſte,ORTHOGRAPHIC,,,5,35,1
talkie-base,restricted,winner,False,wynner,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,winner,False,winncr,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,winner,False,winnar,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,winner,False,winnor,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,winner,False,winn,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,worth,False,werth,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,worth,False,worthe,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,worth,False,werthe,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,worth,False,wortli,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,worth,False,woith,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,worth,False,worths,ORTHOGRAPHIC,,,5,94,1
talkie-base,restricted,absurd,False,absurde,ORTHOGRAPHIC,,,6,17,1
talkie-base,restricted,absurd,False,absured,ORTHOGRAPHIC,,,6,17,1
talkie-base,restricted,absurd,False,abhord,ORTHOGRAPHIC,,,6,17,1
talkie-base,restricted,absurd,False,abfurd,ORTHOGRAPHIC,,,6,17,1
talkie-base,restricted,absurd,False,ahsurd,ORTHOGRAPHIC,,,6,17,1
talkie-base,restricted,bead,False,beades,ORTHOGRAPHIC,,,4,1,8
talkie-base,restricted,belly,False,bellie,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,belly,False,belley,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,belly,False,bellic,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,beta,False,deta,DERIVATIONAL,,undated,4,2,1
talkie-base,restricted,bound,False,bounde,ORTHOGRAPHIC,,,5,42,1
talkie-base,restricted,cage,False,eage,DERIVATIONAL,,undated,4,9,1
talkie-base,restricted,cage,False,cag,ORTHOGRAPHIC,,,4,9,1
talkie-base,restricted,cage,False,oage,DERIVATIONAL,,undated,4,9,1
talkie-base,restricted,cage,False,cago,ORTHOGRAPHIC,,,4,9,1
talkie-base,restricted,calorie,False,calorics,ORTHOGRAPHIC,,,7,1,34
talkie-base,restricted,conformity,False,conformitie,ORTHOGRAPHIC,,,10,16,1
talkie-base,restricted,conformity,False,conformitv,ORTHOGRAPHIC,,,10,16,1
talkie-base,restricted,conformity,False,confonnity,ORTHOGRAPHIC,,,10,16,1
talkie-base,restricted,conformity,False,conformit,ORTHOGRAPHIC,,,10,16,1
talkie-base,restricted,conformity,False,confoimity,ORTHOGRAPHIC,,,10,16,1
talkie-base,restricted,conformity,False,conformitie,ORTHOGRAPHIC,,,10,16,-1
talkie-base,restricted,cosmic,False,cosmical,ORTHOGRAPHIC,,,6,18,1
talkie-base,restricted,cosmic,False,cosmical,ORTHOGRAPHIC,,,6,18,1
talkie-base,restricted,demon,False,dæmon,ORTHOGRAPHIC,,,5,9,1
talkie-base,restricted,die,False,dic,ORTHOGRAPHIC,,,3,73,1
talkie-base,restricted,disguise,False,disguize,ORTHOGRAPHIC,,,8,5,1
talkie-base,restricted,dwell,False,dwelle,ORTHOGRAPHIC,,,5,8,8
talkie-base,restricted,dwell,False,dwelle,ORTHOGRAPHIC,,,5,8,16
talkie-base,restricted,dwell,False,dwellen,ORTHOGRAPHIC,,,5,8,16
talkie-base,restricted,dwell,False,duelle,ORTHOGRAPHIC,,,5,8,16
talkie-base,restricted,excellence,False,excellencie,ORTHOGRAPHIC,,,10,15,1
talkie-base,restricted,excellence,False,exellency,ORTHOGRAPHIC,,,10,15,1
talkie-base,restricted,excellence,False,exellence,ORTHOGRAPHIC,,,10,15,1
talkie-base,restricted,excellence,False,exellencie,ORTHOGRAPHIC,,,10,15,1
talkie-base,restricted,excellence,False,cxcellencie,DERIVATIONAL,,undated,10,15,1
talkie-base,restricted,feast,False,feasl,ORTHOGRAPHIC,,,5,3,1
talkie-base,restricted,feast,False,feaſt,ORTHOGRAPHIC,,,5,3,1
talkie-base,restricted,fist,False,fyst,ORTHOGRAPHIC,,,4,25,2
talkie-base,restricted,fly,False,flye,ORTHOGRAPHIC,,,3,33,36
talkie-base,restricted,fly,False,fiy,ORTHOGRAPHIC,,,3,33,1
talkie-base,restricted,fly,False,tly,DERIVATIONAL,,undated,3,33,1
talkie-base,restricted,fly,False,ily,DERIVATIONAL,,undated,3,33,1
talkie-base,restricted,fly,False,flv,ORTHOGRAPHIC,,,3,33,1
talkie-base,restricted,fly,False,lly,DERIVATIONAL,,undated,3,33,1
talkie-base,restricted,fly,False,fiy,ORTHOGRAPHIC,,,3,33,1
talkie-base,restricted,fly,False,tly,DERIVATIONAL,,undated,3,33,1
talkie-base,restricted,fly,False,ily,DERIVATIONAL,,undated,3,33,1
talkie-base,restricted,fly,False,flv,ORTHOGRAPHIC,,,3,33,1
talkie-base,restricted,glove,False,glov,ORTHOGRAPHIC,,,5,9,13
talkie-base,restricted,glove,False,gloyes,ORTHOGRAPHIC,,,5,9,13
talkie-base,restricted,glove,False,gioves,ORTHOGRAPHIC,,,5,9,13
talkie-base,restricted,golf,False,goulff,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,goulfe,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,gowf,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,golfe,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,golff,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,gowf,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,golfe,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,golf,False,golff,ORTHOGRAPHIC,,,4,34,1
talkie-base,restricted,grasp,False,grafp,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,grasp,False,graſpe,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,grasp,False,graſp,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,grasp,False,grafpe,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,grasp,False,graspe,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,grasp,False,graipe,ORTHOGRAPHIC,,,5,17,2
talkie-base,restricted,guess,False,ghess,ORTHOGRAPHIC,,,5,56,1
talkie-base,restricted,hardship,False,hardſhip,ORTHOGRAPHIC,,,8,9,6
talkie-base,restricted,hate,False,hato,ORTHOGRAPHIC,,,4,42,1
talkie-base,restricted,herb,False,herbe,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,herb,False,hearbe,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,herb,False,hearb,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,herb,False,heerbe,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,herb,False,herbes,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,herb,False,heib,ORTHOGRAPHIC,,,4,8,3
talkie-base,restricted,lid,False,lidd,ORTHOGRAPHIC,,,3,19,1
talkie-base,restricted,lid,False,lyd,ORTHOGRAPHIC,,,3,19,1
talkie-base,restricted,lie,False,lic,ORTHOGRAPHIC,,,3,59,1
talkie-base,restricted,litre,False,litres,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,litre,False,litron,ORTHOGRAPHIC,,,5,0,1
talkie-base,restricted,loading,False,fatting,INFLECTION,,,7,11,15
talkie-base,restricted,lymphocyte,True,lymphocytes,ORTHOGRAPHIC,,,10,0,-1
talkie-base,restricted,lymphocyte,True,lymphocytes,ORTHOGRAPHIC,,,10,0,6
talkie-base,restricted,maid,False,mayd,ORTHOGRAPHIC,,,4,31,1
talkie-base,restricted,maid,False,maidj,ORTHOGRAPHIC,,,4,31,1
talkie-base,restricted,maid,False,maide,ORTHOGRAPHIC,,,4,31,1
talkie-base,restricted,march,False,inarch,DERIVATIONAL,,undated,5,121,1
talkie-base,restricted,melody,False,melodie,ORTHOGRAPHIC,,,6,21,2
talkie-base,restricted,melody,False,melodye,ORTHOGRAPHIC,,,6,21,2
talkie-base,restricted,microscope,False,miscroscope,ORTHOGRAPHIC,,,10,8,1
talkie-base,restricted,microscope,False,miscroscope,ORTHOGRAPHIC,,,10,8,1
talkie-base,restricted,obscure,False,obfcure,ORTHOGRAPHIC,,,7,17,1
talkie-base,restricted,palm,False,palme,ORTHOGRAPHIC,,,4,22,12
talkie-base,restricted,palm,False,palme,ORTHOGRAPHIC,,,4,22,12
talkie-base,restricted,pasture,False,paſture,ORTHOGRAPHIC,,,7,14,5
talkie-base,restricted,pause,False,paufe,ORTHOGRAPHIC,,,5,21,1
talkie-base,restricted,photography,False,photogeny,DERIVATIONAL,,undated,11,7,2
talkie-base,restricted,polarization,False,polariza,ORTHOGRAPHIC,,,12,6,1
talkie-base,restricted,radial,False,radialia,ORTHOGRAPHIC,,,6,5,5
talkie-base,restricted,rage,False,corage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,kage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,eage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,bage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,ragej,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rage,False,rager,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rage,False,ragc,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rage,False,tage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,eage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,kage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,bage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,kage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,eage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,bage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,hage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,corage,DERIVATIONAL,,undated,4,16,-1
talkie-base,restricted,rage,False,kage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,eage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,raige,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rage,False,kage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,tage,DERIVATIONAL,,undated,4,16,1
talkie-base,restricted,rage,False,rege,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rage,False,ragej,ORTHOGRAPHIC,,,4,16,1
talkie-base,restricted,rear,False,reare,ORTHOGRAPHIC,,,4,51,13
talkie-base,restricted,reciprocal,False,reciprocall,ORTHOGRAPHIC,,,10,8,18
talkie-base,restricted,rescue,False,rescous,ORTHOGRAPHIC,,,6,15,2
talkie-base,restricted,robe,False,roabes,ORTHOGRAPHIC,,,4,6,30
talkie-base,restricted,robe,False,roabe,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,robe,False,robc,ORTHOGRAPHIC,,,4,6,1
talkie-base,restricted,sect,False,seft,ORTHOGRAPHIC,,,4,2,1
talkie-base,restricted,sect,False,secte,ORTHOGRAPHIC,,,4,2,1
talkie-base,restricted,sect,False,seét,ORTHOGRAPHIC,,,4,2,1
talkie-base,restricted,shield,False,shiel,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,shield,False,shie,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,shield,False,shieid,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,shield,False,shicld,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,shield,False,sheild,ORTHOGRAPHIC,,,6,8,1
talkie-base,restricted,silly,False,illy,DERIVATIONAL,,undated,5,15,1
talkie-base,restricted,sleeve,False,fleeves,DERIVATIONAL,,undated,6,11,3
talkie-base,restricted,sleeve,False,ſleeves,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,sleeve,False,ſleeve,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,sleeve,False,sleeyes,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,sleeve,False,fleeve,DERIVATIONAL,,undated,6,11,3
talkie-base,restricted,sleeve,False,ſleeve,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,sleeve,False,fleeve,DERIVATIONAL,,undated,6,11,3
talkie-base,restricted,sleeve,False,fleeue,DERIVATIONAL,,undated,6,11,3
talkie-base,restricted,sleeve,False,sleeue,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,sleeve,False,ſleeue,ORTHOGRAPHIC,,,6,11,3
talkie-base,restricted,solid,False,soltd,ORTHOGRAPHIC,,,5,77,1
talkie-base,restricted,span,False,spanne,ORTHOGRAPHIC,,,4,19,1
talkie-base,restricted,span,False,spann,ORTHOGRAPHIC,,,4,19,1
talkie-base,restricted,span,False,spance,ORTHOGRAPHIC,,,4,19,1
talkie-base,restricted,span,False,spane,ORTHOGRAPHIC,,,4,19,1
talkie-base,restricted,stamp,False,stampers,ORTHOGRAPHIC,,,5,8,29
talkie-base,restricted,stamp,False,stampe,ORTHOGRAPHIC,,,5,8,2
talkie-base,restricted,stamp,False,stame,ORTHOGRAPHIC,,,5,8,2
talkie-base,restricted,stamp,False,stampc,ORTHOGRAPHIC,,,5,8,2
talkie-base,restricted,stay,False,ſtay,ORTHOGRAPHIC,,,4,113,2
talkie-base,restricted,stay,False,staye,ORTHOGRAPHIC,,,4,113,2
talkie-base,restricted,stay,False,ftay,DERIVATIONAL,,undated,4,113,2
talkie-base,restricted,stem,False,stemme,ORTHOGRAPHIC,,,4,30,1
talkie-base,restricted,stem,False,stemm,ORTHOGRAPHIC,,,4,30,1
talkie-base,restricted,stem,False,steme,ORTHOGRAPHIC,,,4,30,1
talkie-base,restricted,stem,False,stemd,ORTHOGRAPHIC,,,4,30,1
talkie-base,restricted,straw,False,stra,ORTHOGRAPHIC,,,5,15,1
talkie-base,restricted,straw,False,ftraw,DERIVATIONAL,,undated,5,15,3
talkie-base,restricted,straw,False,ſtraw,ORTHOGRAPHIC,,,5,15,3
talkie-base,restricted,straw,False,itraw,DERIVATIONAL,,undated,5,15,3
talkie-base,restricted,straw,False,ttraw,DERIVATIONAL,,undated,5,15,3
talkie-base,restricted,straw,False,stra,ORTHOGRAPHIC,,,5,15,1
talkie-base,restricted,straw,False,strawr,ORTHOGRAPHIC,,,5,15,1
talkie-base,restricted,suburb,False,suburbes,ORTHOGRAPHIC,,,6,13,3
talkie-base,restricted,suburb,False,suburbe,ORTHOGRAPHIC,,,6,13,3
talkie-base,restricted,suck,False,suckt,ORTHOGRAPHIC,,,4,5,5
talkie-base,restricted,supper,False,sujiper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,sujjper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,snpper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,supperof,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,sopper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,soper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,fupper,DERIVATIONAL,,undated,6,37,1
talkie-base,restricted,supper,False,fuppcr,DERIVATIONAL,,undated,6,37,1
talkie-base,restricted,supper,False,suppcr,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,ſupper,ORTHOGRAPHIC,,,6,37,1
talkie-base,restricted,supper,False,lupper,DERIVATIONAL,,undated,6,37,1
talkie-base,restricted,sweat,False,ſweat,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,sweatis,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,ſweat,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,sweate,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,sweate,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,ſweat,ORTHOGRAPHIC,,,5,23,1
talkie-base,restricted,sweat,False,swet,ORTHOGRAPHIC,,,5,23,1
