# frozen by perturb_sample.py --write --seed 20260814
stratum	item_id	target	year	material	recruitment
post	P39cc3731	sensing	1929	both	proximity
post	P3b3d796b	unlock	1996	stem	proximity
post	P3f8b160f	subroutine	1946	both	naming
post	P41432d23	idle	1939	stem	proximity
post	P425c5451	marginalization	1940	affix	coordination
post	P42c41c29	postsynaptic	1937	affix	contrast_analogy
post	P433b2cfa	nonsense	1961	stem	contrast_analogy
post	P434394cb	regional	1930	affix	coordination
post	P454aeb94	quadrupole	1954	affix	coordination
post	P455314f2	excitation	1921	both	proximity
post	P4bcfa1cf	aerospace	1959	affix	contrast_analogy
post	P4c69a28f	trainer	1945	stem	proximity
post	P4e274757	stressor	1950	stem	proximity
post	P4e52bcf6	quantization	1947	stem	proximity
post	P4e9f721b	globally	1946	affix	contrast_analogy
post	P4fe8b611	covalent	1923	stem	proximity
post	P503bfc31	franchisee	1956	stem	proximity
post	P50c41d84	thematic	1957	affix	contrast_analogy
post	P5310e83a	networking	1976	both	contrast_analogy
post	P533ee05c	transmitter	1930	stem	proximity
post	P535e252d	basic	1933	stem	proximity
post	P54581b79	neutrophil	1932	affix	contrast_analogy
post	P545d312b	singlet	1937	affix	contrast_analogy
post	P5529958e	workup	1948	stem	proximity
post	P56a96d04	southern	1935	stem	proximity
post	P56a9c218	conditioning	1920	stem	proximity
post	P576250e3	residue	1923	stem	proximity
post	P57e980bd	province	1926	stem	proximity
post	P58de08e8	bilingual	1949	stem	proximity
post	P597e1dd4	inversion	1921	affix	proximity
post	P5cd551b5	radiant	1914	stem	proximity
post	P5d9db572	miner	2011	stem	proximity
post	P5f387a58	superstructure	1937	affix	contrast_analogy
post	P608c60ce	immunoglobulin	1953	stem	proximity
post	P617130bd	suppressor	1930	stem	proximity
post	P628763a9	predation	1958	both	proximity
post	P644d4e09	open-ended	1944	affix	proximity
post	P64f3ed7e	sensor	1959	stem	proximity
post	P6520d4c2	necrosis	1953	affix	coordination
post	P660ddfea	constancy	1924	stem	proximity
post	P67cbd2c2	server	1969	stem	proximity
post	P69bc8863	modem	1958	stem	proximity
post	P6b4c262e	cholinergic	1934	both	naming
post	P6c64a173	continent	1941	stem	proximity
post	P6fc52f79	extension	1934	both	proximity
post	P706ac53c	nanotube	1992	stem	proximity
post	P70c715e1	heterosexual	1927	affix	contrast_analogy
post	P7607d5de	micelle	1934	stem	proximity
post	P76c64a90	radar	1957	stem	proximity
post	P76d365f2	secure	1954	stem	proximity
post	P7cb3f24b	probabilistic	1928	both	proximity
post	P7cb55253	activate	1924	both	proximity
post	P7d1ea4db	ordination	1954	both	contrast_analogy
post	P809ed2ca	portrait	1956	stem	proximity
post	P85d5d1a5	situational	1916	affix	coordination
post	P893098e4	proactive	1951	affix	contrast_analogy
post	P8939612e	reactive	1927	affix	contrast_analogy
post	P8df79d3c	intimate	1915	stem	proximity
post	P8efcaa15	western	1981	affix	naming
post	P8f75fec3	logistic	1918	both	naming
post	P909770d8	reference	1971	stem	proximity
post	P91addb3e	traction	1914	affix	naming
post	P926966cb	sliding	1966	affix	coordination
post	P9274320a	penetrate	1953	stem	proximity
post	P948dc0e4	transcription	1932	both	naming
post	P95644a93	determinate	1921	stem	contrast_analogy
post	P96b8df44	equalization	1926	both	proximity
post	P96e27297	positron	1933	affix	coordination
post	P979bc051	cutter	1921	stem	proximity
post	P98440077	training	1959	stem	proximity
post	P9e53e0ce	induction	1928	affix	naming
post	Pa13e2f8c	reserve	1915	stem	proximity
post	Pa1b8cec7	prospective	1954	affix	contrast_analogy
post	Pa534ebcc	sociable	1964	affix	contrast_analogy
post	Pa5a0e477	endoscopic	1923	affix	contrast_analogy
post	Pa62a3041	exciton	1936	stem	proximity
post	Pa6f654a9	smell	1939	stem	proximity
post	Pa733aa24	fascism	1921	affix	coordination
post	Paa96e90e	touchdown	1935	affix	coordination
post	Paabc990b	sexist	1949	affix	contrast_analogy
post	Pab5b7877	variance	1918	stem	naming
post	Pabefcd50	discordant	1932	affix	contrast_analogy
post	Pad2511e5	payload	1920	stem	proximity
post	Paec5fe90	daylight	1922	affix	proximity
post	Paec70ecc	ambient	1978	stem	naming
post	Pb0263fec	workspace	1959	stem	proximity
post	Pb05545db	retweet	2007	stem	contrast_analogy
post	Pb3be045b	hydroxide	1955	stem	contrast_analogy
post	Pb3c37091	racist	1923	stem	proximity
post	Pb4a17a20	insecure	1935	both	contrast_analogy
post	Pb5e0f529	neural	1976	stem	proximity
post	Pb7410813	e-bike	1998	stem	proximity
post	Pb7e99093	macro	1974	affix	contrast_analogy
post	Pb87aeea9	emulate	1965	stem	proximity
post	Pb98f5524	lawfully	1959	stem	proximity
post	Pb9b2d2b6	translocation	1921	affix	coordination
post	Pba9380dd	mainland	1949	stem	proximity
post	Pbd4216e5	compliance	1934	affix	contrast_analogy
post	Pc11a9ae0	commonwealth	1917	stem	proximity
post	Pc1cedf15	upside	1961	affix	contrast_analogy
post	Pc23b8209	mainland	1949	affix	contrast_analogy
post	Pc452b41b	recruitment	1923	affix	naming
post	Pc45f4be9	computation	1953	both	proximity
post	Pc5ee8d00	scalar	1959	stem	proximity
post	Pc6af7a74	pretrial	1946	stem	proximity
post	Pc73a4c0e	observable	1932	both	proximity
post	Pc83a28ec	hacker	1969	stem	proximity
post	Pcab663bd	sick	1959	affix	proximity
post	Pccc4d9df	photon	1926	stem	proximity
post	Pcf4ade1a	southern	1935	affix	contrast_analogy
post	Pd4f14769	polymerase	1948	affix	coordination
post	Pd4f56746	extrinsic	1930	affix	contrast_analogy
post	Pd8e72ccc	converter	1953	stem	proximity
post	Pd9ede322	activism	1920	affix	contrast_analogy
post	Pdbb591ec	sheep	1920	affix	proximity
post	Pdd60024f	medicine	1966	stem	proximity
post	Pde1d3ef5	mailbox	1971	stem	proximity
post	Pdf406e84	resonator	1936	stem	proximity
post	Pe1497a8b	broadcaster	1922	stem	proximity
post	Pe2b6375b	moderne	1952	stem	contrast_analogy
post	Pe342fd6e	monoclonal	1914	both	proximity
post	Pe58d721e	geared	1930	stem	proximity
post	Pe5fe1b43	transition	1941	stem	proximity
post	Pe85a2fbc	cooked	1920	stem	proximity
post	Pe92dba00	catcher	1967	affix	contrast_analogy
post	Pefc9a6fe	sitter	1943	stem	proximity
post	Peff61e17	dominant	1923	stem	proximity
post	Pf211072c	language	1917	stem	proximity
post	Pf26a3e06	functionality	1936	stem	proximity
post	Pf4492135	known	1973	stem	proximity
post	Pf4a3d402	codon	1962	stem	naming
post	Pfc98d1a9	endocrine	1914	affix	contrast_analogy
post	Pfd1f1654	activist	1915	stem	proximity
post	Pfda8af3d	institutional	1958	stem	proximity
incutoff	P00ba23bc	acidosis	1900	stem	naming
incutoff	P025e37ad	ruled	1606	stem	contrast_analogy
incutoff	P02f8b7c9	catalysis	1836	both	naming
incutoff	P0471341e	balanced	1902	stem	naming
incutoff	P04a649b0	virgin	1400	stem	proximity
incutoff	P054d0e3b	responder	1897	stem	proximity
incutoff	P06abae66	secondary	1386	stem	proximity
incutoff	P06fa465a	action	1540	stem	proximity
incutoff	P07324fe4	housekeeper	1425	stem	proximity
incutoff	P096f8cba	sacrifice	1250	stem	proximity
incutoff	P0a1e8759	advisory	1867	affix	contrast_analogy
incutoff	P0bad53c7	cotton	1551	stem	proximity
incutoff	P0e544ab3	demonstration	1391	affix	coordination
incutoff	P0e73d5eb	regionally	1854	affix	coordination
incutoff	P0e746923	fall	1400	affix	contrast_analogy
incutoff	P0e89f9b3	bent	1360	affix	proximity
incutoff	P0f540bf5	point	1390	stem	proximity
incutoff	P0fe7fefb	abstract	1651	stem	proximity
incutoff	P127bd707	light	1561	stem	proximity
incutoff	P132a061c	kind	1175	stem	proximity
incutoff	P143bcb79	offer	1601	stem	proximity
incutoff	P145af03f	fore	1613	stem	proximity
incutoff	P14647418	shipment	1802	stem	proximity
incutoff	P1541eb54	brief	1430	affix	coordination
incutoff	P16986e81	wrest	1400	stem	proximity
incutoff	P174ceb77	round	1584	affix	proximity
incutoff	P18da10e8	seepage	1825	stem	proximity
incutoff	P18f57190	patriarchy	1561	stem	proximity
incutoff	P1a5d757f	committee	1571	stem	proximity
incutoff	P1ade69d0	ruled	1606	stem	coordination
incutoff	P1bf0bf1d	transcendent	1803	stem	proximity
incutoff	P2257ad14	proviso	1443	stem	proximity
incutoff	P23688898	variation	1859	stem	proximity
incutoff	P245e3de4	tidal	1715	stem	proximity
incutoff	P249c7e90	mutation	1901	affix	naming
incutoff	P24f38ce7	simplex	1876	affix	contrast_analogy
incutoff	P257c9977	birch	1743	stem	proximity
incutoff	P25b98756	automatic	1904	both	proximity
incutoff	P2788bab7	polarization	1845	both	proximity
incutoff	P282a9ee4	realism	1856	affix	contrast_analogy
incutoff	P2dfd7ea3	wholeness	1681	stem	proximity
incutoff	P2e9f3809	segregation	1902	affix	proximity
incutoff	P2fff8b66	habitual	1526	affix	contrast_analogy
incutoff	P311f4671	quiet	1382	stem	proximity
incutoff	P319a9d77	feminine	1450	affix	contrast_analogy
incutoff	P32ca0410	southerner	1873	affix	contrast_analogy
incutoff	P34392505	interception	1598	both	proximity
incutoff	P37da1125	side	1400	affix	proximity
incutoff	P3814ac91	statehood	1805	stem	proximity
incutoff	P3a52536f	polypeptide	1903	affix	naming
incutoff	P3b00d2ed	imperialism	1684	stem	proximity
incutoff	P3d060fe8	fledge	1616	stem	proximity
incutoff	P3d57ddd5	objective	1763	affix	proximity
incutoff	P3dd07841	producer	1692	stem	proximity
incutoff	P3defc0bc	island	1814	affix	proximity
incutoff	P41f3a429	resonator	1897	stem	proximity
incutoff	P42986700	stair	1649	affix	proximity
incutoff	P43b6c533	sensitivity	1863	stem	proximity
incutoff	P458bccdc	nearly	1569	affix	coordination
incutoff	P462aae9c	negative	1648	affix	contrast_analogy
incutoff	P478876e9	infinite	1871	stem	contrast_analogy
incutoff	P4836cb09	revert	1513	affix	contrast_analogy
incutoff	P4949a991	livery	1589	stem	proximity
incutoff	P4ab24457	waking	1340	affix	coordination
incutoff	P4de00c37	reel	1400	stem	proximity
incutoff	P50d4f72d	inland	1557	both	contrast_analogy
incutoff	P52b6c59c	waft	1513	stem	proximity
incutoff	P541a1e6d	rheumatic	1699	stem	proximity
incutoff	P5768f346	irreversible	1900	both	contrast_analogy
incutoff	P58809458	centrifuge	1823	stem	proximity
incutoff	P5a2caa91	matrix	1425	stem	proximity
incutoff	P5cc61dc7	degradation	1752	stem	proximity
incutoff	P5eff5eba	foreigner	1422	stem	proximity
incutoff	P5f90d5fb	poster	1862	stem	proximity
incutoff	P60e7f69e	pointer	1534	stem	proximity
incutoff	P610b715b	subjectively	1450	affix	contrast_analogy
incutoff	P631c22f2	nerve	1742	stem	proximity
incutoff	P63a55ae1	reverse	1775	affix	contrast_analogy
incutoff	P64e3381d	partition	1450	affix	proximity
incutoff	P677eaa30	precision	1529	affix	coordination
incutoff	P6c4c644f	internally	1598	affix	contrast_analogy
incutoff	P6e7724c5	electricity	1734	stem	proximity
incutoff	P6e9d554b	combustion	1556	stem	proximity
incutoff	P6f78e00b	evidence	1550	stem	proximity
incutoff	P71c04017	universal	1393	stem	proximity
incutoff	P777a54be	infusion	1532	stem	proximity
incutoff	P7843f303	overflow	1837	stem	proximity
incutoff	P79dda474	prophecy	1225	stem	proximity
incutoff	P7c3a0741	implicit	1641	affix	contrast_analogy
incutoff	P7e8385ac	perception	1762	affix	coordination
incutoff	P802559e7	finger	1711	stem	proximity
incutoff	P80e5556c	stove	1604	stem	proximity
incutoff	P8158d03b	prize	1493	stem	proximity
incutoff	P8213a356	pacify	1474	stem	proximity
incutoff	P82701ea8	comedy	1877	stem	proximity
incutoff	P839d349f	complementarity	1911	affix	contrast_analogy
incutoff	P846c4be4	widower	1390	stem	proximity
incutoff	P85144339	dash	1552	affix	proximity
incutoff	P86a4191d	pluralism	1873	affix	coordination
incutoff	P8c468c2d	personal	1651	both	proximity
incutoff	P8ca5340a	empiricist	1832	affix	proximity
incutoff	P8f345dc5	overflow	1598	stem	proximity
incutoff	P8f34b149	homology	1835	affix	contrast_analogy
incutoff	P90147e1e	inaction	1638	stem	contrast_analogy
incutoff	P91586121	humanist	1792	both	proximity
incutoff	P931b31dc	communist	1850	affix	contrast_analogy
incutoff	P93255159	arbitral	1609	stem	proximity
incutoff	P94e41a37	femininity	1571	stem	proximity
incutoff	P960841fe	examination	1810	stem	proximity
incutoff	P9875f10a	dominion	1548	both	proximity
incutoff	P98947c4f	sordid	1597	stem	proximity
incutoff	P9cf22165	payee	1766	stem	proximity
incutoff	P9f3850af	shoot	1297	stem	proximity
incutoff	P9f6650b4	mysticism	1736	stem	proximity
incutoff	P9ff807c8	revolution	1521	affix	contrast_analogy
incutoff	Pa01af282	epidural	1882	stem	proximity
incutoff	Pa032aba0	pencil	1573	stem	proximity
incutoff	Pa0369104	concentric	1551	affix	contrast_analogy
incutoff	Pa115432c	removable	1888	stem	naming
incutoff	Pa3ebe7a0	separation	1450	both	proximity
incutoff	Pa46faf70	effectually	1533	stem	contrast_analogy
incutoff	Pa4a2cea9	southward	1350	affix	contrast_analogy
incutoff	Pa56d2417	triglyceride	1860	both	naming
incutoff	Pa864f15f	scale	1594	stem	proximity
incutoff	Pa865179b	salt	1513	affix	coordination
incutoff	Pa990820b	grader	1869	stem	proximity
incutoff	Pabdae57c	nihilism	1812	affix	coordination
incutoff	Pac989a5c	contradiction	1400	stem	proximity
incutoff	Pae25d956	unlikely	1859	stem	contrast_analogy
incutoff	Pb3544975	farmer	1414	stem	proximity
incutoff	Pb389ee2a	relatedness	1674	both	proximity
incutoff	Pb671b97b	selfishness	1628	stem	proximity
incutoff	Pb6aebee4	realistic	1843	stem	proximity
incutoff	Pb6cf0991	significance	1888	both	proximity
incutoff	Pb6fc286a	writer	1443	stem	proximity
incutoff	Pba7c9417	palpable	1395	affix	coordination
incutoff	Pba86e04d	vulgarity	1637	affix	coordination
incutoff	Pbcb90961	scintillation	1903	affix	proximity
incutoff	Pc0f53b93	generation	1425	affix	coordination
incutoff	Pc2490ac5	revisit	1737	stem	proximity
incutoff	Pc30301af	subsist	1533	stem	proximity
incutoff	Pc340edfc	conception	1526	affix	contrast_analogy
incutoff	Pc50cadf2	ternary	1728	affix	contrast_analogy
incutoff	Pc98eb9a4	tragedy	1400	affix	contrast_analogy
incutoff	Pcc539093	oblige	1325	stem	proximity
incutoff	Pcd81b8ea	rosary	1405	stem	proximity
incutoff	Pcea9338c	caller	1425	stem	proximity
incutoff	Pd0ec05a3	bent	1374	stem	proximity
incutoff	Pd3eb05c0	futility	1692	stem	proximity
incutoff	Pd41f8405	pointer	1875	stem	proximity
incutoff	Pd5eac803	revoke	1390	affix	proximity
incutoff	Pd8bcd6eb	adenosine	1909	both	naming
incutoff	Pd9456b15	neutron	1899	affix	naming
incutoff	Pd9c9f773	psychology	1749	stem	proximity
incutoff	Pde56c508	trust	1450	stem	proximity
incutoff	Pdf375fef	gymnasium	1598	stem	proximity
incutoff	Pdfbbfba8	vulnerable	1616	affix	contrast_analogy
incutoff	Pdffcdc2a	wrong	1330	affix	contrast_analogy
incutoff	Pdffe247a	metallic	1563	stem	proximity
incutoff	Pe36189ee	materialist	1702	stem	proximity
incutoff	Pe58f1b7a	guilt	1726	affix	proximity
incutoff	Pe672bbb2	vigil	1250	stem	proximity
incutoff	Pea77461e	radiograph	1880	stem	naming
incutoff	Peb98fd09	rising	1597	both	contrast_analogy
incutoff	Ped460748	psychopathology	1847	stem	proximity
incutoff	Pefab4191	unlike	1387	affix	contrast_analogy
incutoff	Pefeaa939	accord	1393	stem	proximity
incutoff	Pf12200b7	ethos	1675	affix	contrast_analogy
incutoff	Pf15c1405	triglyceride	1860	stem	proximity
incutoff	Pf3b37229	statistics	1882	both	proximity
incutoff	Pf4bfe173	answerable	1565	stem	proximity
incutoff	Pf4ed591f	restitution	1831	affix	naming
incutoff	Pf9a7f950	lucky	1450	stem	proximity
incutoff	Pfde1ea19	masculine	1425	affix	contrast_analogy
incutoff	Pfe2c3445	comical	1475	affix	contrast_analogy
incutoff	Pff520b66	palpable	1395	affix	coordination
incutoff	Pff643324	secondary	1780	affix	contrast_analogy
incutoff	Pffc1c9f7	genetics	1896	both	contrast_analogy
