id,candidates,form_n,meaning_n,theme,notes
S1a73c845,physiognomic · plant · classification · vegetation · arrangement · cultural · vegetational · vegetative · functional · group,,,,
Sfb432fee,oblivion · stupor · anaesthesia · self · the · a · intoxication · sedation · paralysis · sleep,,,,
S7b821c18,american · common · old · species · present · genus · conclusion · true · form · type,,,,
S0f53bf9f,unsafe · secure · dangerous · safe · insecurely · insincere · unsecure · insecure · unstable · insanitary,,,,
S1ce6118b,hypertext · still · e · electronic · an · the · literature · a · derived · not,,,,
S726ae8b2,weather · heaven · fly · a · the · steal · buz · breeze · field · pick,,,,
S153ca4e4,moncy · monéy · for · money · in · pay · dough · than · salary · to,,,,
Se8f1b1c4,the · win · air · sky · breeze · catch · fly · heaven · wind · hunt,,,,
Se3ce8754,let · release · loose · free · unbolt · loosen · unlock · throw · set · open,,,,
S97c7d04b,thinking · object · knower · knowledge · thought · subject · thing · knowable · known · knowing,,,,
S28d27bfd,cause · inhibit · other · increase · accelerate · activate · enzymes · to · hasten · bring,,,,
Se86fa377,called · accessed · used · referenced · requested · manipulated · invoked · passed · looked · referred,,,,
S34266f87,twice · as · round · bald · naked · the · double · out · beautiful · too,,,,
Sf3f3c72c,absorption · self · feeling · sympathetic · inner · emotional · spiritual · sympathy · the · of,,,,
Sca983c0a,suggestion · perception · attention · memory · personality · the · mental · free · apperception · consciousness,,,,
S89b805ee,pulling · give · showing · sag · show · bagging · bulge · sagging · pull · bagginess,,,,
Sc01f7867,thing · illustration · advantage · example · instance · is · institution · site · feature · reason,,,,
S5923fcbf,by · money · and · to · work · in · places · than · posts · salary,,,,
Sf7a67c02,arena · gymnasium · playground · training · gym · exercise · laboratory · or · stadium · field,,,,
S087e54be,raise · endite · guide · enflame · inspire · instruct · enspire · refraine · refine · inspyre,,,,
S0962131f,order · assignment · orders · choice · award · or · grade · group · assignments · and,,,,
Sb2437850,null · busted · as · open · invalid · dead · bust · a · fouled · void,,,,
Se6481267,analogy · the · etymology · phonetics · orthography · phonology · an · a · their · comparative,,,,
S86945678,resolution · consent · determination · conclusion · result · refolution · one · agreement · resolve · opinion,,,,
S661db5a2,weight · measure · recruits · vent · measures · charges · and · charge · justice · play,,,,
S3d71991d,as · pursy · blind · forty · naked · out · deformed · double · bald · fifty,,,,
S3826add8,single · separate · primary · special · different · lymph · local · distinct · proliferation · definite,,,,
Sddc10507,hypothesis · principles · expressions · sentiments · notions · doctrine · sense · opinions · accounts · practice,,,,
S903d0ab7,combination · factory · industry · group · and · which · of · collection · that · in,,,,
S5eb92c94,proceeds · matures · continues · moves · advances · progresses · develops · becomes · goes · enters,,,,
Sf7906e87,lymph · specific · germinal · lymphoid · primary · lymphocyte · cell · different · normal · single,,,,
S5e23d3e3,information · proofs · matter · proof · evidence · arguments · reasons · evidences · testimony · testimonies,,,,
Sabd0d6ef,proceed · begin · keep · start · continue · go · the · do · follow · be,,,,
Sf095da94,clubs · resorts · places · host · rendezvous · companions · companion · customers · entertainers · haunts,,,,
Sfe3d7a1b,resist · cope · oppose · combat · attack · encounter · assail · fight · overthrow · deal,,,,
Se8e1d567,hormone · endocrinous · endocrines · endocrastic · endocrast · endo · entero · endocrine · lymphatic · enterocrine,,,,
S03265afe,geodesy · geology · engineering · sanitary · civil · field · agricultural · economic · meteorology · agriculture,,,,
S7273d8d5,drive · dead · neutral · idle · diesel · driving · dry · direct · driven · derek,,,,
S5c69c4e4,the · his · thy · grace · faith · adam · god · adoption · promise · my,,,,
S4cfda979,helium · krypton · nepentron · proton · nitrogen · nepton · neon · perion · oxygen · the,,,,
Sf0ff7d47,after · historia · by · history · chronology · genealogy · for · genealogie · the · in,,,,
S0294886d,vaccines · finally · the · so · filter · specialized · filters · special · other · disinfectors,,,,
S1306475b,space · ditches · water · valleys · spaces · areas · ground · channels · fields · sea,,,,
S8ccd9919,insanity · neurology · psychology · mental · normal · the · psychiatry · pathology · abnormal · pathological,,,,
Sb657c91f,anti · scanners · more · filters · firewalls · cleaners · so · other · antivirus · others,,,,
Sfe80b4ae,plant · hyphæ · tissue · host · tissues · growing · interior · thallus · midst · organism,,,,
Sb3400836,neurosis · neuro · neurotic · be · a · paralysis · neuralgia · paresis · psychosis · disease,,,,
Sb6820e93,cruel · just · false · un · unjust · dishonest · wicked · wrong · imjust · unfair,,,,
S5a832cd7,positive · neutral · charge · corpuscle · molecule · free · magnetic · proton · material · negative,,,,
S1284615f,sound · flow · stone · gem · fleece · thing · robe · loom · mind · ground,,,,
S585edee5,cholinegic · acetonic · choline · acetylcholine · acetylcholic · acetylcholide · cholic · acetylenic · aceto · acetylcholinic,,,,
S23d9f517,sound · rule · formula · rayleigh · wave · dead · statistical · first · time · room,,,,
S3c3953dc,furrows · ditches · water · ditch · valleys · channels · gutters · spaces · drains · furrow,,,,
S49b858c5,nuclei · chromatin · genes · dna · pairs · cells · tiny · chromosomes · little · identical,,,,
S0fac8dd4,poor · man · stranger · very · merchant · witness · great · good · little · friend,,,,
S7597499a,give · of · are · all · and · appeared · appall · that · appear · ap,,,,
S38b3b54f,dance · of · fashion · city · policy · version · custom · revolution · experiment · or,,,,
Sadb3487d,progresses · goes · nears · is · becomes · continues · advances · reaches · proceeds · approaches,,,,
Sfcf2dfb1,programmes · communication · programme · amplification · transmission · projection · program · radio · distribution · telephony,,,,
Sb6d0fc4a,polyploid · tetraploid · normal · tetrad · monoploid · chromosome · haploid · triploid · somatic · number,,,,
S7cc576b7,diploid · parents · homozygous · corresponding · normal · polyploid · related · parental · respective · tetraploid,,,,
S23e54f1d,hydride · carboxyl · alcohol · hydroxyle · hydroxyl · the · oh · acid · olefiant · hydrogen,,,,
S665a8e6b,usual · somatic · first · reduction · haploid · reduced · second · sex · diploid · number,,,,
Sdad9949d,open · ad · women · man · monopoly · male · woman · principle · advisory · committee,,,,
Sbf5b224f,independent · sex · feminist · quota · films · female · woman · gender · women · film,,,,
S9af5b1fa,tyrosine · methionine · taurine · arginine · l · homocysteine · glycine · tryptophan · glutamate · phenylalanine,,,,
Sf1cc6612,suicide · elimination · death · destruction · killing · t · cancer · cell · immune · cellular,,,,
S9ab5236e,on · all · of · appear · in · that · and · are · ablaze · they,,,,
Sb45e2269,dotted · dead · danger · forward · diagram · fig · delaney · direction · dennison · neutral,,,,
S27404220,a · division · development · analysis · dissection · analogy · simple · reduction · the · successive,,,,
Sb49dc7ce,were · for · no · to · the · in · had · under · there · by,,,,
S5f20b670,ease · be · clear · make · guide · comfort · set · frame · light · lighten,,,,
Sea601124,resist · contain · engage · co · deal · oppose · negotiate · confront · defeat · fight,,,,
S777bb61d,encyclopedia · a · textbook · the · text · usually · not · that · composite · now,,,,
Se6d55fe3,having · possible · potential · such · its · an · a · being · the · in,,,,
Scbb5eda4,sugar · ph · chlorides · the · carbon · from · blood · about · acidity · both,,,,
S121d7cdc,program · scheme · survey · system · programme · health · occupational · approach · plan · study,,,,
Sb717261d,and · from · cysts · walls · but · as · or · membranes · by · in,,,,
Sc8027911,know · want · try · make · run · all · go · have · get · give,,,,
S1177ed0b,melanoses · melanoma · melano · melanomas · melanosis · cancers · sarcomata · melanomata · cancer · melanotic,,,,
S767a3be0,stimulins · lymphogens · lympho · lymphogenic · tissue · general · specific · hormones · lymphogenous · blood,,,,
Sd5fc7fe8,companions · taverns · revels · revelers · songs · hours · company · amusements · places · and,,,,
S9d742b64,proposed · sales · most · best · turnover · sale · transfer · contemplated · desired · purpose,,,,
S676885cc,diffusion · k · or · transport · membrane · rectification · permeability · reversal · conductance · potassium,,,,
S9d241613,differential · transformation · principle · inverse · motion · theory · mechanical · equation · general · theorem,,,,
S13fd9ef1,predicative · lexical · the · thematic · as · clausal · non · grammatical · interrogative · a,,,,
Sa9072b23,community · natural · biosphere · planet · creation · of · ecosystem · earth · living · web,,,,
S7b8dad5f,infidel · ill · ungrateful · informer · old · honest · english · impostor · atheist · enemy,,,,
S80db2123,part · trustworthy · privy · a · having · security · potential · any · being · an,,,,
S104dd1d2,cartography · geography · geographical · hydrology · soils · geology · climatology · botany · historical · political,,,,
S0a5a6535,neon · hydrogen · vice · other · oxygen · methane · then · of · helium · the,,,,
S32fdc3f9,on · or · figure · and · plate · see · which · fig · in · the,,,,
S0b9c8b92,checkpoint · cytokines · immune · cd · adjuvants · agonists · antibodies · t · costimulatory · co,,,,
S4e6a1d7b,reproduction · transmission · phonography · transatlantic · recording · transcription · record · transference · broadcasting · sound,,,,
S75c8e2de,glycerol · trihydric · triacetin · glycerides · glycero · triglycerides · glycerin · tri · glyceryl · esters,,,,
S5c241ea4,doses · allowance · as · returns · draughts · measure · measures · drams · dishes · drinks,,,,
S99fd26ba,subversionem · subjecta · subiecta · subversa · subversio · subvertere · subiectio · sub · subjectio · subvertebunt,,,,
Sd0a2e01d,acid · uric · lithæmia · acidosis · uremia · acute · auto · hyperthyroidism · diabetes · autointoxication,,,,
S740f906b,paraffins · glycerides · trihydroxy · glyceryl · tri · trihydric · esters · triglycerides · fats · triacid,,,,
Sddb8af0e,nucleus · positive · negative · cathode · molecule · neutron · molecular · neutral · monad · corpuscle,,,,
S04d6bb53,disorderly · difficult · intricate · obscure · full · confused · double · perplexed · ambiguous · hard,,,,
Se6efb209,trial · purpose · working · possible · model · substitution · special · substitutive · substitute · key,,,,
S859fc1cd,appeal · may · meet · retail · can · find · go · have · sell · are,,,,
Sea60cf08,of · intuitive · emotional · subjective · aesthetic · feeling · identification · imaginative · empathy · the,,,,
Se8348662,cloth · ground · stone · loom · mount · thread · strand · sound · crown · mound,,,,
S20e437b2,double · negron · non · positive · neutral · free · pair · negative · neutron · proton,,,,
S9d07eb93,fore · royal · brow · horns · maiden · horn · pair · beard · frontal · spiral,,,,
S7d02fe68,the · a · testing · an · each · inspection · approval · this · further · examination,,,,
Scdf6fbb1,sliding · old · trouble · pulling · slick · getting · catch · slip · get · a,,,,
Sc1108356,homologue · affinity · homœology · homceosis · homoeosis · homologv · homalogy · homology · homoiosis · homolog,,,,
Sa29ae73c,bases · products · of · cystine · derivatives · leucin · bodies · group · guanidine · nitrogen,,,,
Sa211d03e,inertia · continuity · an · mass · spatial · dynamic · self · the · causal · a,,,,
S388aeaae,munition · national · defense · form · strategic · weapon · munitions · defence · dual · military,,,,
S8936c592,sua · que · per · et · quæ · in · mundi · super · quae · regna,,,,
S17af83d0,lymphokinase · lymphagogues · lymphokine · lymphokines · lytic · antibodies · intermediary · lysins · lymphogens · lymph,,,,
Scfe08cdf,abnormal · psychology · psychopathology · psychiatry · pathology · clinical · mental · medical · psychiatric · the,,,,
S8330c3b6,battle · killing · theatres · desert · hitting · theatre · mission · frontline · kill · boots,,,,
S3f108750,upper · suprastructure · intrastructure · structure · outcrop · overstructure · super · extrastructure · superstructure · infrastructure,,,,
S5bfdc47b,the · homonymy · similarity · identity · analogy · morphology · similitude · correspondence · analogism · homology,,,,
S2607ec28,passively · practically · or · experimentally · in · actively · and · of · inductively · objectively,,,,
Sd54d3bb6,and · photographer · interpreter · staff · air · man · pilot · photographic · specialist · officer,,,,
Seea088ad,problem · series · model · variation · special · set · system · method · direct · routine,,,,
S45540e9a,patriarch · good · old · general · man · ole · colonel · chief · ol · boss,,,,
S07443450,british · as · by · from · in · history · here · of · the · brute,,,,
S95ac0ba3,psychosis · functional · pathological · neuropsychosis · neuro · neurasthenia · hysteria · neuralgia · disease · neurosis,,,,
Sf6b6118a,source · part · kind · social · protective · detective · reactive · sort · check · police,,,,
Sf2e097de,enter · move · go · slide · be · get · easily · penetrate · have · reach,,,,
S4295044e,liberate · unlock · unlocked · lock · open · let · unloek · un · release · unloose,,,,
Se13937c9,very · putten · put · fairly · as · quite · a · up · well · fair,,,,
S54c21e00,what · know · knowledge · knowable · knowing · unknown · known · object · thing · being,,,,
S2211fe53,heavier · lithium · other · helium · then · carbon · oxygen · of · the · vice,,,,
S1f9e51b5,muscles · training · and · faculties · powers · muscle · energies · discipline · energy · exercises,,,,
S4392b772,psycho · psychical · hysteria · psychoses · the · insanity · psychic · psychosis · instinct · neurosis,,,,
S80099fde,is · principal · also · glycerides · primary · their · shown · well · the · chief,,,,
S34ce178d,faith · the · grace · mercie · adoption · death · election · sinne · his · wrath,,,,
Sf619f196,psychopathology · psychology · insanity · abnormal · mental · psychiatry · clinical · normal · the · medicine,,,,
S9b563196,or · of · precursors · products · groups · molecule · nitrogen · group · and · compounds,,,,
S6a0a28a9,cndocrine · endocrine · mesocrine · e · endocnne · endo · indocrine · enocrine · endeocrine · enclocrine,,,,
S66f917db,ordering · disintegration · disassociation · dispersal · decomposition · regroupment · arrangement · ordination · regrouping · distribution,,,,
S03c778d7,rule · loudest · worst · statistical · dead · room · noiseless · formula · damped · dynamical,,,,
Sffaa2d84,their · relationality · a · the · relations · properties · causal · functional · self · relational,,,,
S7fd33ea7,unrighteous · wicked · un · unfair · false · cruel · dishonest · oppressive · unjust · wrong,,,,
S51c10cae,man · observer · american · worker · person · air · interpreter · photographer · airman · and,,,,
Sbaa2a430,each · every · this · any · such · all · a · certificates · several · the,,,,
Sae64feaa,member · little · great · man · living · poor · married · judge · gentleman · very,,,,
S733ebcb1,practically · empirically · with · of · inductively · through · or · and · sensuously · in,,,,
S7ec75b06,horns · horn · branch · brocket · broches · beam · first · spike · brow · velvet,,,,
Sac16cc4a,hydrate · hydrogen · proton · hydronium · hydroxide · oh · hydroxyl · hydrated · oxide · oxygen,,,,
Sbdc516f2,and · thing · change · instance · is · site · reason · class · cause · fact,,,,
S7ad50e0b,one · belt · basement · zone · structure · regional · facies · infrastructure · core · metamorphic,,,,
Sa701274d,group · single · pre · normal · different · lymphoid · lymph · definite · lymphatic · specific,,,,
Sf2c67218,crop · number · given · particular · weed · variety · species · certain · plant · specific,,,,
Sb1ca0c9b,unto · as · and · into · every · for · at · by · to · in,,,,
S385be82b,sinne · sin · the · loue · clay · flesh · my · earth · faith · grace,,,,
S0ff58966,in · lysogenesis · positive · phagocytosis · lysogenic · irradiation · by · the · a · photodynamic,,,,
S82849ecc,bulges · plumber · riding · unflattering · disclosing · camel · plumbers · transparency · puckering · marilyn,,,,
Sc577a7e3,reality · truth · object · knowing · being · thought · unknown · known · knower · thing,,,,
Scd7786cf,conclusion · kesolution · agreement · determination · resolve · resolu · result · resolution · opinion · and,,,,
S355b1566,transformation · phage · lysis · lysogenic · uv · bacterial · the · transduction · ultraviolet · lytic,,,,
S1ee54acd,hydrogen · of · neon · argon · in · vice · for · the · helium · radium,,,,
S2bdc8bd9,ass · idle · old · impostor · idiot · assassin · ungrateful · ill · incendiary · usurper,,,,
Sb4fe2dad,interpretation · opinion · opinions · conceit · hypothesis · doctrine · rules · conceits · notions · principles,,,,
S181ff336,plant · living · hyphæ · tissue · mycelium · host · cells · fungus · organism · tissues,,,,
S806ee1fd,truth · conclusion · the · hypothesis · a · fact · supposition · assumption · inference · probability,,,,
S6a949887,the · use · follow · pursue · proceed · carry · do · be · go · start,,,,
S092cdd2a,similar · are · destroy · catalyze · otherwise · accelerate · other · promote · increase · the,,,,
Sf9d9895e,sandwich · consortium · development · patchwork · alliance · conglomerate · company · ecosystem · cocktail · stack,,,,
S419efce8,earthquake · for · in · city · over · to · revolution · or · and · of,,,,
Sa3a4ccfd,infrastructure · rock · structure · complex · amphibolite · series · facies · zone · formation · schist,,,,
S43d3c8e4,thrombus · thrombosis · it · this · coagulation · the · thrombi · cardiac · obstruction · venous,,,,
S500a6052,collar · white · old · shoulder · neck · one · arm · and · knee · cold,,,,
S752bded6,its · supposition · conclusion · a · the · inference · assertion · consequent · fact · hypothesis,,,,
S5192b8b3,purchase · business · conversion · purpose · sale · exchange · transfer · desired · change · sales,,,,
Scec4f1af,had · the · attention · some · rehousing · supervision · were · removal · no · a,,,,
S11ffe0a1,serotonin · the · dopamine · an · cortisol · brain · a · beta · gamma · neurotransmitters,,,,
S4bbb8e29,muscles · arena · exercise · athletics · athletes · gymnastics · training · muscle · gymnasium · athlete,,,,
Sb8c1d3d6,fatty · also · well · their · glycerides · free · glyceride · shown · has · the,,,,
S02aad331,earthquake · version · v · style · wave · stand · city · dance · two · soccer,,,,
S8ceb0115,sympathy · consciousness · of · with · even · personality · personal · self · the · intuition,,,,
S9472d3db,come · get · know · move · leave · run · go · show · make · answer,,,,
Sbf6b8c64,citizens · responsible · persons · the · fit · a · of · being · having · human,,,,
S11cc5c1d,specialist · officer · interpreter · and · staff · photographic · air · observer · british · man,,,,
S45c79949,for · synthesis · and · in · since · enzyme · as · from · synthesizing · because,,,,
Sf87791d1,molecular · pair · dyad · molecule · neutral · negative · positive · unit · mole · polar,,,,
Sb01426f6,always · not · sniff · know · have · smell · throw · be · get · send,,,,
S558f5d4d,lithion · metron · the · hepton · lithon · argon · helium · proton · electron · protron,,,,
Sdf7bb7e3,catch · lure · fly · stoop · heaven · soar · my · sun · the · a,,,,
Sb2e1046a,upright · line · tail · vertical · stroke · stem · horizontal · cross · shaft · top,,,,
Sf025c3d7,have · know · fight · call · want · try · even · need · seem · get,,,,
S63c57a52,qualities · time · a · qualitative · spatial · relations · their · specific · space · the,,,,
S78d3dac7,not · dictionary · a · the · an · bibliography · journalism · editorial · that · composite,,,,
Saff7f9e6,networked · reunion · intervention · social · networks · family · reconnecting · network · networking · referral,,,,
S43d77235,the · as · demonstrative · emphatic · enclitic · interrogative · a · pronominal · proclitic · formative,,,,
S280cf6a7,pion · its · alpha · muon · meson · pi · proton · positron · electron · the,,,,
Sec8c4e5a,open · key · bar · unbolt · shut · unlocked · unfasten · let · bolt · unlock,,,,
Se0f47df5,discussion · study · system · scheme · treatise · course · treatment · survey · plan · and,,,,
Sfdef9d28,jolly · well · quite · taken · awfully · damned · fairly · extant · smashing · dead,,,,
S94ef45bf,horizontal · following · tail · cross · stem · line · vertical · h · i · letter,,,,
S60ad360f,will · retail · fold · can · seat · may · have · are · sell · is,,,,
S3095ef01,cholino · cholinergic · cholingeric · cholinoid · ach · peptidergic · nicotinic · neuromuscular · achergic · muscarinic,,,,
Sa10beae6,evidences · evidence · testimony · proofe · proofes · proof · proofs · matter · arguments · testimonies,,,,
Safe4fb47,antecedent · hypothesis · consequent · premise · the · a · condition · event · conditional · conclusion,,,,
Sa09634c3,a · examination · final · all · further · the · each · any · verification · this,,,,
S7a9c6c5b,principal · also · constituents · major · their · the · shown · well · follows · a,,,,
S16e2c500,nature · reach · views · thoughts · kind · sway · sight · range · aims · aim,,,,
S89141bda,decline · loss · displacement · replacement · gradual · use · demise · being · marginalization · eclipse,,,,
S61cf2f76,triesters · fats · trihydric · triglycerides · oils · tri · fatty · esters · glycosides · glycerides,,,,
S49347452,otherwise · degrade · inhibit · which · other · are · prevent · cause · interfere · restrict,,,,
Sd6fe0921,chologenic · acetylcholic · acetoergic · acetenergic · acetylergic · cholinergic · acetolergic · choline · cholineergic · acetylenergic,,,,
S27591109,biosynthetic · synthase · dehydrogenase · biosynthesis · synthesis · dehydratase · synthetase · deaminase · synthetic · kinase,,,,
S071d7506,water · the · nitrogen · specific · sugar · blood · ammonia · iodine · phosphorus · both,,,,
S11c39db6,conductance · variation · damping · fall · discharge · in · polarisation · conduction · conductivity · conduc,,,,
S8a756c71,search · connect · scan · do · attack · download · go · perform · send · install,,,,
S335aaa92,course · river · stream · ti · ride · current · tide · tid · tides · flood,,,,
Sa61455ac,mates · corresponding · full · diploid · normally · non · haploid · parents · normal · respective,,,,
Se50fa1e7,shot · dose · vaccination · doses · pfizer · jab · vaccine · shots · covid · moderna,,,,
S67b89a69,glossology · onomatology · etymology · analogy · philology · the · a · glottology · an · analogia,,,,
Sfe7dfdaa,wordes · hote · violence · woodnes · fervent · brennynge · feruent · wood · woodnesse · woode,,,,
Sfccc45e4,special · chemical · disinfectors · filters · other · finally · disinfectants · the · filter · so,,,,
S3bb2806e,therapeutic · attack · injections · attacks · and · treatments · doses · treatment · x · radiation,,,,
Seed11936,interpretations · version · statement · teachings · statements · teaching · explanations · doctrines · interpretation · explanation,,,,
Se8c1a284,reduced · gametoid · gamete · half · gametic · haploid · haploicl · reduction · somatic · number,,,,
Sdd3a67c3,survey · industrial · investigation · course · analysis · scheme · study · program · discussion · plan,,,,
Seab97085,checked · reviewed · studied · analyzed · considered · followed · passed · used · dealt · handled,,,,
S5429b0b0,obscur · perplexing · ambiguous · intricate · dark · obscure · perplexed · confused · difficult · full,,,,
S8edf14e8,subvertit · in · subvertens · subvertet · subuertit · euertendo · subuertens · comminuens · confringens · subuertet,,,,
S6a886b7f,concern · thing · option · reason · way · site · problem · issue · common · example,,,,
S6cfa4b1b,thrombosis · it · thrombus · inflammation · coagulation · thrombi · embolism · the · this · venous,,,,
Sf7b4218a,appearance · sign · configuration · features · reaction · phenomenon · type · bodies · pattern · structure,,,,
S3317ed42,evidences · proofs · evi · arguments · testimony · proof · reasons · testimonies · matter · evidence,,,,
Sb0c6846e,vegetation · factor · order · organization · fac · analysis · vegetational · distribution · description · arrangement,,,,
S2d6d4e87,thing · observed · hearer · subject · observer · reader · sufferer · spectator · object · person,,,,
S025a5ad7,of · world · body · universe · social · planet · human · state · earth · cosmos,,,,
Sd5c1ccec,cosmos · realm · cosmic · universe · social · creation · world · of · natural · organic,,,,
S238cf0bd,picture · bodies · type · appearance · findings · sign · reaction · blood · characteristics · granuloma,,,,
S65d48f3d,cells · bodies · chromatin · chromosomes · minute · little · corpuscles · units · small · granules,,,,
Sddab5989,true · development · genus · next · typical · american · european · type · more · condition,,,,
S7dff15a6,particular · weeds · wild · pest · noxious · certain · species · good · plant · weed,,,,
S5cc96582,for · because · synthesis · since · synthesizer · system · enzyme · from · and · in,,,,
Sde2c4f47,intestinal · glandular · ductless · inland · endings · intra · endo · endocrine · intermediaries · specialised,,,,
S18b95963,in · faint · made · like · without · doubled · round · covered · as · burst,,,,
Secc685cd,effect · change · make · switch · unlock · the · get · do · such · accomplish,,,,
Se261fccd,personality · a · transfer · the · habit · instinct · unconscious · intelligence · consciousness · mental,,,,
S7da84c39,governor · big · old · colonel · boss · chief · major · little · general · captain,,,,
S43011351,but · cysts · or · in · and · bodies · compounds · walls · wall · from,,,,
Sd2c321b4,son · little · sister · own · old · mother · father · uncle · self · wife,,,,
Scc6e68bb,furrows · ditches · channels · trenches · drain · fur · water · gutters · drains · furrow,,,,
Sdf8c98df,little · good · kind · colonel · major · man · old · dear · captain · general,,,,
S866ba82e,commodity · munition · monopoly · military · public · form · war · secret · dangerous · contraband,,,,
Sce1b18a9,system · of · to · with · which · for · that · combination · in · and,,,,
S25aa22a8,development · kangaroo · formation · ancestral · form · true · human · ape · genus · condition,,,,
S859aed48,around · where · within · and · so · on · o · of · about · how,,,,
S10ea152b,doctrine · words · interpretations · authority · opinions · opinion · principles · interpretation · testimony · sense,,,,
Sca1cf5d5,capsules · or · in · microfibrils · shells · and · walls · wall · within · but,,,,
S3fa37280,rouse · raise · solace · kindle · stirre · quicken · beare · inspire · guide · devise,,,,
Sd6411b82,hydrogen · hydroxy · oh · hydryl · hydroxyle · the · hydroxide · hydroxyl · a · hydrozyl,,,,
Sfe7fef41,deo · patre · nobis · multis · quibus · domino · quibusdam · qua · quo · principio,,,,
S6eb43eb1,medicine · manufactured · narcotic · medicinal · manufacture · drug · dangerous · chemical · product · noxious,,,,
S7558781d,orthography · phonology · onomastics · etymology · analogia · graphology · morphology · the · analogy · onomatology,,,,
Scc53373b,kind · type · preventive · catalyst · source · proactive · sort · social · pro · form,,,,
Se872ebc9,title · deo · grace · small · domino · gracia · very · large · book · gratia,,,,
Scdc45284,interrogative · independent · the · accusative · synthetic · syntactical · as · final · temporal · adverbial,,,,
Sd101a80c,acid · cyclic · the · acidemia · gout · lithemia · renal · acidosis · ketosis · alkalosis,,,,
Sf0405614,dealt · passed · sought · referred · handled · worked · considered · called · sent · used,,,,
S319fbd7f,full · indistinct · ambiguous · intricate · obscure · imperfect · inarticulate · barbarous · mixt · hard,,,,
Se96b2880,as · upon · in · attitude · form · stature · posture · position · carriage · on,,,,
Scb9dc14f,vnto · unto · toward · to · as · for · which · in · towardes · towards,,,,
Sfa234ca5,neoplasms · melanomata · melanotic · carcinomata · growths · tu · melanoma · sarcomata · tumours · melanomas,,,,
Sf4731868,lie · pass · touch · project · appear · fall · come · be · not · enter,,,,
S3b4e2ae3,sister · heterozygotes · mother · parent · parents · sisters · normally · sporophytes · more · normal,,,,
S24c5b51b,common · single · bad · pest · species · plant · noxious · weed · certain · particular,,,,
S566c48d5,insecure · dangerous · unstable · unsecure · in · exposed · secure · unsafe · insecures · precarious,,,,
