id,kind,target_word,year,grade,domain,stem_donors,affix_donors,donor_distance,locality,ending_types,ending_rarity
Pfc0f67ae,control-post-unscaffolded,formalism,1934,NONE,everyday,,,-1,none,52,n/a
Pd522aaf2,scaffolded-post,function,1946,AFFIX,everyday,,concatenation|implementation|integration,5,<=5,1257,very-common
Pfda8af3d,scaffolded-post,institutional,1958,STEM,everyday,institutions,,5,<=5,47,n/a
Pbfa0aece,control-post-unscaffolded,apple,1943,NONE,everyday,,,-1,none,30,n/a
Pc1cedf15,scaffolded-post,upside,1961,AFFIX,everyday,,downside,4,<=5,50,common
P5f387a58,scaffolded-post,superstructure,1937,STEM+AFFIX,everyday,infrastructure,infrastructure,7,6-15,209,n/a
P2416843c,control-post-unscaffolded,red,1940,NONE,everyday,,,-1,none,0,n/a
P320bb463,scaffolded-post,wave,1984,STEM,everyday,have,,14,6-15,0,n/a
P1496ae20,scaffolded-post,reactance,1966,STEM,everyday,acting,,13,6-15,189,n/a
Pcf4ade1a,scaffolded-post,southern,1935,STEM+AFFIX,everyday,northern,northern,2,<=5,5,n/a
Pc73a4c0e,scaffolded-post,observable,1932,STEM,everyday,observations,,8,6-15,212,n/a
P9ff433f6,scaffolded-post,ribosome,1958,STEM,everyday,chromosomes,,18,>15,5,n/a
P8efcaa15,scaffolded-post,western,1981,STEM,everyday,northern|southern,,13,6-15,29,n/a
P545495aa,scaffolded-post,mainland,1980,STEM+AFFIX,everyday,ireland,ireland,17,>15,38,n/a
Pe5fe1b43,scaffolded-post,transition,1941,STEM,everyday,transgender,,16,>15,1257,n/a
P303fe9ad,scaffolded-post,output,1961,STEM,everyday,input,,8,6-15,6,n/a
P2791a3d6,scaffolded-post,proposal,1932,AFFIX,everyday,,supposal,5,<=5,5,rare
P5cc0a0c5,scaffolded-post,polishing,1938,AFFIX,everyday,,roughing,5,<=5,90,common
Pb329b799,control-post-unscaffolded,printer,1946,NONE,everyday,,,-1,none,49,n/a
P781bf741,control-post-unscaffolded,bust,1937,NONE,everyday,,,-1,none,0,n/a
P99fe05e0,control-post-unscaffolded,binary,1949,NONE,everyday,,,-1,none,41,n/a
Pebd9cfa7,scaffolded-post,attrition,1935,AFFIX,everyday,,colonization,11,6-15,1257,very-common
Pdd60024f,scaffolded-post,medicine,1966,STEM,everyday,medical,,12,6-15,15,n/a
P47025f04,scaffolded-post,wave,1984,STEM,everyday,have,,8,6-15,0,n/a
P274e82a0,control-post-unscaffolded,utility,1945,NONE,everyday,,,-1,none,152,n/a
P010c4763,scaffolded-post,transcription,1961,AFFIX,everyday,,reduction,32,>15,1257,very-common
P72a29d2e,control-post-unscaffolded,analogue,1986,NONE,everyday,,,-1,none,23,n/a
Pd078b626,control-post-unscaffolded,net,1972,NONE,everyday,,,-1,none,0,n/a
P893098e4,scaffolded-post,proactive,1951,STEM+AFFIX,everyday,reactive,initiative|reactive,8,6-15,190,n/a
Pce9256b6,scaffolded-post,junction,1949,AFFIX,everyday,,transition,12,6-15,1257,very-common
P6506069e,scaffolded-post,plating,1937,AFFIX,everyday,,knitting,4,<=5,184,very-common
Pd8e72ccc,scaffolded-post,converter,1953,STEM,everyday,convert,,19,>15,83,n/a
P73fba1af,scaffolded-post,mother,1934,STEM+AFFIX,everyday,other,other,14,6-15,82,n/a
P56ca09b3,scaffolded-post,competence,1964,AFFIX,everyday,,sentence,18,>15,238,very-common
P6ed139ea,scaffolded-post,operation,1938,AFFIX,everyday,,application|locution,1,<=5,1257,very-common
P3b3d796b,scaffolded-post,unlock,1996,STEM+AFFIX,everyday,lock,lock,30,>15,53,n/a
P080a7836,scaffolded-post,trustee,1945,STEM,everyday,trust,,13,6-15,6,n/a
P1a799647,scaffolded-post,clearance,1944,STEM,everyday,clearing,,4,<=5,189,n/a
P237c9f67,scaffolded-post,lame,1972,STEM,everyday,game,,8,6-15,0,n/a
Pc45f4be9,scaffolded-post,computation,1953,STEM,everyday,computers,,15,6-15,1257,n/a
P92633a0d,control-post-unscaffolded,skeletal,1932,NONE,everyday,,,-1,none,17,n/a
P9f59c30d,control-post-unscaffolded,junk,1986,NONE,everyday,,,-1,none,0,n/a
P21d2bd7c,control-post-unscaffolded,tablet,2002,NONE,everyday,,,-1,none,11,n/a
P3699c9c5,control-post-unscaffolded,shit,1945,NONE,everyday,,,-1,none,0,n/a
P545d312b,scaffolded-post,singlet,1937,STEM,everyday,doublet|triplet,,22,>15,3,n/a
P4c69a28f,scaffolded-post,trainer,1945,STEM,everyday,training,,27,>15,31,n/a
P60e75ce9,scaffolded-post,initialization,1957,AFFIX,everyday,,information|section,8,6-15,1257,very-common
P4e52bcf6,scaffolded-post,quantization,1947,STEM,everyday,quantizing,,16,>15,1257,n/a
Paec70ecc,scaffolded-post,ambient,1978,STEM,everyday,ambience,,27,>15,65,n/a
P980e4cc7,scaffolded-post,word,1946,STEM,everyday,work,,3,<=5,0,n/a
P2c5deee2,scaffolded-post,ancillary,1963,STEM,everyday,ancillaries,,29,>15,11,n/a
Pc6af7a74,scaffolded-post,pretrial,1946,STEM,everyday,trials,,2,<=5,43,n/a
Pb6afd368,scaffolded-post,projected,1932,AFFIX,everyday,,expected,14,6-15,18,rare
P47691910,control-post-unscaffolded,moist,1958,NONE,everyday,,,-1,none,8,n/a
Pb5e2820c,control-post-unscaffolded,cartridge,1941,NONE,everyday,,,-1,none,23,n/a
P06022bc9,scaffolded-post,relation,1968,STEM+AFFIX,everyday,creation,creation,3,<=5,1257,n/a
P9f0f1df2,control-post-unscaffolded,saturation,1946,NONE,everyday,,,-1,none,1257,n/a
P948dc0e4,scaffolded-post,transcription,1932,STEM+AFFIX,everyday,transmitters,circulation|station,13,6-15,1257,n/a
P55c72532,scaffolded-post,neutralization,1971,AFFIX,everyday,,assassination,20,>15,1257,very-common
P2b5bbf6a,scaffolded-post,cytokine,1974,STEM+AFFIX,technical,lymphokine,lymphokine,16,>15,2,n/a
P350750c5,scaffolded-post,right,1939,AFFIX,everyday,,tonight,4,<=5,266,very-common
Pead4515f,scaffolded-post,keep,1956,STEM,everyday,keen,,7,6-15,0,n/a
P26d167d7,scaffolded-post,download,1962,STEM,everyday,overloaded,,5,<=5,21,n/a
P706ac53c,scaffolded-post,nanotube,1992,STEM,everyday,nanometre,,15,6-15,1,n/a
Pa534ebcc,scaffolded-post,sociable,1964,AFFIX,everyday,,amicable,8,6-15,212,very-common
Pb87aeea9,scaffolded-post,emulate,1965,STEM,everyday,emulator,,29,>15,119,n/a
P0a584747,control-post-unscaffolded,robust,1971,NONE,everyday,,,-1,none,10,n/a
Pa62a3041,scaffolded-post,exciton,1936,STEM,everyday,excited,,16,>15,1,n/a
P5e40e9c0,scaffolded-post,formulation,1958,AFFIX,everyday,,preparation,23,>15,1257,very-common
P30cf5c54,scaffolded-post,synthase,1954,STEM,technical,synthesizing,,9,6-15,31,n/a
Pf9006664,scaffolded-post,internet,1974,STEM,everyday,networks,,14,6-15,2,n/a
P9981dd2f,control-post-unscaffolded,one-to-one,1983,NONE,everyday,,,-1,none,3,n/a
P4ef952a3,scaffolded-post,lash,1941,STEM,everyday,last,,24,>15,0,n/a
P5d9db572,scaffolded-post,miner,2011,STEM,everyday,mining,,6,6-15,31,n/a
P96e27297,scaffolded-post,positron,1933,AFFIX,technical,,neutron,2,<=5,20,rare
P628763a9,scaffolded-post,predation,1958,STEM+AFFIX,everyday,predatory,presumption,2,<=5,1257,n/a
Pabefcd50,scaffolded-post,discordant,1932,STEM+AFFIX,everyday,concordant,concordant,27,>15,16,n/a
P9274320a,scaffolded-post,penetrate,1953,STEM,everyday,penetration,,32,>15,76,n/a
P6fc52f79,scaffolded-post,extension,1934,STEM,everyday,extended,,32,>15,272,n/a
Pb0b19fe3,scaffolded-post,recruitment,1937,AFFIX,everyday,,displacement,7,6-15,254,very-common
P82835c83,control-post-unscaffolded,yellow,1975,NONE,everyday,,,-1,none,90,n/a
Pd5b2d245,scaffolded-post,mainland,1980,STEM+AFFIX,everyday,ireland,ireland,19,>15,38,n/a
P7607d5de,scaffolded-post,micelle,1934,STEM,everyday,micellar,,3,<=5,4,n/a
P0ed378ad,scaffolded-post,signifier,1956,STEM,everyday,signifying,,13,6-15,4,n/a
P3d0eb700,scaffolded-post,hypertext,1965,STEM+AFFIX,everyday,text,text,33,>15,3,n/a
P32691ed7,scaffolded-post,induction,1951,AFFIX,everyday,,irradiation|proportion,9,6-15,1257,very-common
P3a3ed591,control-post-unscaffolded,back,1976,NONE,everyday,,,-1,none,0,n/a
Pa0106f7b,control-post-unscaffolded,sit,1964,NONE,everyday,,,-1,none,0,n/a
Pd01879ff,scaffolded-post,frontman,1956,STEM,everyday,letterman,,12,6-15,5,n/a
P425c5451,scaffolded-post,marginalization,1940,AFFIX,everyday,,assimilation|position,2,<=5,1257,very-common
Pb06f6542,scaffolded-post,positive,1975,AFFIX,everyday,,distinctive,17,>15,190,very-common
Pe92dba00,scaffolded-post,catcher,1967,AFFIX,everyday,,pitcher,3,<=5,36,common
P50c41d84,scaffolded-post,thematic,1957,STEM+AFFIX,everyday,rhematic,rhematic,3,<=5,47,n/a
P1d8c5abf,control-post-unscaffolded,overcome,1948,NONE,everyday,,,-1,none,8,n/a
Pb6180a4c,scaffolded-post,termination,1934,AFFIX,everyday,,recognition,7,6-15,1257,very-common
P037bde1c,scaffolded-post,annotation,1982,AFFIX,everyday,,localization|representation,13,6-15,1257,very-common
P2c9cf5f5,scaffolded-post,synthase,1954,STEM,technical,synthesis,,11,6-15,31,n/a
Pc4638ede,scaffolded-post,target,1964,STEM,everyday,large,,13,6-15,5,n/a
Pc26f3f2f,scaffolded-post,colonization,1950,AFFIX,everyday,,experimentation,17,>15,1257,very-common
P644d4e09,scaffolded-post,open-ended,1944,AFFIX,everyday,,tended,12,6-15,10,rare
P433b2cfa,scaffolded-post,nonsense,1961,STEM+AFFIX,everyday,sense,sense,4,<=5,51,n/a
Pbd4216e5,scaffolded-post,compliance,1934,STEM+AFFIX,everyday,capacitance|inductance,capacitance|inductance,2,<=5,189,n/a
Pf4e7d2ca,control-post-unscaffolded,breakthrough,1945,NONE,everyday,,,-1,none,57,n/a
P698271a2,scaffolded-post,munition,1962,AFFIX,everyday,,encryption,19,>15,1257,very-common
P56c4ca64,scaffolded-post,cope,1934,STEM,everyday,come,,2,<=5,0,n/a
P3f8b160f,scaffolded-post,subroutine,1946,STEM+AFFIX,technical,routine|routines|substitution,routine,2,<=5,7,n/a
P4e274757,scaffolded-post,stressor,1950,STEM,everyday,stress,,14,6-15,15,n/a
P02b957a7,scaffolded-post,preference,1945,STEM,everyday,prefers,,11,6-15,238,n/a
P3e7050bf,scaffolded-post,biotechnology,1933,STEM+AFFIX,technical,physiology,physiology,11,6-15,56,n/a
P8b456c33,scaffolded-post,statutory,1937,STEM,everyday,advisory,,25,>15,57,n/a
P98440077,scaffolded-post,training,1959,STEM,everyday,trainer,,19,>15,147,n/a
P86851d99,scaffolded-post,thing,2000,STEM,everyday,think,,22,>15,90,n/a
Pa1b8cec7,scaffolded-post,prospective,1954,STEM+AFFIX,everyday,retrospective,retrospective,47,>15,190,n/a
P88228aa8,control-post-unscaffolded,seasonally,1937,NONE,everyday,,,-1,none,95,n/a
Pde1d3ef5,scaffolded-post,mailbox,1971,STEM,everyday,mail,,3,<=5,2,n/a
P6520d4c2,scaffolded-post,necrosis,1953,STEM+AFFIX,technical,narcosis,narcosis,2,<=5,19,n/a
P3edc491c,scaffolded-post,narration,1933,AFFIX,everyday,,presentation,12,6-15,1257,very-common
P3b549831,control-post-unscaffolded,breakout,1961,NONE,everyday,,,-1,none,10,n/a
P10bed60a,scaffolded-post,rest,1932,STEM,everyday,west,,3,<=5,0,n/a
Pbc4608e4,scaffolded-post,knob,1935,STEM,everyday,know,,6,6-15,0,n/a
Pcefcd7ce,control-post-unscaffolded,smoke,1933,NONE,everyday,,,-1,none,24,n/a
P2781e775,scaffolded-post,electronics,1948,STEM,everyday,electromagnetic,,17,>15,3,n/a
P79427529,control-post-unscaffolded,main,1987,NONE,everyday,,,-1,none,0,n/a
P5310e83a,scaffolded-post,networking,1976,STEM,everyday,network,,12,6-15,81,n/a
Pb98f5524,scaffolded-post,lawfully,1959,STEM,everyday,lawfulness|laws,,3,<=5,13,n/a
Pd4f14769,scaffolded-post,polymerase,1948,STEM,technical,increase|nucleases,,2,<=5,6,n/a
Pde3ccff7,scaffolded-post,hysteresis,1933,STEM+AFFIX,everyday,hypothesis,hypothesis,31,>15,17,n/a
Pc75f8c87,control-post-unscaffolded,block,1936,NONE,everyday,,,-1,none,53,n/a
Paa96e90e,scaffolded-post,touchdown,1935,AFFIX,everyday,,letdown,3,<=5,3,rare
P11741f7c,scaffolded-post,peripheral,1962,AFFIX,everyday,,several,12,6-15,63,common
Pf384f174,scaffolded-post,reception,1985,AFFIX,everyday,,congregation,15,6-15,1257,very-common
P4b7c1edd,control-post-unscaffolded,include,1934,NONE,everyday,,,-1,none,11,n/a
Pe2b6375b,scaffolded-post,moderne,1952,STEM,everyday,modern,,3,<=5,2,n/a
Pdd049335,scaffolded-post,seating,1960,AFFIX,everyday,,fitting,9,6-15,184,very-common
P4bcfa1cf,scaffolded-post,aerospace,1959,STEM+AFFIX,everyday,hydrospace,hydrospace,8,6-15,66,n/a
Pa3dc1461,control-post-unscaffolded,trip,1966,NONE,everyday,,,-1,none,0,n/a
P56a96d04,scaffolded-post,southern,1935,STEM,everyday,south,,7,6-15,5,n/a
P059bd329,scaffolded-post,positron,1933,STEM+AFFIX,technical,electron,electron,5,<=5,20,n/a
Paea7f2b8,control-post-unscaffolded,draw,1976,NONE,everyday,,,-1,none,0,n/a
P503bfc31,scaffolded-post,franchisee,1956,STEM,everyday,franchises,,23,>15,1,n/a
Pf244e622,scaffolded-post,salience,1938,AFFIX,everyday,,difference,17,>15,238,very-common
P0807b3d6,scaffolded-post,rally,1950,AFFIX,everyday,,really,3,<=5,95,common
Pb5d4fc96,control-post-unscaffolded,button,1981,NONE,everyday,,,-1,none,31,n/a
P535e252d,scaffolded-post,basic,1933,STEM,everyday,based,,4,<=5,4,n/a
P04d9ef48,control-post-unscaffolded,trip,1959,NONE,everyday,,,-1,none,0,n/a
Pfe6bd4af,scaffolded-post,innovation,1939,AFFIX,everyday,,relation,4,<=5,1257,very-common
P56a77065,scaffolded-post,documentary,1935,STEM,everyday,contemporary,,6,6-15,25,n/a
Pf26a3e06,scaffolded-post,functionality,1936,STEM,everyday,functional,,20,>15,152,n/a
P2e26e2f7,scaffolded-post,testosterone,1935,STEM,everyday,hormone,,12,6-15,21,n/a
Pdb9ee47b,control-post-unscaffolded,stuff,1960,NONE,everyday,,,-1,none,51,n/a
P1d22e10a,scaffolded-post,interpreter,1950,STEM,everyday,interpreting,,24,>15,15,n/a
P0385c4e7,scaffolded-post,rectification,1941,AFFIX,everyday,,direction,5,<=5,1257,very-common
P6b4c262e,scaffolded-post,cholinergic,1934,STEM+AFFIX,technical,adrenergic,adrenergic,2,<=5,2,n/a
P10e344d7,scaffolded-post,parametric,1942,STEM,everyday,parameters,,21,>15,18,n/a
Pb4a17a20,scaffolded-post,insecure,1935,STEM+AFFIX,everyday,insecurity|secure|security,secure,4,<=5,38,n/a
P4e9f721b,scaffolded-post,globally,1946,AFFIX,everyday,,locally,3,<=5,95,common
P3165feff,scaffolded-post,rotor,1976,STEM+AFFIX,everyday,motor,motor,34,>15,17,n/a
